fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Cañiza",5180,20,
2020-11-22,"A Cañiza",5180,21,
2020-11-23,"A Cañiza",5180,17,
2020-11-24,"A Cañiza",5180,16,
2020-11-25,"A Cañiza",5180,14,
2020-11-26,"A Cañiza",5180,15,
2020-11-27,"A Cañiza",5180,15,
2020-11-28,"A Cañiza",5180,12,
2020-11-29,"A Cañiza",5180,13,
2020-11-30,"A Cañiza",5180,14,
2020-12-01,"A Cañiza",5180,11,
2020-12-02,"A Cañiza",5180,11,
2020-12-03,"A Cañiza",5180,10,
2020-12-04,"A Cañiza",5180,,
2020-12-05,"A Cañiza",5180,,
2020-12-06,"A Cañiza",5180,,
2020-12-07,"A Cañiza",5180,,
2020-12-08,"A Cañiza",5180,,
2020-12-09,"A Cañiza",5180,,
2020-12-10,"A Cañiza",5180,,
2020-12-11,"A Cañiza",5180,10,
2020-12-12,"A Cañiza",5180,10,
2020-12-13,"A Cañiza",5180,,
2020-12-14,"A Cañiza",5180,10,
2020-12-15,"A Cañiza",5180,10,
2020-12-16,"A Cañiza",5180,10,
2020-12-17,"A Cañiza",5180,13,
2020-12-18,"A Cañiza",5180,17,
2020-12-19,"A Cañiza",5180,16,
2020-12-20,"A Cañiza",5180,16,
2020-12-21,"A Cañiza",5180,16,
2020-12-22,"A Cañiza",5180,16,
2020-12-23,"A Cañiza",5180,16,
2020-12-24,"A Cañiza",5180,18,
2020-12-25,"A Cañiza",5180,16,
2020-12-26,"A Cañiza",5180,16,
2020-12-27,"A Cañiza",5180,15,
2020-12-28,"A Cañiza",5180,13,
2020-12-29,"A Cañiza",5180,13,
2020-12-30,"A Cañiza",5180,14,
2020-12-31,"A Cañiza",5180,12,
2021-01-01,"A Cañiza",5180,,
2021-01-02,"A Cañiza",5180,,
2021-01-03,"A Cañiza",5180,,
2021-01-04,"A Cañiza",5180,,
2021-01-05,"A Cañiza",5180,,
2021-01-06,"A Cañiza",5180,,
2021-01-07,"A Cañiza",5180,,
2021-01-08,"A Cañiza",5180,,
2021-01-09,"A Cañiza",5180,,
2021-01-10,"A Cañiza",5180,15,
2021-01-11,"A Cañiza",5180,20,
2021-01-12,"A Cañiza",5180,21,
2021-01-13,"A Cañiza",5180,22,
2021-01-14,"A Cañiza",5180,29,
2021-01-15,"A Cañiza",5180,33,
2021-01-16,"A Cañiza",5180,47,
2021-01-17,"A Cañiza",5180,59,
2021-01-18,"A Cañiza",5180,65,
2021-01-19,"A Cañiza",5180,71,
2021-01-20,"A Cañiza",5180,85,
2021-01-21,"A Cañiza",5180,95,
2021-01-22,"A Cañiza",5180,105,
2021-01-23,"A Cañiza",5180,115,
2021-01-24,"A Cañiza",5180,125,
2021-01-25,"A Cañiza",5180,124,
2021-01-26,"A Cañiza",5180,126,
2021-01-27,"A Cañiza",5180,136,
2021-01-28,"A Cañiza",5180,136,
2021-01-29,"A Cañiza",5180,140,
2021-01-30,"A Cañiza",5180,136,
2021-01-31,"A Cañiza",5180,129,
2021-02-01,"A Cañiza",5180,125,
2021-02-02,"A Cañiza",5180,123,
2021-02-03,"A Cañiza",5180,113,
2021-02-04,"A Cañiza",5180,104,
2021-02-05,"A Cañiza",5180,96,
2021-02-06,"A Cañiza",5180,88,
2021-02-07,"A Cañiza",5180,68,
2021-02-08,"A Cañiza",5180,63,
2021-02-09,"A Cañiza",5180,60,
2021-02-10,"A Cañiza",5180,46,
2021-02-11,"A Cañiza",5180,43,
2021-02-12,"A Cañiza",5180,38,
2021-02-13,"A Cañiza",5180,29,
2021-02-14,"A Cañiza",5180,25,
2021-02-15,"A Cañiza",5180,23,
2021-02-16,"A Cañiza",5180,19,
2021-02-17,"A Cañiza",5180,16,
2021-02-18,"A Cañiza",5180,15,
2021-02-19,"A Cañiza",5180,13,
2021-02-20,"A Cañiza",5180,,
2021-02-21,"A Cañiza",5180,,
2021-02-22,"A Cañiza",5180,,
2021-02-23,"A Cañiza",5180,,
2021-02-24,"A Cañiza",5180,,
2021-02-25,"A Cañiza",5180,,
2021-02-26,"A Cañiza",5180,,
2021-02-27,"A Cañiza",5180,,
2021-02-28,"A Cañiza",5180,,
2021-03-01,"A Cañiza",5180,,
2021-03-02,"A Cañiza",5180,,
2021-03-03,"A Cañiza",5180,,0
2021-03-04,"A Cañiza",5180,,0
2021-03-05,"A Cañiza",5180,,
2021-03-06,"A Cañiza",5180,,
2021-03-07,"A Cañiza",5180,,
2021-03-08,"A Cañiza",5180,,
2021-03-09,"A Cañiza",5180,,
2021-03-10,"A Cañiza",5180,,
2021-03-11,"A Cañiza",5180,,
2021-03-12,"A Cañiza",5180,,
2021-03-13,"A Cañiza",5180,,
2021-03-14,"A Cañiza",5180,,
2021-03-15,"A Cañiza",5180,,
2021-03-16,"A Cañiza",5180,,
2021-03-17,"A Cañiza",5180,,
2021-03-18,"A Cañiza",5180,,
2021-03-19,"A Cañiza",5180,,
2021-03-20,"A Cañiza",5180,,
2021-03-21,"A Cañiza",5180,,
2021-03-22,"A Cañiza",5180,,
2021-03-23,"A Cañiza",5180,,
2021-03-24,"A Cañiza",5180,,
2021-03-25,"A Cañiza",5180,,
