fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Coruña",245711,517,
2020-11-22,"A Coruña",245711,495,
2020-11-23,"A Coruña",245711,465,
2020-11-24,"A Coruña",245711,463,
2020-11-25,"A Coruña",245711,460,
2020-11-26,"A Coruña",245711,443,
2020-11-27,"A Coruña",245711,438,
2020-11-28,"A Coruña",245711,421,
2020-11-29,"A Coruña",245711,419,
2020-11-30,"A Coruña",245711,400,
2020-12-01,"A Coruña",245711,394,
2020-12-02,"A Coruña",245711,375,
2020-12-03,"A Coruña",245711,372,
2020-12-04,"A Coruña",245711,370,
2020-12-05,"A Coruña",245711,363,
2020-12-06,"A Coruña",245711,347,
2020-12-07,"A Coruña",245711,343,
2020-12-08,"A Coruña",245711,342,
2020-12-09,"A Coruña",245711,327,
2020-12-10,"A Coruña",245711,319,
2020-12-11,"A Coruña",245711,298,
2020-12-12,"A Coruña",245711,294,
2020-12-13,"A Coruña",245711,288,
2020-12-14,"A Coruña",245711,296,
2020-12-15,"A Coruña",245711,297,
2020-12-16,"A Coruña",245711,289,
2020-12-17,"A Coruña",245711,283,
2020-12-18,"A Coruña",245711,272,
2020-12-19,"A Coruña",245711,276,
2020-12-20,"A Coruña",245711,286,
2020-12-21,"A Coruña",245711,289,
2020-12-22,"A Coruña",245711,280,
2020-12-23,"A Coruña",245711,289,
2020-12-24,"A Coruña",245711,289,
2020-12-25,"A Coruña",245711,302,
2020-12-26,"A Coruña",245711,305,
2020-12-27,"A Coruña",245711,302,
2020-12-28,"A Coruña",245711,292,
2020-12-29,"A Coruña",245711,301,
2020-12-30,"A Coruña",245711,338,
2020-12-31,"A Coruña",245711,387,
2021-01-01,"A Coruña",245711,425,
2021-01-02,"A Coruña",245711,472,
2021-01-03,"A Coruña",245711,473,
2021-01-04,"A Coruña",245711,487,
2021-01-05,"A Coruña",245711,510,
2021-01-06,"A Coruña",245711,568,
2021-01-07,"A Coruña",245711,614,
2021-01-08,"A Coruña",245711,645,
2021-01-09,"A Coruña",245711,688,
2021-01-10,"A Coruña",245711,733,
2021-01-11,"A Coruña",245711,783,
2021-01-12,"A Coruña",245711,827,
2021-01-13,"A Coruña",245711,886,
2021-01-14,"A Coruña",245711,942,
2021-01-15,"A Coruña",245711,982,
2021-01-16,"A Coruña",245711,1031,
2021-01-17,"A Coruña",245711,1158,
2021-01-18,"A Coruña",245711,1233,
2021-01-19,"A Coruña",245711,1326,
2021-01-20,"A Coruña",245711,1432,
2021-01-21,"A Coruña",245711,1521,
2021-01-22,"A Coruña",245711,1641,
2021-01-23,"A Coruña",245711,1817,
2021-01-24,"A Coruña",245711,1941,
2021-01-25,"A Coruña",245711,1990,
2021-01-26,"A Coruña",245711,2094,
2021-01-27,"A Coruña",245711,2188,
2021-01-28,"A Coruña",245711,2209,
2021-01-29,"A Coruña",245711,2253,
2021-01-30,"A Coruña",245711,2269,
2021-01-31,"A Coruña",245711,2284,
2021-02-01,"A Coruña",245711,2256,
2021-02-02,"A Coruña",245711,2240,
2021-02-03,"A Coruña",245711,2193,
2021-02-04,"A Coruña",245711,2202,
2021-02-05,"A Coruña",245711,2128,
2021-02-06,"A Coruña",245711,1998,
2021-02-07,"A Coruña",245711,1941,
2021-02-08,"A Coruña",245711,1898,
2021-02-09,"A Coruña",245711,1826,
2021-02-10,"A Coruña",245711,1705,
2021-02-11,"A Coruña",245711,1668,
2021-02-12,"A Coruña",245711,1635,
2021-02-13,"A Coruña",245711,1566,
2021-02-14,"A Coruña",245711,1446,
2021-02-15,"A Coruña",245711,1427,
2021-02-16,"A Coruña",245711,1388,
2021-02-17,"A Coruña",245711,1307,
2021-02-18,"A Coruña",245711,1203,
2021-02-19,"A Coruña",245711,1145,
2021-02-20,"A Coruña",245711,1078,
2021-02-21,"A Coruña",245711,1005,
2021-02-22,"A Coruña",245711,971,
2021-02-23,"A Coruña",245711,909,
2021-02-24,"A Coruña",245711,864,
2021-02-25,"A Coruña",245711,802,
2021-02-26,"A Coruña",245711,736,
2021-02-27,"A Coruña",245711,732,
2021-02-28,"A Coruña",245711,733,
2021-03-01,"A Coruña",245711,674,
2021-03-02,"A Coruña",245711,620,267
2021-03-03,"A Coruña",245711,597,261
2021-03-04,"A Coruña",245711,584,261
2021-03-05,"A Coruña",245711,585,269
2021-03-06,"A Coruña",245711,586,255
2021-03-07,"A Coruña",245711,568,242
2021-03-08,"A Coruña",245711,548,258
2021-03-09,"A Coruña",245711,549,281
2021-03-10,"A Coruña",245711,558,297
2021-03-11,"A Coruña",245711,531,269
2021-03-12,"A Coruña",245711,524,255
2021-03-13,"A Coruña",245711,499,244
2021-03-14,"A Coruña",245711,477,235
2021-03-15,"A Coruña",245711,492,234
2021-03-16,"A Coruña",245711,512,231
2021-03-17,"A Coruña",245711,501,205
2021-03-18,"A Coruña",245711,477,209
2021-03-19,"A Coruña",245711,460,205
2021-03-20,"A Coruña",245711,438,194
2021-03-21,"A Coruña",245711,426,191
2021-03-22,"A Coruña",245711,416,182
2021-03-23,"A Coruña",245711,399,168
2021-03-24,"A Coruña",245711,383,178
2021-03-25,"A Coruña",245711,399,190
2021-03-26,"A Coruña",245711,386,181
2021-03-27,"A Coruña",245711,343,163
2021-03-28,"A Coruña",245711,336,159
2021-03-29,"A Coruña",245711,341,173
2021-03-30,"A Coruña",245711,330,175
2021-03-31,"A Coruña",245711,324,168
2021-04-01,"A Coruña",245711,319,152
2021-04-02,"A Coruña",245711,315,157
2021-04-03,"A Coruña",245711,310,147
2021-04-04,"A Coruña",245711,302,143
2021-04-05,"A Coruña",245711,306,133
2021-04-06,"A Coruña",245711,304,129
2021-04-07,"A Coruña",245711,295,127
2021-04-08,"A Coruña",245711,272,120
2021-04-09,"A Coruña",245711,267,110
2021-04-10,"A Coruña",245711,262,115
2021-04-11,"A Coruña",245711,260,117
2021-04-12,"A Coruña",245711,251,119
2021-04-13,"A Coruña",245711,246,117
2021-04-14,"A Coruña",245711,244,117
2021-04-15,"A Coruña",245711,252,132
2021-04-16,"A Coruña",245711,248,138
2021-04-17,"A Coruña",245711,257,142
2021-04-18,"A Coruña",245711,264,147
2021-04-19,"A Coruña",245711,265,146
2021-04-20,"A Coruña",245711,267,150
2021-04-21,"A Coruña",245711,268,150
2021-04-22,"A Coruña",245711,279,146
2021-04-23,"A Coruña",245711,297,159
2021-04-24,"A Coruña",245711,292,150
2021-04-25,"A Coruña",245711,295,148
2021-04-26,"A Coruña",245711,299,153
2021-04-27,"A Coruña",245711,304,154
2021-04-28,"A Coruña",245711,312,161
2021-04-29,"A Coruña",245711,296,150
2021-04-30,"A Coruña",245711,309,150
2021-05-01,"A Coruña",245711,297,147
2021-05-02,"A Coruña",245711,291,143
2021-05-03,"A Coruña",245711,295,142
2021-05-04,"A Coruña",245711,296,142
2021-05-05,"A Coruña",245711,293,131
2021-05-06,"A Coruña",245711,297,147
2021-05-07,"A Coruña",245711,291,141
2021-05-08,"A Coruña",245711,296,149
2021-05-09,"A Coruña",245711,285,142
2021-05-10,"A Coruña",245711,286,144
2021-05-11,"A Coruña",245711,276,134
2021-05-12,"A Coruña",245711,262,131
2021-05-13,"A Coruña",245711,262,115
2021-05-14,"A Coruña",245711,241,100
2021-05-15,"A Coruña",245711,247,97
2021-05-16,"A Coruña",245711,246,104
2021-05-17,"A Coruña",245711,238,93
2021-05-18,"A Coruña",245711,227,93
2021-05-19,"A Coruña",245711,225,94
2021-05-20,"A Coruña",245711,203,88
2021-05-21,"A Coruña",245711,190,90
2021-05-22,"A Coruña",245711,187,90
2021-05-23,"A Coruña",245711,200,96
2021-05-24,"A Coruña",245711,187,93
2021-05-25,"A Coruña",245711,192,99
2021-05-26,"A Coruña",245711,190,96
2021-05-27,"A Coruña",245711,180,92
2021-05-28,"A Coruña",245711,175,85
2021-05-29,"A Coruña",245711,160,70
2021-05-30,"A Coruña",245711,157,57
2021-05-31,"A Coruña",245711,147,50
2021-06-01,"A Coruña",245711,146,47
2021-06-02,"A Coruña",245711,143,47
2021-06-03,"A Coruña",245711,143,51
2021-06-04,"A Coruña",245711,139,54
2021-06-05,"A Coruña",245711,126,56
2021-06-06,"A Coruña",245711,115,58
2021-06-07,"A Coruña",245711,115,65
2021-06-08,"A Coruña",245711,118,71
2021-06-09,"A Coruña",245711,116,69
2021-06-10,"A Coruña",245711,124,73
2021-06-11,"A Coruña",245711,141,87
2021-06-12,"A Coruña",245711,144,88
2021-06-13,"A Coruña",245711,146,88
2021-06-14,"A Coruña",245711,162,97
2021-06-15,"A Coruña",245711,169,97
2021-06-16,"A Coruña",245711,174,104
2021-06-17,"A Coruña",245711,187,114
2021-06-18,"A Coruña",245711,185,98
2021-06-19,"A Coruña",245711,190,102
2021-06-20,"A Coruña",245711,200,112
2021-06-21,"A Coruña",245711,200,103
2021-06-22,"A Coruña",245711,203,107
2021-06-23,"A Coruña",245711,214,111
2021-06-24,"A Coruña",245711,210,97
2021-06-25,"A Coruña",245711,203,106
2021-06-26,"A Coruña",245711,210,109
2021-06-27,"A Coruña",245711,200,89
2021-06-28,"A Coruña",245711,202,100
2021-06-29,"A Coruña",245711,201,94
2021-06-30,"A Coruña",245711,205,94
2021-07-01,"A Coruña",245711,227,130
2021-07-02,"A Coruña",245711,253,147
2021-07-03,"A Coruña",245711,271,162
2021-07-04,"A Coruña",245711,270,181
2021-07-05,"A Coruña",245711,274,174
2021-07-06,"A Coruña",245711,281,186
2021-07-07,"A Coruña",245711,293,199
2021-07-08,"A Coruña",245711,324,194
2021-07-09,"A Coruña",245711,338,190
2021-07-10,"A Coruña",245711,365,202
2021-07-11,"A Coruña",245711,405,223
2021-07-12,"A Coruña",245711,424,249
2021-07-13,"A Coruña",245711,453,267
2021-07-14,"A Coruña",245711,492,294
2021-07-15,"A Coruña",245711,523,329
2021-07-16,"A Coruña",245711,576,386
2021-07-17,"A Coruña",245711,658,456
2021-07-18,"A Coruña",245711,775,552
2021-07-19,"A Coruña",245711,881,632
2021-07-20,"A Coruña",245711,972,704
2021-07-21,"A Coruña",245711,1039,744
2021-07-22,"A Coruña",245711,1136,807
2021-07-23,"A Coruña",245711,1255,869
2021-07-24,"A Coruña",245711,1353,898
2021-07-25,"A Coruña",245711,1467,916
2021-07-26,"A Coruña",245711,1531,900
2021-07-27,"A Coruña",245711,1626,923
2021-07-28,"A Coruña",245711,1731,987
2021-07-29,"A Coruña",245711,1796,989
2021-07-30,"A Coruña",245711,1834,965
2021-07-31,"A Coruña",245711,1854,955
2021-08-01,"A Coruña",245711,1845,926
2021-08-02,"A Coruña",245711,1835,934
2021-08-03,"A Coruña",245711,1882,955
2021-08-04,"A Coruña",245711,1936,946
2021-08-05,"A Coruña",245711,1964,973
2021-08-06,"A Coruña",245711,2007,1037
2021-08-07,"A Coruña",245711,2003,1049
2021-08-08,"A Coruña",245711,1992,1066
2021-08-09,"A Coruña",245711,2034,1103
2021-08-10,"A Coruña",245711,1996,1043
2021-08-11,"A Coruña",245711,1918,966
2021-08-12,"A Coruña",245711,1896,924
2021-08-13,"A Coruña",245711,1895,858
2021-08-14,"A Coruña",245711,1866,816
2021-08-15,"A Coruña",245711,1835,766
2021-08-16,"A Coruña",245711,1795,688
2021-08-17,"A Coruña",245711,1688,642
2021-08-18,"A Coruña",245711,1581,613
2021-08-19,"A Coruña",245711,1502,579
2021-08-20,"A Coruña",245711,1373,516
2021-08-21,"A Coruña",245711,1285,469
2021-08-22,"A Coruña",245711,1178,413
2021-08-23,"A Coruña",245711,1067,380
2021-08-24,"A Coruña",245711,1008,362
2021-08-25,"A Coruña",245711,973,355
2021-08-26,"A Coruña",245711,908,326
2021-08-27,"A Coruña",245711,836,317
2021-08-28,"A Coruña",245711,773,303
2021-08-29,"A Coruña",245711,711,297
2021-08-30,"A Coruña",245711,672,291
2021-08-31,"A Coruña",245711,648,285
2021-09-01,"A Coruña",245711,619,264
2021-09-02,"A Coruña",245711,588,262
2021-09-03,"A Coruña",245711,554,237
2021-09-04,"A Coruña",245711,532,229
2021-09-05,"A Coruña",245711,508,212
2021-09-06,"A Coruña",245711,493,203
2021-09-07,"A Coruña",245711,485,201
2021-09-08,"A Coruña",245711,444,182
2021-09-09,"A Coruña",245711,430,170
2021-09-10,"A Coruña",245711,392,160
2021-09-11,"A Coruña",245711,390,161
2021-09-12,"A Coruña",245711,369,157
2021-09-13,"A Coruña",245711,355,152
2021-09-14,"A Coruña",245711,331,130
2021-09-15,"A Coruña",245711,319,137
2021-09-16,"A Coruña",245711,291,121
2021-09-17,"A Coruña",245711,262,97
2021-09-18,"A Coruña",245711,239,78
2021-09-19,"A Coruña",245711,229,72
2021-09-20,"A Coruña",245711,213,61
2021-09-21,"A Coruña",245711,189,59
2021-09-22,"A Coruña",245711,182,45
2021-09-23,"A Coruña",245711,155,34
2021-09-24,"A Coruña",245711,134,37
2021-09-25,"A Coruña",245711,116,38
2021-09-26,"A Coruña",245711,102,30
2021-09-27,"A Coruña",245711,89,28
2021-09-28,"A Coruña",245711,83,24
2021-09-29,"A Coruña",245711,69,24
2021-09-30,"A Coruña",245711,56,22
2021-10-01,"A Coruña",245711,57,20
2021-10-02,"A Coruña",245711,68,30
2021-10-03,"A Coruña",245711,65,35
2021-10-04,"A Coruña",245711,62,34
2021-10-05,"A Coruña",245711,62,38
2021-10-06,"A Coruña",245711,63,39
2021-10-07,"A Coruña",245711,64,42
2021-10-08,"A Coruña",245711,63,43
2021-10-09,"A Coruña",245711,58,28
2021-10-10,"A Coruña",245711,59,24
2021-10-11,"A Coruña",245711,58,24
2021-10-12,"A Coruña",245711,60,22
2021-10-13,"A Coruña",245711,62,23
2021-10-14,"A Coruña",245711,61,19
2021-10-15,"A Coruña",245711,59,16
2021-10-16,"A Coruña",245711,48,20
2021-10-17,"A Coruña",245711,42,18
2021-10-18,"A Coruña",245711,43,19
2021-10-19,"A Coruña",245711,42,20
2021-10-20,"A Coruña",245711,44,21
2021-10-21,"A Coruña",245711,38,19
