fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Estrada",20479,69,
2020-11-22,"A Estrada",20479,66,
2020-11-23,"A Estrada",20479,64,
2020-11-24,"A Estrada",20479,62,
2020-11-25,"A Estrada",20479,61,
2020-11-26,"A Estrada",20479,57,
2020-11-27,"A Estrada",20479,48,
2020-11-28,"A Estrada",20479,39,
2020-11-29,"A Estrada",20479,35,
2020-11-30,"A Estrada",20479,33,
2020-12-01,"A Estrada",20479,22,
2020-12-02,"A Estrada",20479,19,
2020-12-03,"A Estrada",20479,17,
2020-12-04,"A Estrada",20479,12,
2020-12-05,"A Estrada",20479,12,
2020-12-06,"A Estrada",20479,11,
2020-12-07,"A Estrada",20479,11,
2020-12-08,"A Estrada",20479,10,
2020-12-09,"A Estrada",20479,,
2020-12-10,"A Estrada",20479,,
2020-12-11,"A Estrada",20479,,
2020-12-12,"A Estrada",20479,,
2020-12-13,"A Estrada",20479,11,
2020-12-14,"A Estrada",20479,12,
2020-12-15,"A Estrada",20479,13,
2020-12-16,"A Estrada",20479,13,
2020-12-17,"A Estrada",20479,12,
2020-12-18,"A Estrada",20479,11,
2020-12-19,"A Estrada",20479,12,
2020-12-20,"A Estrada",20479,12,
2020-12-21,"A Estrada",20479,12,
2020-12-22,"A Estrada",20479,12,
2020-12-23,"A Estrada",20479,12,
2020-12-24,"A Estrada",20479,12,
2020-12-25,"A Estrada",20479,13,
2020-12-26,"A Estrada",20479,12,
2020-12-27,"A Estrada",20479,13,
2020-12-28,"A Estrada",20479,12,
2020-12-29,"A Estrada",20479,12,
2020-12-30,"A Estrada",20479,21,
2020-12-31,"A Estrada",20479,34,
2021-01-01,"A Estrada",20479,41,
2021-01-02,"A Estrada",20479,48,
2021-01-03,"A Estrada",20479,49,
2021-01-04,"A Estrada",20479,49,
2021-01-05,"A Estrada",20479,51,
2021-01-06,"A Estrada",20479,58,
2021-01-07,"A Estrada",20479,57,
2021-01-08,"A Estrada",20479,56,
2021-01-09,"A Estrada",20479,60,
2021-01-10,"A Estrada",20479,59,
2021-01-11,"A Estrada",20479,61,
2021-01-12,"A Estrada",20479,64,
2021-01-13,"A Estrada",20479,64,
2021-01-14,"A Estrada",20479,60,
2021-01-15,"A Estrada",20479,57,
2021-01-16,"A Estrada",20479,61,
2021-01-17,"A Estrada",20479,65,
2021-01-18,"A Estrada",20479,72,
2021-01-19,"A Estrada",20479,75,
2021-01-20,"A Estrada",20479,79,
2021-01-21,"A Estrada",20479,92,
2021-01-22,"A Estrada",20479,107,
2021-01-23,"A Estrada",20479,115,
2021-01-24,"A Estrada",20479,115,
2021-01-25,"A Estrada",20479,126,
2021-01-26,"A Estrada",20479,132,
2021-01-27,"A Estrada",20479,141,
2021-01-28,"A Estrada",20479,142,
2021-01-29,"A Estrada",20479,153,
2021-01-30,"A Estrada",20479,147,
2021-01-31,"A Estrada",20479,145,
2021-02-01,"A Estrada",20479,145,
2021-02-02,"A Estrada",20479,148,
2021-02-03,"A Estrada",20479,142,
2021-02-04,"A Estrada",20479,143,
2021-02-05,"A Estrada",20479,129,
2021-02-06,"A Estrada",20479,123,
2021-02-07,"A Estrada",20479,121,
2021-02-08,"A Estrada",20479,113,
2021-02-09,"A Estrada",20479,105,
2021-02-10,"A Estrada",20479,92,
2021-02-11,"A Estrada",20479,86,
2021-02-12,"A Estrada",20479,75,
2021-02-13,"A Estrada",20479,72,
2021-02-14,"A Estrada",20479,73,
2021-02-15,"A Estrada",20479,66,
2021-02-16,"A Estrada",20479,60,
2021-02-17,"A Estrada",20479,58,
2021-02-18,"A Estrada",20479,43,
2021-02-19,"A Estrada",20479,45,
2021-02-20,"A Estrada",20479,41,
2021-02-21,"A Estrada",20479,38,
2021-02-22,"A Estrada",20479,33,
2021-02-23,"A Estrada",20479,31,
2021-02-24,"A Estrada",20479,27,
2021-02-25,"A Estrada",20479,25,
2021-02-26,"A Estrada",20479,21,
2021-02-27,"A Estrada",20479,18,
2021-02-28,"A Estrada",20479,14,
