fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Fonsagrada",3465,,
2020-11-22,"A Fonsagrada",3465,,
2020-11-23,"A Fonsagrada",3465,0,
2020-11-24,"A Fonsagrada",3465,0,
2020-11-25,"A Fonsagrada",3465,0,
2020-11-26,"A Fonsagrada",3465,0,
2020-11-27,"A Fonsagrada",3465,0,
2020-11-28,"A Fonsagrada",3465,0,
2020-11-29,"A Fonsagrada",3465,0,
2020-11-30,"A Fonsagrada",3465,0,
2020-12-01,"A Fonsagrada",3465,0,
2020-12-02,"A Fonsagrada",3465,0,
2020-12-03,"A Fonsagrada",3465,0,
2020-12-04,"A Fonsagrada",3465,0,
2020-12-05,"A Fonsagrada",3465,0,
2020-12-06,"A Fonsagrada",3465,0,
2020-12-07,"A Fonsagrada",3465,0,
2020-12-08,"A Fonsagrada",3465,0,
2020-12-09,"A Fonsagrada",3465,0,
2020-12-10,"A Fonsagrada",3465,0,
2020-12-11,"A Fonsagrada",3465,0,
2020-12-12,"A Fonsagrada",3465,0,
2020-12-13,"A Fonsagrada",3465,0,
2020-12-14,"A Fonsagrada",3465,0,
2020-12-15,"A Fonsagrada",3465,0,
2020-12-16,"A Fonsagrada",3465,,
2020-12-17,"A Fonsagrada",3465,,
2020-12-18,"A Fonsagrada",3465,,
2020-12-19,"A Fonsagrada",3465,,
2020-12-20,"A Fonsagrada",3465,,
2020-12-21,"A Fonsagrada",3465,,
2020-12-22,"A Fonsagrada",3465,,
2020-12-23,"A Fonsagrada",3465,,
2020-12-24,"A Fonsagrada",3465,,
2020-12-25,"A Fonsagrada",3465,,
2020-12-26,"A Fonsagrada",3465,,
2020-12-27,"A Fonsagrada",3465,,
2020-12-28,"A Fonsagrada",3465,,
2020-12-29,"A Fonsagrada",3465,,
2020-12-30,"A Fonsagrada",3465,0,
2020-12-31,"A Fonsagrada",3465,0,
2021-01-01,"A Fonsagrada",3465,0,
2021-01-02,"A Fonsagrada",3465,0,
2021-01-03,"A Fonsagrada",3465,0,
2021-01-04,"A Fonsagrada",3465,0,
2021-01-05,"A Fonsagrada",3465,0,
2021-01-06,"A Fonsagrada",3465,,
2021-01-07,"A Fonsagrada",3465,,
2021-01-08,"A Fonsagrada",3465,,
2021-01-09,"A Fonsagrada",3465,,
2021-01-10,"A Fonsagrada",3465,,
2021-01-11,"A Fonsagrada",3465,,
2021-01-12,"A Fonsagrada",3465,,
2021-01-13,"A Fonsagrada",3465,,
2021-01-14,"A Fonsagrada",3465,,
2021-01-15,"A Fonsagrada",3465,,
2021-01-16,"A Fonsagrada",3465,,
2021-01-17,"A Fonsagrada",3465,,
2021-01-18,"A Fonsagrada",3465,,
2021-01-19,"A Fonsagrada",3465,,
2021-01-20,"A Fonsagrada",3465,,
2021-01-21,"A Fonsagrada",3465,,
2021-01-22,"A Fonsagrada",3465,,
2021-01-23,"A Fonsagrada",3465,,
2021-01-24,"A Fonsagrada",3465,,
2021-01-25,"A Fonsagrada",3465,,
2021-01-26,"A Fonsagrada",3465,,
2021-01-27,"A Fonsagrada",3465,,
2021-01-28,"A Fonsagrada",3465,,
2021-01-29,"A Fonsagrada",3465,,
2021-01-30,"A Fonsagrada",3465,,
2021-01-31,"A Fonsagrada",3465,,
2021-02-01,"A Fonsagrada",3465,,
2021-02-02,"A Fonsagrada",3465,,
2021-02-03,"A Fonsagrada",3465,,
2021-02-04,"A Fonsagrada",3465,,
2021-02-05,"A Fonsagrada",3465,,
2021-02-06,"A Fonsagrada",3465,,
2021-02-07,"A Fonsagrada",3465,,
2021-02-08,"A Fonsagrada",3465,,
2021-02-09,"A Fonsagrada",3465,,
2021-02-10,"A Fonsagrada",3465,,
2021-02-11,"A Fonsagrada",3465,,
2021-02-12,"A Fonsagrada",3465,,
2021-02-13,"A Fonsagrada",3465,,
2021-02-14,"A Fonsagrada",3465,,
2021-02-15,"A Fonsagrada",3465,,
2021-02-16,"A Fonsagrada",3465,,
2021-02-17,"A Fonsagrada",3465,,
2021-02-18,"A Fonsagrada",3465,,
2021-02-19,"A Fonsagrada",3465,,
2021-02-20,"A Fonsagrada",3465,,
2021-02-21,"A Fonsagrada",3465,0,
2021-02-22,"A Fonsagrada",3465,0,
2021-02-23,"A Fonsagrada",3465,0,
2021-02-24,"A Fonsagrada",3465,0,
