fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Guarda",9977,37,
2020-11-22,"A Guarda",9977,36,
2020-11-23,"A Guarda",9977,33,
2020-11-24,"A Guarda",9977,32,
2020-11-25,"A Guarda",9977,36,
2020-11-26,"A Guarda",9977,32,
2020-11-27,"A Guarda",9977,31,
2020-11-28,"A Guarda",9977,34,
2020-11-29,"A Guarda",9977,36,
2020-11-30,"A Guarda",9977,35,
2020-12-01,"A Guarda",9977,35,
2020-12-02,"A Guarda",9977,40,
2020-12-03,"A Guarda",9977,39,
2020-12-04,"A Guarda",9977,38,
2020-12-05,"A Guarda",9977,37,
2020-12-06,"A Guarda",9977,39,
2020-12-07,"A Guarda",9977,39,
2020-12-08,"A Guarda",9977,39,
2020-12-09,"A Guarda",9977,37,
2020-12-10,"A Guarda",9977,41,
2020-12-11,"A Guarda",9977,40,
2020-12-12,"A Guarda",9977,40,
2020-12-13,"A Guarda",9977,35,
2020-12-14,"A Guarda",9977,33,
2020-12-15,"A Guarda",9977,34,
2020-12-16,"A Guarda",9977,33,
2020-12-17,"A Guarda",9977,37,
2020-12-18,"A Guarda",9977,37,
2020-12-19,"A Guarda",9977,40,
2020-12-20,"A Guarda",9977,41,
2020-12-21,"A Guarda",9977,41,
2020-12-22,"A Guarda",9977,42,
2020-12-23,"A Guarda",9977,41,
2020-12-24,"A Guarda",9977,38,
2020-12-25,"A Guarda",9977,39,
2020-12-26,"A Guarda",9977,36,
2020-12-27,"A Guarda",9977,36,
2020-12-28,"A Guarda",9977,37,
2020-12-29,"A Guarda",9977,36,
2020-12-30,"A Guarda",9977,32,
2020-12-31,"A Guarda",9977,25,
2021-01-01,"A Guarda",9977,23,
2021-01-02,"A Guarda",9977,18,
2021-01-03,"A Guarda",9977,14,
2021-01-04,"A Guarda",9977,14,
2021-01-05,"A Guarda",9977,13,
2021-01-06,"A Guarda",9977,12,
2021-01-07,"A Guarda",9977,11,
2021-01-08,"A Guarda",9977,,
2021-01-09,"A Guarda",9977,20,
2021-01-10,"A Guarda",9977,22,
2021-01-11,"A Guarda",9977,22,
2021-01-12,"A Guarda",9977,22,
2021-01-13,"A Guarda",9977,26,
2021-01-14,"A Guarda",9977,27,
2021-01-15,"A Guarda",9977,27,
2021-01-16,"A Guarda",9977,30,
2021-01-17,"A Guarda",9977,29,
2021-01-18,"A Guarda",9977,29,
2021-01-19,"A Guarda",9977,30,
2021-01-20,"A Guarda",9977,31,
2021-01-21,"A Guarda",9977,34,
2021-01-22,"A Guarda",9977,40,
2021-01-23,"A Guarda",9977,37,
2021-01-24,"A Guarda",9977,42,
2021-01-25,"A Guarda",9977,47,
2021-01-26,"A Guarda",9977,51,
2021-01-27,"A Guarda",9977,50,
2021-01-28,"A Guarda",9977,51,
2021-01-29,"A Guarda",9977,56,
2021-01-30,"A Guarda",9977,56,
2021-01-31,"A Guarda",9977,57,
2021-02-01,"A Guarda",9977,57,
2021-02-02,"A Guarda",9977,58,
2021-02-03,"A Guarda",9977,57,
2021-02-04,"A Guarda",9977,59,
2021-02-05,"A Guarda",9977,54,
2021-02-06,"A Guarda",9977,49,
2021-02-07,"A Guarda",9977,44,
2021-02-08,"A Guarda",9977,39,
2021-02-09,"A Guarda",9977,34,
2021-02-10,"A Guarda",9977,33,
2021-02-11,"A Guarda",9977,31,
2021-02-12,"A Guarda",9977,25,
2021-02-13,"A Guarda",9977,24,
2021-02-14,"A Guarda",9977,24,
2021-02-15,"A Guarda",9977,26,
2021-02-16,"A Guarda",9977,26,
2021-02-17,"A Guarda",9977,25,
2021-02-18,"A Guarda",9977,19,
2021-02-19,"A Guarda",9977,20,
2021-02-20,"A Guarda",9977,17,
2021-02-21,"A Guarda",9977,16,
2021-02-22,"A Guarda",9977,15,
2021-02-23,"A Guarda",9977,16,
2021-02-24,"A Guarda",9977,16,
2021-02-25,"A Guarda",9977,16,
2021-02-26,"A Guarda",9977,16,
2021-02-27,"A Guarda",9977,19,
2021-02-28,"A Guarda",9977,18,
2021-03-01,"A Guarda",9977,16,
2021-03-02,"A Guarda",9977,14,
2021-03-03,"A Guarda",9977,13,
2021-03-04,"A Guarda",9977,13,
2021-03-05,"A Guarda",9977,11,
2021-03-06,"A Guarda",9977,11,
2021-03-07,"A Guarda",9977,10,
2021-03-08,"A Guarda",9977,10,
2021-03-09,"A Guarda",9977,12,
2021-03-10,"A Guarda",9977,10,
2021-03-11,"A Guarda",9977,11,
2021-03-12,"A Guarda",9977,13,
2021-03-13,"A Guarda",9977,,
2021-03-14,"A Guarda",9977,,
2021-03-15,"A Guarda",9977,,
2021-03-16,"A Guarda",9977,,
2021-03-17,"A Guarda",9977,10,
2021-03-18,"A Guarda",9977,10,
2021-03-19,"A Guarda",9977,11,
2021-03-20,"A Guarda",9977,10,
2021-03-21,"A Guarda",9977,10,
2021-03-22,"A Guarda",9977,10,
2021-03-23,"A Guarda",9977,,
2021-03-24,"A Guarda",9977,,
2021-03-25,"A Guarda",9977,,
2021-03-26,"A Guarda",9977,,
2021-03-27,"A Guarda",9977,,
2021-03-28,"A Guarda",9977,,
2021-03-29,"A Guarda",9977,,
2021-03-30,"A Guarda",9977,,
2021-03-31,"A Guarda",9977,,
2021-04-01,"A Guarda",9977,,
2021-04-02,"A Guarda",9977,,
2021-04-03,"A Guarda",9977,,
2021-04-04,"A Guarda",9977,,
2021-04-05,"A Guarda",9977,,
2021-04-06,"A Guarda",9977,,
2021-04-07,"A Guarda",9977,,
2021-04-08,"A Guarda",9977,,
2021-04-09,"A Guarda",9977,,
2021-04-10,"A Guarda",9977,,
2021-04-11,"A Guarda",9977,,
2021-04-12,"A Guarda",9977,,
2021-04-13,"A Guarda",9977,,
2021-04-14,"A Guarda",9977,,0
2021-04-15,"A Guarda",9977,,0
2021-04-16,"A Guarda",9977,,0
2021-04-17,"A Guarda",9977,,0
2021-04-18,"A Guarda",9977,,0
2021-04-19,"A Guarda",9977,,0
2021-04-20,"A Guarda",9977,,0
2021-04-21,"A Guarda",9977,0,0
2021-04-22,"A Guarda",9977,,
2021-04-23,"A Guarda",9977,,
2021-04-24,"A Guarda",9977,,
2021-04-25,"A Guarda",9977,,
2021-04-26,"A Guarda",9977,,
2021-04-27,"A Guarda",9977,,
2021-04-28,"A Guarda",9977,,
2021-04-29,"A Guarda",9977,,
2021-04-30,"A Guarda",9977,,
2021-05-01,"A Guarda",9977,,
2021-05-02,"A Guarda",9977,,
2021-05-03,"A Guarda",9977,,
2021-05-04,"A Guarda",9977,,
2021-05-05,"A Guarda",9977,,
2021-05-06,"A Guarda",9977,,
2021-05-07,"A Guarda",9977,,
2021-05-08,"A Guarda",9977,,
2021-05-09,"A Guarda",9977,,
2021-05-10,"A Guarda",9977,,
2021-05-11,"A Guarda",9977,,
2021-05-12,"A Guarda",9977,,
2021-05-13,"A Guarda",9977,,
2021-05-14,"A Guarda",9977,,
2021-05-15,"A Guarda",9977,,
2021-05-16,"A Guarda",9977,,
2021-05-17,"A Guarda",9977,,
2021-05-18,"A Guarda",9977,,
2021-05-19,"A Guarda",9977,,
2021-05-20,"A Guarda",9977,,
2021-05-21,"A Guarda",9977,,
2021-05-22,"A Guarda",9977,,
2021-05-23,"A Guarda",9977,,
2021-05-24,"A Guarda",9977,,
2021-05-25,"A Guarda",9977,,0
2021-05-26,"A Guarda",9977,,0
2021-05-27,"A Guarda",9977,,0
2021-05-28,"A Guarda",9977,,0
2021-05-29,"A Guarda",9977,,0
2021-05-30,"A Guarda",9977,,0
2021-05-31,"A Guarda",9977,,0
2021-06-01,"A Guarda",9977,0,0
2021-06-02,"A Guarda",9977,0,0
2021-06-03,"A Guarda",9977,0,0
2021-06-04,"A Guarda",9977,0,0
2021-06-05,"A Guarda",9977,0,0
2021-06-06,"A Guarda",9977,0,0
2021-06-07,"A Guarda",9977,0,0
2021-06-08,"A Guarda",9977,0,0
2021-06-09,"A Guarda",9977,0,0
