fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Illa de Arousa",4926,10,
2020-11-22,"A Illa de Arousa",4926,10,
2020-11-23,"A Illa de Arousa",4926,10,
2020-11-24,"A Illa de Arousa",4926,10,
2020-11-25,"A Illa de Arousa",4926,,
2020-11-26,"A Illa de Arousa",4926,,
2020-11-27,"A Illa de Arousa",4926,,
2020-11-28,"A Illa de Arousa",4926,,
2020-11-29,"A Illa de Arousa",4926,,
2020-11-30,"A Illa de Arousa",4926,,
2020-12-01,"A Illa de Arousa",4926,,
2020-12-02,"A Illa de Arousa",4926,,
2020-12-03,"A Illa de Arousa",4926,,
2020-12-04,"A Illa de Arousa",4926,,
2020-12-05,"A Illa de Arousa",4926,10,
2020-12-06,"A Illa de Arousa",4926,11,
2020-12-07,"A Illa de Arousa",4926,13,
2020-12-08,"A Illa de Arousa",4926,12,
2020-12-09,"A Illa de Arousa",4926,13,
2020-12-10,"A Illa de Arousa",4926,14,
2020-12-11,"A Illa de Arousa",4926,15,
2020-12-12,"A Illa de Arousa",4926,17,
2020-12-13,"A Illa de Arousa",4926,28,
2020-12-14,"A Illa de Arousa",4926,32,
2020-12-15,"A Illa de Arousa",4926,38,
2020-12-16,"A Illa de Arousa",4926,41,
2020-12-17,"A Illa de Arousa",4926,46,
2020-12-18,"A Illa de Arousa",4926,58,
2020-12-19,"A Illa de Arousa",4926,60,
2020-12-20,"A Illa de Arousa",4926,65,
2020-12-21,"A Illa de Arousa",4926,69,
2020-12-22,"A Illa de Arousa",4926,78,
2020-12-23,"A Illa de Arousa",4926,83,
2020-12-24,"A Illa de Arousa",4926,92,
2020-12-25,"A Illa de Arousa",4926,96,
2020-12-26,"A Illa de Arousa",4926,100,
2020-12-27,"A Illa de Arousa",4926,92,
2020-12-28,"A Illa de Arousa",4926,96,
2020-12-29,"A Illa de Arousa",4926,94,
2020-12-30,"A Illa de Arousa",4926,95,
2020-12-31,"A Illa de Arousa",4926,93,
2021-01-01,"A Illa de Arousa",4926,81,
2021-01-02,"A Illa de Arousa",4926,85,
2021-01-03,"A Illa de Arousa",4926,84,
2021-01-04,"A Illa de Arousa",4926,89,
2021-01-05,"A Illa de Arousa",4926,91,
2021-01-06,"A Illa de Arousa",4926,86,
2021-01-07,"A Illa de Arousa",4926,84,
2021-01-08,"A Illa de Arousa",4926,79,
2021-01-09,"A Illa de Arousa",4926,73,
2021-01-10,"A Illa de Arousa",4926,70,
2021-01-11,"A Illa de Arousa",4926,64,
2021-01-12,"A Illa de Arousa",4926,61,
2021-01-13,"A Illa de Arousa",4926,56,
2021-01-14,"A Illa de Arousa",4926,54,
2021-01-15,"A Illa de Arousa",4926,58,
2021-01-16,"A Illa de Arousa",4926,51,
2021-01-17,"A Illa de Arousa",4926,47,
2021-01-18,"A Illa de Arousa",4926,35,
2021-01-19,"A Illa de Arousa",4926,24,
2021-01-20,"A Illa de Arousa",4926,24,
2021-01-21,"A Illa de Arousa",4926,17,
2021-01-22,"A Illa de Arousa",4926,16,
2021-01-23,"A Illa de Arousa",4926,18,
2021-01-24,"A Illa de Arousa",4926,19,
2021-01-25,"A Illa de Arousa",4926,17,
2021-01-26,"A Illa de Arousa",4926,17,
2021-01-27,"A Illa de Arousa",4926,23,
2021-01-28,"A Illa de Arousa",4926,22,
2021-01-29,"A Illa de Arousa",4926,18,
2021-01-30,"A Illa de Arousa",4926,18,
2021-01-31,"A Illa de Arousa",4926,17,
2021-02-01,"A Illa de Arousa",4926,22,
2021-02-02,"A Illa de Arousa",4926,22,
2021-02-03,"A Illa de Arousa",4926,23,
2021-02-04,"A Illa de Arousa",4926,22,
2021-02-05,"A Illa de Arousa",4926,25,
2021-02-06,"A Illa de Arousa",4926,23,
2021-02-07,"A Illa de Arousa",4926,24,
2021-02-08,"A Illa de Arousa",4926,24,
2021-02-09,"A Illa de Arousa",4926,25,
2021-02-10,"A Illa de Arousa",4926,21,
2021-02-11,"A Illa de Arousa",4926,21,
2021-02-12,"A Illa de Arousa",4926,18,
2021-02-13,"A Illa de Arousa",4926,17,
2021-02-14,"A Illa de Arousa",4926,17,
2021-02-15,"A Illa de Arousa",4926,12,
2021-02-16,"A Illa de Arousa",4926,13,
2021-02-17,"A Illa de Arousa",4926,13,
2021-02-18,"A Illa de Arousa",4926,14,
2021-02-19,"A Illa de Arousa",4926,15,
2021-02-20,"A Illa de Arousa",4926,15,
2021-02-21,"A Illa de Arousa",4926,13,
2021-02-22,"A Illa de Arousa",4926,13,
2021-02-23,"A Illa de Arousa",4926,11,
2021-02-24,"A Illa de Arousa",4926,,
2021-02-25,"A Illa de Arousa",4926,,
2021-02-26,"A Illa de Arousa",4926,,
2021-02-27,"A Illa de Arousa",4926,,
2021-02-28,"A Illa de Arousa",4926,,
2021-03-01,"A Illa de Arousa",4926,,
2021-03-02,"A Illa de Arousa",4926,,0
2021-03-03,"A Illa de Arousa",4926,,0
2021-03-04,"A Illa de Arousa",4926,,0
2021-03-05,"A Illa de Arousa",4926,0,0
2021-03-06,"A Illa de Arousa",4926,0,0
2021-03-07,"A Illa de Arousa",4926,0,0
2021-03-08,"A Illa de Arousa",4926,0,0
2021-03-09,"A Illa de Arousa",4926,,
2021-03-10,"A Illa de Arousa",4926,,
2021-03-11,"A Illa de Arousa",4926,,
2021-03-12,"A Illa de Arousa",4926,,
2021-03-13,"A Illa de Arousa",4926,,
2021-03-14,"A Illa de Arousa",4926,,
2021-03-15,"A Illa de Arousa",4926,,
2021-03-16,"A Illa de Arousa",4926,,0
2021-03-17,"A Illa de Arousa",4926,,0
2021-03-18,"A Illa de Arousa",4926,,0
2021-03-19,"A Illa de Arousa",4926,,0
2021-03-20,"A Illa de Arousa",4926,,0
2021-03-21,"A Illa de Arousa",4926,,0
2021-03-22,"A Illa de Arousa",4926,,0
2021-03-23,"A Illa de Arousa",4926,0,0
2021-03-24,"A Illa de Arousa",4926,0,0
2021-03-25,"A Illa de Arousa",4926,,
2021-03-26,"A Illa de Arousa",4926,,
2021-03-27,"A Illa de Arousa",4926,,
2021-03-28,"A Illa de Arousa",4926,,
2021-03-29,"A Illa de Arousa",4926,,
2021-03-30,"A Illa de Arousa",4926,,
2021-03-31,"A Illa de Arousa",4926,,
2021-04-01,"A Illa de Arousa",4926,,
2021-04-02,"A Illa de Arousa",4926,,
2021-04-03,"A Illa de Arousa",4926,,
2021-04-04,"A Illa de Arousa",4926,,
2021-04-05,"A Illa de Arousa",4926,,
2021-04-06,"A Illa de Arousa",4926,11,
2021-04-07,"A Illa de Arousa",4926,11,
2021-04-08,"A Illa de Arousa",4926,10,
2021-04-09,"A Illa de Arousa",4926,10,
2021-04-10,"A Illa de Arousa",4926,10,
2021-04-11,"A Illa de Arousa",4926,10,
2021-04-12,"A Illa de Arousa",4926,11,
2021-04-13,"A Illa de Arousa",4926,10,
2021-04-14,"A Illa de Arousa",4926,10,
2021-04-15,"A Illa de Arousa",4926,10,
2021-04-16,"A Illa de Arousa",4926,,
2021-04-17,"A Illa de Arousa",4926,,
2021-04-18,"A Illa de Arousa",4926,,
2021-04-19,"A Illa de Arousa",4926,,
2021-04-20,"A Illa de Arousa",4926,,
