fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"A Laracha",11347,39,
2020-11-22,"A Laracha",11347,42,
2020-11-23,"A Laracha",11347,42,
2020-11-24,"A Laracha",11347,42,
2020-11-25,"A Laracha",11347,45,
2020-11-26,"A Laracha",11347,44,
2020-11-27,"A Laracha",11347,45,
2020-11-28,"A Laracha",11347,40,
2020-11-29,"A Laracha",11347,34,
2020-11-30,"A Laracha",11347,33,
2020-12-01,"A Laracha",11347,33,
2020-12-02,"A Laracha",11347,30,
2020-12-03,"A Laracha",11347,31,
2020-12-04,"A Laracha",11347,23,
2020-12-05,"A Laracha",11347,24,
2020-12-06,"A Laracha",11347,22,
2020-12-07,"A Laracha",11347,22,
2020-12-08,"A Laracha",11347,21,
2020-12-09,"A Laracha",11347,17,
2020-12-10,"A Laracha",11347,17,
2020-12-11,"A Laracha",11347,12,
2020-12-12,"A Laracha",11347,10,
2020-12-13,"A Laracha",11347,,
2020-12-14,"A Laracha",11347,,
2020-12-15,"A Laracha",11347,,
2020-12-16,"A Laracha",11347,,
2020-12-17,"A Laracha",11347,,
2020-12-18,"A Laracha",11347,,
2020-12-19,"A Laracha",11347,,
2020-12-20,"A Laracha",11347,,
2020-12-21,"A Laracha",11347,,
2020-12-22,"A Laracha",11347,,
2020-12-23,"A Laracha",11347,,
2020-12-24,"A Laracha",11347,0,
2020-12-25,"A Laracha",11347,0,
2020-12-26,"A Laracha",11347,0,
2020-12-27,"A Laracha",11347,0,
2020-12-28,"A Laracha",11347,0,
2020-12-29,"A Laracha",11347,0,
2020-12-30,"A Laracha",11347,0,
2020-12-31,"A Laracha",11347,0,
2021-01-01,"A Laracha",11347,0,
2021-01-02,"A Laracha",11347,,
2021-01-03,"A Laracha",11347,,
2021-01-04,"A Laracha",11347,,
2021-01-05,"A Laracha",11347,,
2021-01-06,"A Laracha",11347,,
2021-01-07,"A Laracha",11347,,
2021-01-08,"A Laracha",11347,13,
2021-01-09,"A Laracha",11347,17,
2021-01-10,"A Laracha",11347,18,
2021-01-11,"A Laracha",11347,23,
2021-01-12,"A Laracha",11347,27,
2021-01-13,"A Laracha",11347,29,
2021-01-14,"A Laracha",11347,36,
2021-01-15,"A Laracha",11347,49,
2021-01-16,"A Laracha",11347,54,
2021-01-17,"A Laracha",11347,55,
2021-01-18,"A Laracha",11347,57,
2021-01-19,"A Laracha",11347,67,
2021-01-20,"A Laracha",11347,82,
2021-01-21,"A Laracha",11347,104,
2021-01-22,"A Laracha",11347,101,
2021-01-23,"A Laracha",11347,114,
2021-01-24,"A Laracha",11347,118,
2021-01-25,"A Laracha",11347,120,
2021-01-26,"A Laracha",11347,127,
2021-01-27,"A Laracha",11347,131,
2021-01-28,"A Laracha",11347,131,
2021-01-29,"A Laracha",11347,127,
2021-01-30,"A Laracha",11347,124,
2021-01-31,"A Laracha",11347,130,
2021-02-01,"A Laracha",11347,134,
2021-02-02,"A Laracha",11347,128,
2021-02-03,"A Laracha",11347,117,
2021-02-04,"A Laracha",11347,103,
2021-02-05,"A Laracha",11347,103,
2021-02-06,"A Laracha",11347,89,
2021-02-07,"A Laracha",11347,90,
2021-02-08,"A Laracha",11347,90,
2021-02-09,"A Laracha",11347,83,
2021-02-10,"A Laracha",11347,91,
2021-02-11,"A Laracha",11347,92,
2021-02-12,"A Laracha",11347,91,
2021-02-13,"A Laracha",11347,92,
2021-02-14,"A Laracha",11347,85,
2021-02-15,"A Laracha",11347,80,
2021-02-16,"A Laracha",11347,77,
2021-02-17,"A Laracha",11347,73,
2021-02-18,"A Laracha",11347,65,
2021-02-19,"A Laracha",11347,65,
2021-02-20,"A Laracha",11347,63,
2021-02-21,"A Laracha",11347,57,
2021-02-22,"A Laracha",11347,53,
2021-02-23,"A Laracha",11347,50,
