fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Abadín,2367,,
2020-11-22,Abadín,2367,,
2020-11-23,Abadín,2367,,
2020-11-24,Abadín,2367,,
2020-11-25,Abadín,2367,,
2020-11-26,Abadín,2367,,
2020-11-27,Abadín,2367,,
2020-11-28,Abadín,2367,,
2020-11-29,Abadín,2367,,
2020-11-30,Abadín,2367,,
2020-12-01,Abadín,2367,,
2020-12-02,Abadín,2367,,
2020-12-03,Abadín,2367,,
2020-12-04,Abadín,2367,,
2020-12-05,Abadín,2367,,
2020-12-06,Abadín,2367,,
2020-12-07,Abadín,2367,,
2020-12-08,Abadín,2367,,
2020-12-09,Abadín,2367,,
2020-12-10,Abadín,2367,,
2020-12-11,Abadín,2367,,
2020-12-12,Abadín,2367,,
2020-12-13,Abadín,2367,,
2020-12-14,Abadín,2367,,
2020-12-15,Abadín,2367,0,
2020-12-16,Abadín,2367,0,
2020-12-17,Abadín,2367,0,
2020-12-18,Abadín,2367,0,
2020-12-19,Abadín,2367,0,
2020-12-20,Abadín,2367,0,
2020-12-21,Abadín,2367,0,
2020-12-22,Abadín,2367,0,
2020-12-23,Abadín,2367,,
2020-12-24,Abadín,2367,,
2020-12-25,Abadín,2367,,
2020-12-26,Abadín,2367,,
2020-12-27,Abadín,2367,,
2020-12-28,Abadín,2367,,
2020-12-29,Abadín,2367,,
2020-12-30,Abadín,2367,,
2020-12-31,Abadín,2367,,
2021-01-01,Abadín,2367,,
2021-01-02,Abadín,2367,,
2021-01-03,Abadín,2367,,
2021-01-04,Abadín,2367,,
2021-01-05,Abadín,2367,,
2021-01-06,Abadín,2367,,
2021-01-07,Abadín,2367,,
2021-01-08,Abadín,2367,0,
2021-01-09,Abadín,2367,,
2021-01-10,Abadín,2367,,
2021-01-11,Abadín,2367,,
2021-01-12,Abadín,2367,,
2021-01-13,Abadín,2367,,
2021-01-14,Abadín,2367,,
2021-01-15,Abadín,2367,,
2021-01-16,Abadín,2367,,
2021-01-17,Abadín,2367,,
2021-01-18,Abadín,2367,,
2021-01-19,Abadín,2367,,
2021-01-20,Abadín,2367,,
2021-01-21,Abadín,2367,,
2021-01-22,Abadín,2367,,
2021-01-23,Abadín,2367,,
2021-01-24,Abadín,2367,,
