fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Abegondo,5406,11,
2020-11-22,Abegondo,5406,11,
2020-11-23,Abegondo,5406,11,
2020-11-24,Abegondo,5406,13,
2020-11-25,Abegondo,5406,13,
2020-11-26,Abegondo,5406,18,
2020-11-27,Abegondo,5406,18,
2020-11-28,Abegondo,5406,20,
2020-11-29,Abegondo,5406,19,
2020-11-30,Abegondo,5406,20,
2020-12-01,Abegondo,5406,20,
2020-12-02,Abegondo,5406,23,
2020-12-03,Abegondo,5406,23,
2020-12-04,Abegondo,5406,23,
2020-12-05,Abegondo,5406,24,
2020-12-06,Abegondo,5406,24,
2020-12-07,Abegondo,5406,23,
2020-12-08,Abegondo,5406,22,
2020-12-09,Abegondo,5406,19,
2020-12-10,Abegondo,5406,15,
2020-12-11,Abegondo,5406,13,
2020-12-12,Abegondo,5406,11,
2020-12-13,Abegondo,5406,11,
2020-12-14,Abegondo,5406,10,
2020-12-15,Abegondo,5406,10,
2020-12-16,Abegondo,5406,,
2020-12-17,Abegondo,5406,,
2020-12-18,Abegondo,5406,,
2020-12-19,Abegondo,5406,,
2020-12-20,Abegondo,5406,,
2020-12-21,Abegondo,5406,,
2020-12-22,Abegondo,5406,,
2020-12-23,Abegondo,5406,,
2020-12-24,Abegondo,5406,,
2020-12-25,Abegondo,5406,,
2020-12-26,Abegondo,5406,,
2020-12-27,Abegondo,5406,,
2020-12-28,Abegondo,5406,,
2020-12-29,Abegondo,5406,10,
2020-12-30,Abegondo,5406,10,
2020-12-31,Abegondo,5406,17,
2021-01-01,Abegondo,5406,19,
2021-01-02,Abegondo,5406,17,
2021-01-03,Abegondo,5406,16,
2021-01-04,Abegondo,5406,18,
2021-01-05,Abegondo,5406,18,
2021-01-06,Abegondo,5406,17,
2021-01-07,Abegondo,5406,17,
2021-01-08,Abegondo,5406,16,
2021-01-09,Abegondo,5406,17,
2021-01-10,Abegondo,5406,20,
2021-01-11,Abegondo,5406,20,
2021-01-12,Abegondo,5406,18,
2021-01-13,Abegondo,5406,18,
2021-01-14,Abegondo,5406,13,
2021-01-15,Abegondo,5406,15,
2021-01-16,Abegondo,5406,20,
2021-01-17,Abegondo,5406,22,
2021-01-18,Abegondo,5406,21,
2021-01-19,Abegondo,5406,22,
2021-01-20,Abegondo,5406,23,
2021-01-21,Abegondo,5406,24,
2021-01-22,Abegondo,5406,28,
2021-01-23,Abegondo,5406,33,
2021-01-24,Abegondo,5406,36,
2021-01-25,Abegondo,5406,42,
2021-01-26,Abegondo,5406,43,
2021-01-27,Abegondo,5406,47,
2021-01-28,Abegondo,5406,51,
2021-01-29,Abegondo,5406,49,
2021-01-30,Abegondo,5406,45,
2021-01-31,Abegondo,5406,46,
2021-02-01,Abegondo,5406,46,
2021-02-02,Abegondo,5406,51,
2021-02-03,Abegondo,5406,53,
2021-02-04,Abegondo,5406,52,
2021-02-05,Abegondo,5406,50,
2021-02-06,Abegondo,5406,46,
2021-02-07,Abegondo,5406,42,
2021-02-08,Abegondo,5406,35,
2021-02-09,Abegondo,5406,38,
2021-02-10,Abegondo,5406,33,
2021-02-11,Abegondo,5406,31,
2021-02-12,Abegondo,5406,30,
2021-02-13,Abegondo,5406,30,
2021-02-14,Abegondo,5406,27,
2021-02-15,Abegondo,5406,26,
2021-02-16,Abegondo,5406,21,
2021-02-17,Abegondo,5406,19,
2021-02-18,Abegondo,5406,19,
2021-02-19,Abegondo,5406,17,
2021-02-20,Abegondo,5406,15,
2021-02-21,Abegondo,5406,12,
2021-02-22,Abegondo,5406,11,
2021-02-23,Abegondo,5406,,
2021-02-24,Abegondo,5406,,
2021-02-25,Abegondo,5406,,
2021-02-26,Abegondo,5406,,
2021-02-27,Abegondo,5406,,
2021-02-28,Abegondo,5406,,
2021-03-01,Abegondo,5406,,
2021-03-02,Abegondo,5406,,0
2021-03-03,Abegondo,5406,0,0
2021-03-04,Abegondo,5406,0,0
2021-03-05,Abegondo,5406,,
2021-03-06,Abegondo,5406,,
2021-03-07,Abegondo,5406,,
2021-03-08,Abegondo,5406,,
2021-03-09,Abegondo,5406,,
2021-03-10,Abegondo,5406,,
2021-03-11,Abegondo,5406,,
2021-03-12,Abegondo,5406,,
2021-03-13,Abegondo,5406,,
2021-03-14,Abegondo,5406,,
2021-03-15,Abegondo,5406,,
2021-03-16,Abegondo,5406,,
2021-03-17,Abegondo,5406,,
2021-03-18,Abegondo,5406,,
2021-03-19,Abegondo,5406,,
2021-03-20,Abegondo,5406,,
2021-03-21,Abegondo,5406,,
2021-03-22,Abegondo,5406,,
2021-03-23,Abegondo,5406,,
2021-03-24,Abegondo,5406,11,
2021-03-25,Abegondo,5406,11,
2021-03-26,Abegondo,5406,10,
2021-03-27,Abegondo,5406,,
2021-03-28,Abegondo,5406,,
2021-03-29,Abegondo,5406,,
2021-03-30,Abegondo,5406,,
2021-03-31,Abegondo,5406,,
2021-04-01,Abegondo,5406,,
2021-04-02,Abegondo,5406,,
2021-04-03,Abegondo,5406,,
2021-04-04,Abegondo,5406,,
2021-04-05,Abegondo,5406,,
2021-04-06,Abegondo,5406,,
2021-04-07,Abegondo,5406,,
2021-04-08,Abegondo,5406,,
2021-04-09,Abegondo,5406,,
2021-04-10,Abegondo,5406,,
2021-04-11,Abegondo,5406,,
2021-04-12,Abegondo,5406,,
2021-04-13,Abegondo,5406,,
2021-04-14,Abegondo,5406,,
2021-04-15,Abegondo,5406,,
2021-04-16,Abegondo,5406,,
2021-04-17,Abegondo,5406,,
2021-04-18,Abegondo,5406,,
2021-04-19,Abegondo,5406,,
2021-04-20,Abegondo,5406,,
2021-04-21,Abegondo,5406,,0
2021-04-22,Abegondo,5406,,
2021-04-23,Abegondo,5406,,
