fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Alfoz,1688,,
2020-11-22,Alfoz,1688,,
2020-11-23,Alfoz,1688,,
2020-11-24,Alfoz,1688,,
2020-11-25,Alfoz,1688,,
2020-11-26,Alfoz,1688,,
2020-11-27,Alfoz,1688,,
2020-11-28,Alfoz,1688,,
2020-11-29,Alfoz,1688,0,
2020-11-30,Alfoz,1688,0,
2020-12-01,Alfoz,1688,,
2020-12-02,Alfoz,1688,,
2020-12-03,Alfoz,1688,,
2020-12-04,Alfoz,1688,,
2020-12-05,Alfoz,1688,,
2020-12-06,Alfoz,1688,,
2020-12-07,Alfoz,1688,,
2020-12-08,Alfoz,1688,,
2020-12-09,Alfoz,1688,,
2020-12-10,Alfoz,1688,,
2020-12-11,Alfoz,1688,,
2020-12-12,Alfoz,1688,,
2020-12-13,Alfoz,1688,,
2020-12-14,Alfoz,1688,,
2020-12-15,Alfoz,1688,,
2020-12-16,Alfoz,1688,,
2020-12-17,Alfoz,1688,,
2020-12-18,Alfoz,1688,,
2020-12-19,Alfoz,1688,,
2020-12-20,Alfoz,1688,,
2020-12-21,Alfoz,1688,,
2020-12-22,Alfoz,1688,,
2020-12-23,Alfoz,1688,,
2020-12-24,Alfoz,1688,,
2020-12-25,Alfoz,1688,,
2020-12-26,Alfoz,1688,,
2020-12-27,Alfoz,1688,,
2020-12-28,Alfoz,1688,,
2020-12-29,Alfoz,1688,,
2020-12-30,Alfoz,1688,,
2020-12-31,Alfoz,1688,,
2021-01-01,Alfoz,1688,,
2021-01-02,Alfoz,1688,,
2021-01-03,Alfoz,1688,,
2021-01-04,Alfoz,1688,,
2021-01-05,Alfoz,1688,,
2021-01-06,Alfoz,1688,,
2021-01-07,Alfoz,1688,,
2021-01-08,Alfoz,1688,,
2021-01-09,Alfoz,1688,,
2021-01-10,Alfoz,1688,,
2021-01-11,Alfoz,1688,,
2021-01-12,Alfoz,1688,,
2021-01-13,Alfoz,1688,,
2021-01-14,Alfoz,1688,,
2021-01-15,Alfoz,1688,,
2021-01-16,Alfoz,1688,,
2021-01-17,Alfoz,1688,,
2021-01-18,Alfoz,1688,,
2021-01-19,Alfoz,1688,,
2021-01-20,Alfoz,1688,,
2021-01-21,Alfoz,1688,,
2021-01-22,Alfoz,1688,,
2021-01-23,Alfoz,1688,,
2021-01-24,Alfoz,1688,,
2021-01-25,Alfoz,1688,,
2021-01-26,Alfoz,1688,0,
2021-01-27,Alfoz,1688,0,
2021-01-28,Alfoz,1688,0,
2021-01-29,Alfoz,1688,0,
2021-01-30,Alfoz,1688,0,
2021-01-31,Alfoz,1688,0,
2021-02-01,Alfoz,1688,0,
2021-02-02,Alfoz,1688,,
2021-02-03,Alfoz,1688,,
2021-02-04,Alfoz,1688,,
2021-02-05,Alfoz,1688,,
2021-02-06,Alfoz,1688,,
2021-02-07,Alfoz,1688,,
2021-02-08,Alfoz,1688,,
2021-02-09,Alfoz,1688,,
2021-02-10,Alfoz,1688,,
2021-02-11,Alfoz,1688,,
2021-02-12,Alfoz,1688,,
2021-02-13,Alfoz,1688,,
2021-02-14,Alfoz,1688,,
2021-02-15,Alfoz,1688,,
2021-02-16,Alfoz,1688,,
2021-02-17,Alfoz,1688,,
2021-02-18,Alfoz,1688,,
2021-02-19,Alfoz,1688,,
2021-02-20,Alfoz,1688,,
2021-02-21,Alfoz,1688,,
2021-02-22,Alfoz,1688,0,
2021-02-23,Alfoz,1688,0,
2021-02-24,Alfoz,1688,0,
2021-02-25,Alfoz,1688,0,
2021-02-26,Alfoz,1688,0,
2021-02-27,Alfoz,1688,0,
2021-02-28,Alfoz,1688,0,
2021-03-01,Alfoz,1688,0,
2021-03-02,Alfoz,1688,0,0
2021-03-03,Alfoz,1688,0,0
2021-03-04,Alfoz,1688,0,0
2021-03-05,Alfoz,1688,0,0
2021-03-06,Alfoz,1688,0,0
2021-03-07,Alfoz,1688,0,0
2021-03-08,Alfoz,1688,0,0
