fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Allariz,6188,,
2020-11-22,Allariz,6188,,
2020-11-23,Allariz,6188,,
2020-11-24,Allariz,6188,,
2020-11-25,Allariz,6188,,
2020-11-26,Allariz,6188,,
2020-11-27,Allariz,6188,,
2020-11-28,Allariz,6188,,
2020-11-29,Allariz,6188,,
2020-11-30,Allariz,6188,0,
2020-12-01,Allariz,6188,0,
2020-12-02,Allariz,6188,0,
2020-12-03,Allariz,6188,0,
2020-12-04,Allariz,6188,0,
2020-12-05,Allariz,6188,0,
2020-12-06,Allariz,6188,,
2020-12-07,Allariz,6188,,
2020-12-08,Allariz,6188,,
2020-12-09,Allariz,6188,,
2020-12-10,Allariz,6188,,
2020-12-11,Allariz,6188,,
2020-12-12,Allariz,6188,,
2020-12-13,Allariz,6188,,
2020-12-14,Allariz,6188,,
2020-12-15,Allariz,6188,,
2020-12-16,Allariz,6188,0,
2020-12-17,Allariz,6188,0,
2020-12-18,Allariz,6188,0,
2020-12-19,Allariz,6188,0,
2020-12-20,Allariz,6188,0,
2020-12-21,Allariz,6188,,
2020-12-22,Allariz,6188,,
2020-12-23,Allariz,6188,,
2020-12-24,Allariz,6188,,
2020-12-25,Allariz,6188,,
2020-12-26,Allariz,6188,,
2020-12-27,Allariz,6188,,
2020-12-28,Allariz,6188,,
2020-12-29,Allariz,6188,,
2020-12-30,Allariz,6188,,
2020-12-31,Allariz,6188,,
2021-01-01,Allariz,6188,10,
2021-01-02,Allariz,6188,10,
2021-01-03,Allariz,6188,12,
2021-01-04,Allariz,6188,11,
2021-01-05,Allariz,6188,13,
2021-01-06,Allariz,6188,14,
2021-01-07,Allariz,6188,18,
2021-01-08,Allariz,6188,23,
2021-01-09,Allariz,6188,29,
2021-01-10,Allariz,6188,34,
2021-01-11,Allariz,6188,41,
2021-01-12,Allariz,6188,53,
2021-01-13,Allariz,6188,58,
2021-01-14,Allariz,6188,57,
2021-01-15,Allariz,6188,77,
2021-01-16,Allariz,6188,87,
2021-01-17,Allariz,6188,91,
2021-01-18,Allariz,6188,104,
2021-01-19,Allariz,6188,107,
2021-01-20,Allariz,6188,115,
2021-01-21,Allariz,6188,120,
2021-01-22,Allariz,6188,117,
2021-01-23,Allariz,6188,115,
2021-01-24,Allariz,6188,118,
2021-01-25,Allariz,6188,115,
2021-01-26,Allariz,6188,110,
2021-01-27,Allariz,6188,113,
2021-01-28,Allariz,6188,115,
2021-01-29,Allariz,6188,95,
2021-01-30,Allariz,6188,91,
2021-01-31,Allariz,6188,87,
2021-02-01,Allariz,6188,80,
2021-02-02,Allariz,6188,77,
2021-02-03,Allariz,6188,68,
2021-02-04,Allariz,6188,59,
2021-02-05,Allariz,6188,56,
2021-02-06,Allariz,6188,55,
2021-02-07,Allariz,6188,47,
2021-02-08,Allariz,6188,42,
2021-02-09,Allariz,6188,37,
2021-02-10,Allariz,6188,26,
2021-02-11,Allariz,6188,25,
2021-02-12,Allariz,6188,25,
2021-02-13,Allariz,6188,20,
2021-02-14,Allariz,6188,19,
2021-02-15,Allariz,6188,13,
2021-02-16,Allariz,6188,10,
2021-02-17,Allariz,6188,10,
2021-02-18,Allariz,6188,,
2021-02-19,Allariz,6188,,
2021-02-20,Allariz,6188,,
2021-02-21,Allariz,6188,,
2021-02-22,Allariz,6188,,
2021-02-23,Allariz,6188,,
2021-02-24,Allariz,6188,,
2021-02-25,Allariz,6188,,
2021-02-26,Allariz,6188,,
2021-02-27,Allariz,6188,,
2021-02-28,Allariz,6188,,
2021-03-01,Allariz,6188,,
2021-03-02,Allariz,6188,,
2021-03-03,Allariz,6188,,0
2021-03-04,Allariz,6188,,0
2021-03-05,Allariz,6188,,0
2021-03-06,Allariz,6188,,0
2021-03-07,Allariz,6188,,0
2021-03-08,Allariz,6188,,0
2021-03-09,Allariz,6188,,0
2021-03-10,Allariz,6188,0,0
2021-03-11,Allariz,6188,0,0
2021-03-12,Allariz,6188,,
2021-03-13,Allariz,6188,,
2021-03-14,Allariz,6188,,
2021-03-15,Allariz,6188,,
2021-03-16,Allariz,6188,,
2021-03-17,Allariz,6188,,
2021-03-18,Allariz,6188,,
2021-03-19,Allariz,6188,,0
2021-03-20,Allariz,6188,,0
2021-03-21,Allariz,6188,,0
2021-03-22,Allariz,6188,,0
2021-03-23,Allariz,6188,,0
2021-03-24,Allariz,6188,,0
2021-03-25,Allariz,6188,,0
2021-03-26,Allariz,6188,0,0
2021-03-27,Allariz,6188,0,0
2021-03-28,Allariz,6188,0,0
2021-03-29,Allariz,6188,0,0
2021-03-30,Allariz,6188,0,0
2021-03-31,Allariz,6188,0,0
