fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Ames,31793,37,
2020-11-22,Ames,31793,35,
2020-11-23,Ames,31793,33,
2020-11-24,Ames,31793,28,
2020-11-25,Ames,31793,27,
2020-11-26,Ames,31793,28,
2020-11-27,Ames,31793,27,
2020-11-28,Ames,31793,24,
2020-11-29,Ames,31793,20,
2020-11-30,Ames,31793,17,
2020-12-01,Ames,31793,21,
2020-12-02,Ames,31793,24,
2020-12-03,Ames,31793,25,
2020-12-04,Ames,31793,20,
2020-12-05,Ames,31793,18,
2020-12-06,Ames,31793,18,
2020-12-07,Ames,31793,18,
2020-12-08,Ames,31793,21,
2020-12-09,Ames,31793,20,
2020-12-10,Ames,31793,22,
2020-12-11,Ames,31793,22,
2020-12-12,Ames,31793,25,
2020-12-13,Ames,31793,27,
2020-12-14,Ames,31793,28,
2020-12-15,Ames,31793,28,
2020-12-16,Ames,31793,26,
2020-12-17,Ames,31793,25,
2020-12-18,Ames,31793,27,
2020-12-19,Ames,31793,31,
2020-12-20,Ames,31793,32,
2020-12-21,Ames,31793,35,
2020-12-22,Ames,31793,32,
2020-12-23,Ames,31793,33,
2020-12-24,Ames,31793,35,
2020-12-25,Ames,31793,38,
2020-12-26,Ames,31793,36,
2020-12-27,Ames,31793,36,
2020-12-28,Ames,31793,35,
2020-12-29,Ames,31793,34,
2020-12-30,Ames,31793,38,
2020-12-31,Ames,31793,54,
2021-01-01,Ames,31793,55,
2021-01-02,Ames,31793,63,
2021-01-03,Ames,31793,69,
2021-01-04,Ames,31793,71,
2021-01-05,Ames,31793,74,
2021-01-06,Ames,31793,86,
2021-01-07,Ames,31793,90,
2021-01-08,Ames,31793,100,
2021-01-09,Ames,31793,118,
2021-01-10,Ames,31793,121,
2021-01-11,Ames,31793,124,
2021-01-12,Ames,31793,129,
2021-01-13,Ames,31793,141,
2021-01-14,Ames,31793,134,
2021-01-15,Ames,31793,140,
2021-01-16,Ames,31793,142,
2021-01-17,Ames,31793,146,
2021-01-18,Ames,31793,150,
2021-01-19,Ames,31793,156,
2021-01-20,Ames,31793,151,
2021-01-21,Ames,31793,155,
2021-01-22,Ames,31793,161,
2021-01-23,Ames,31793,150,
2021-01-24,Ames,31793,161,
2021-01-25,Ames,31793,178,
2021-01-26,Ames,31793,183,
2021-01-27,Ames,31793,182,
2021-01-28,Ames,31793,186,
2021-01-29,Ames,31793,199,
2021-01-30,Ames,31793,203,
2021-01-31,Ames,31793,203,
2021-02-01,Ames,31793,206,
2021-02-02,Ames,31793,207,
2021-02-03,Ames,31793,208,
2021-02-04,Ames,31793,201,
2021-02-05,Ames,31793,189,
2021-02-06,Ames,31793,180,
2021-02-07,Ames,31793,169,
2021-02-08,Ames,31793,152,
2021-02-09,Ames,31793,144,
2021-02-10,Ames,31793,133,
2021-02-11,Ames,31793,124,
2021-02-12,Ames,31793,101,
2021-02-13,Ames,31793,83,
2021-02-14,Ames,31793,72,
2021-02-15,Ames,31793,61,
2021-02-16,Ames,31793,50,
2021-02-17,Ames,31793,47,
2021-02-18,Ames,31793,44,
2021-02-19,Ames,31793,35,
2021-02-20,Ames,31793,40,
2021-02-21,Ames,31793,38,
2021-02-22,Ames,31793,35,
2021-02-23,Ames,31793,35,
2021-02-24,Ames,31793,37,
2021-02-25,Ames,31793,37,
2021-02-26,Ames,31793,39,
2021-02-27,Ames,31793,42,
2021-02-28,Ames,31793,45,
2021-03-01,Ames,31793,46,
2021-03-02,Ames,31793,45,23
2021-03-03,Ames,31793,43,19
2021-03-04,Ames,31793,40,15
2021-03-05,Ames,31793,42,16
2021-03-06,Ames,31793,42,18
2021-03-07,Ames,31793,41,16
2021-03-08,Ames,31793,42,15
2021-03-09,Ames,31793,39,16
2021-03-10,Ames,31793,35,16
2021-03-11,Ames,31793,32,17
2021-03-12,Ames,31793,35,19
2021-03-13,Ames,31793,32,14
2021-03-14,Ames,31793,31,15
2021-03-15,Ames,31793,31,16
2021-03-16,Ames,31793,31,15
2021-03-17,Ames,31793,28,12
2021-03-18,Ames,31793,28,11
2021-03-19,Ames,31793,26,
2021-03-20,Ames,31793,21,
2021-03-21,Ames,31793,22,
