fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Antas de Ulla",1976,,
2020-11-22,"Antas de Ulla",1976,,
2020-11-23,"Antas de Ulla",1976,,
2020-11-24,"Antas de Ulla",1976,,
2020-11-25,"Antas de Ulla",1976,,
2020-11-26,"Antas de Ulla",1976,13,
2020-11-27,"Antas de Ulla",1976,15,
2020-11-28,"Antas de Ulla",1976,15,
2020-11-29,"Antas de Ulla",1976,14,
2020-11-30,"Antas de Ulla",1976,15,
2020-12-01,"Antas de Ulla",1976,18,
2020-12-02,"Antas de Ulla",1976,17,
2020-12-03,"Antas de Ulla",1976,19,
2020-12-04,"Antas de Ulla",1976,19,
2020-12-05,"Antas de Ulla",1976,21,
2020-12-06,"Antas de Ulla",1976,20,
2020-12-07,"Antas de Ulla",1976,20,
2020-12-08,"Antas de Ulla",1976,21,
2020-12-09,"Antas de Ulla",1976,20,
2020-12-10,"Antas de Ulla",1976,13,
2020-12-11,"Antas de Ulla",1976,10,
2020-12-12,"Antas de Ulla",1976,11,
2020-12-13,"Antas de Ulla",1976,10,
2020-12-14,"Antas de Ulla",1976,,
2020-12-15,"Antas de Ulla",1976,,
2020-12-16,"Antas de Ulla",1976,,
2020-12-17,"Antas de Ulla",1976,,
2020-12-18,"Antas de Ulla",1976,,
2020-12-19,"Antas de Ulla",1976,,
2020-12-20,"Antas de Ulla",1976,,
2020-12-21,"Antas de Ulla",1976,,
2020-12-22,"Antas de Ulla",1976,,
2020-12-23,"Antas de Ulla",1976,,
2020-12-24,"Antas de Ulla",1976,,
2020-12-25,"Antas de Ulla",1976,,
2020-12-26,"Antas de Ulla",1976,,
2020-12-27,"Antas de Ulla",1976,,
2020-12-28,"Antas de Ulla",1976,,
2020-12-29,"Antas de Ulla",1976,,
2020-12-30,"Antas de Ulla",1976,,
2020-12-31,"Antas de Ulla",1976,,
2021-01-01,"Antas de Ulla",1976,,
2021-01-02,"Antas de Ulla",1976,,
2021-01-03,"Antas de Ulla",1976,,
2021-01-04,"Antas de Ulla",1976,,
2021-01-05,"Antas de Ulla",1976,,
2021-01-06,"Antas de Ulla",1976,,
2021-01-07,"Antas de Ulla",1976,,
2021-01-08,"Antas de Ulla",1976,0,
2021-01-09,"Antas de Ulla",1976,0,
2021-01-10,"Antas de Ulla",1976,0,
2021-01-11,"Antas de Ulla",1976,0,
2021-01-12,"Antas de Ulla",1976,0,
2021-01-13,"Antas de Ulla",1976,0,
2021-01-14,"Antas de Ulla",1976,0,
2021-01-15,"Antas de Ulla",1976,0,
