fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Aranga,1849,,
2020-11-22,Aranga,1849,,
2020-11-23,Aranga,1849,,
2020-11-24,Aranga,1849,,
2020-11-25,Aranga,1849,10,
2020-11-26,Aranga,1849,10,
2020-11-27,Aranga,1849,12,
2020-11-28,Aranga,1849,13,
2020-11-29,Aranga,1849,13,
2020-11-30,Aranga,1849,13,
2020-12-01,Aranga,1849,13,
2020-12-02,Aranga,1849,15,
2020-12-03,Aranga,1849,15,
2020-12-04,Aranga,1849,14,
2020-12-05,Aranga,1849,10,
2020-12-06,Aranga,1849,,
2020-12-07,Aranga,1849,,
2020-12-08,Aranga,1849,,
2020-12-09,Aranga,1849,,
2020-12-10,Aranga,1849,,
2020-12-11,Aranga,1849,,
2020-12-12,Aranga,1849,,
2020-12-13,Aranga,1849,,
2020-12-14,Aranga,1849,,
2020-12-15,Aranga,1849,,
2020-12-16,Aranga,1849,,
2020-12-17,Aranga,1849,,
2020-12-18,Aranga,1849,12,
2020-12-19,Aranga,1849,16,
2020-12-20,Aranga,1849,16,
2020-12-21,Aranga,1849,16,
2020-12-22,Aranga,1849,16,
2020-12-23,Aranga,1849,16,
2020-12-24,Aranga,1849,15,
2020-12-25,Aranga,1849,14,
2020-12-26,Aranga,1849,14,
2020-12-27,Aranga,1849,13,
2020-12-28,Aranga,1849,13,
2020-12-29,Aranga,1849,13,
2020-12-30,Aranga,1849,13,
2020-12-31,Aranga,1849,,
2021-01-01,Aranga,1849,,
2021-01-02,Aranga,1849,,
2021-01-03,Aranga,1849,,
2021-01-04,Aranga,1849,,
2021-01-05,Aranga,1849,,
2021-01-06,Aranga,1849,,
2021-01-07,Aranga,1849,0,
2021-01-08,Aranga,1849,0,
2021-01-09,Aranga,1849,0,
2021-01-10,Aranga,1849,0,
2021-01-11,Aranga,1849,0,
2021-01-12,Aranga,1849,0,
2021-01-13,Aranga,1849,0,
2021-01-14,Aranga,1849,0,
2021-01-15,Aranga,1849,0,
2021-01-16,Aranga,1849,0,
2021-01-17,Aranga,1849,0,
2021-01-18,Aranga,1849,0,
2021-01-19,Aranga,1849,,
2021-01-20,Aranga,1849,,
2021-01-21,Aranga,1849,,
2021-01-22,Aranga,1849,,
2021-01-23,Aranga,1849,,
2021-01-24,Aranga,1849,,
2021-01-25,Aranga,1849,,
2021-01-26,Aranga,1849,,
2021-01-27,Aranga,1849,,
2021-01-28,Aranga,1849,,
2021-01-29,Aranga,1849,,
2021-01-30,Aranga,1849,,
2021-01-31,Aranga,1849,,
2021-02-01,Aranga,1849,,
2021-02-02,Aranga,1849,,
2021-02-03,Aranga,1849,,
2021-02-04,Aranga,1849,,
2021-02-05,Aranga,1849,,
2021-02-06,Aranga,1849,,
2021-02-07,Aranga,1849,,
2021-02-08,Aranga,1849,,
2021-02-09,Aranga,1849,,
2021-02-10,Aranga,1849,,
2021-02-11,Aranga,1849,,
2021-02-12,Aranga,1849,11,
2021-02-13,Aranga,1849,11,
2021-02-14,Aranga,1849,11,
2021-02-15,Aranga,1849,13,
2021-02-16,Aranga,1849,15,
2021-02-17,Aranga,1849,15,
2021-02-18,Aranga,1849,16,
2021-02-19,Aranga,1849,14,
2021-02-20,Aranga,1849,14,
2021-02-21,Aranga,1849,13,
2021-02-22,Aranga,1849,13,
2021-02-23,Aranga,1849,,
2021-02-24,Aranga,1849,,
2021-02-25,Aranga,1849,10,
2021-02-26,Aranga,1849,,
2021-02-27,Aranga,1849,11,
2021-02-28,Aranga,1849,11,
2021-03-01,Aranga,1849,,
2021-03-02,Aranga,1849,,
2021-03-03,Aranga,1849,,
2021-03-04,Aranga,1849,,
2021-03-05,Aranga,1849,,
2021-03-06,Aranga,1849,,0
2021-03-07,Aranga,1849,,0
2021-03-08,Aranga,1849,,0
2021-03-09,Aranga,1849,,0
2021-03-10,Aranga,1849,,0
2021-03-11,Aranga,1849,,0
2021-03-12,Aranga,1849,,
2021-03-13,Aranga,1849,,
2021-03-14,Aranga,1849,,
2021-03-15,Aranga,1849,,
2021-03-16,Aranga,1849,,
2021-03-17,Aranga,1849,,
2021-03-18,Aranga,1849,,
2021-03-19,Aranga,1849,,0
2021-03-20,Aranga,1849,,0
2021-03-21,Aranga,1849,,0
2021-03-22,Aranga,1849,,0
2021-03-23,Aranga,1849,,
2021-03-24,Aranga,1849,,
2021-03-25,Aranga,1849,,
2021-03-26,Aranga,1849,,
2021-03-27,Aranga,1849,0,0
2021-03-28,Aranga,1849,0,0
2021-03-29,Aranga,1849,0,0
2021-03-30,Aranga,1849,0,0
2021-03-31,Aranga,1849,0,0
2021-04-01,Aranga,1849,0,0
2021-04-02,Aranga,1849,0,0
2021-04-03,Aranga,1849,0,0
2021-04-04,Aranga,1849,0,0
2021-04-05,Aranga,1849,0,0
2021-04-06,Aranga,1849,0,0
2021-04-07,Aranga,1849,0,0
2021-04-08,Aranga,1849,0,0
2021-04-09,Aranga,1849,0,0
2021-04-10,Aranga,1849,0,0
2021-04-11,Aranga,1849,0,0
2021-04-12,Aranga,1849,0,0
2021-04-13,Aranga,1849,0,0
