fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Arteixo,32262,70,
2020-11-22,Arteixo,32262,72,
2020-11-23,Arteixo,32262,74,
2020-11-24,Arteixo,32262,72,
2020-11-25,Arteixo,32262,76,
2020-11-26,Arteixo,32262,73,
2020-11-27,Arteixo,32262,70,
2020-11-28,Arteixo,32262,70,
2020-11-29,Arteixo,32262,67,
2020-11-30,Arteixo,32262,67,
2020-12-01,Arteixo,32262,65,
2020-12-02,Arteixo,32262,58,
2020-12-03,Arteixo,32262,55,
2020-12-04,Arteixo,32262,55,
2020-12-05,Arteixo,32262,55,
2020-12-06,Arteixo,32262,54,
2020-12-07,Arteixo,32262,51,
2020-12-08,Arteixo,32262,53,
2020-12-09,Arteixo,32262,54,
2020-12-10,Arteixo,32262,55,
2020-12-11,Arteixo,32262,52,
2020-12-12,Arteixo,32262,53,
2020-12-13,Arteixo,32262,52,
2020-12-14,Arteixo,32262,51,
2020-12-15,Arteixo,32262,50,
2020-12-16,Arteixo,32262,51,
2020-12-17,Arteixo,32262,47,
2020-12-18,Arteixo,32262,44,
2020-12-19,Arteixo,32262,45,
2020-12-20,Arteixo,32262,45,
2020-12-21,Arteixo,32262,44,
2020-12-22,Arteixo,32262,41,
2020-12-23,Arteixo,32262,35,
2020-12-24,Arteixo,32262,33,
2020-12-25,Arteixo,32262,32,
2020-12-26,Arteixo,32262,31,
2020-12-27,Arteixo,32262,28,
2020-12-28,Arteixo,32262,25,
2020-12-29,Arteixo,32262,25,
2020-12-30,Arteixo,32262,29,
2020-12-31,Arteixo,32262,37,
2021-01-01,Arteixo,32262,40,
2021-01-02,Arteixo,32262,43,
2021-01-03,Arteixo,32262,45,
2021-01-04,Arteixo,32262,56,
2021-01-05,Arteixo,32262,64,
2021-01-06,Arteixo,32262,73,
2021-01-07,Arteixo,32262,87,
2021-01-08,Arteixo,32262,106,
2021-01-09,Arteixo,32262,143,
2021-01-10,Arteixo,32262,159,
2021-01-11,Arteixo,32262,176,
2021-01-12,Arteixo,32262,201,
2021-01-13,Arteixo,32262,229,
2021-01-14,Arteixo,32262,258,
2021-01-15,Arteixo,32262,305,
2021-01-16,Arteixo,32262,349,
2021-01-17,Arteixo,32262,385,
2021-01-18,Arteixo,32262,417,
2021-01-19,Arteixo,32262,438,
2021-01-20,Arteixo,32262,474,
2021-01-21,Arteixo,32262,504,
2021-01-22,Arteixo,32262,518,
2021-01-23,Arteixo,32262,546,
2021-01-24,Arteixo,32262,562,
2021-01-25,Arteixo,32262,573,
2021-01-26,Arteixo,32262,585,
2021-01-27,Arteixo,32262,584,
2021-01-28,Arteixo,32262,585,
2021-01-29,Arteixo,32262,565,
2021-01-30,Arteixo,32262,553,
2021-01-31,Arteixo,32262,561,
2021-02-01,Arteixo,32262,536,
2021-02-02,Arteixo,32262,530,
2021-02-03,Arteixo,32262,507,
2021-02-04,Arteixo,32262,485,
2021-02-05,Arteixo,32262,469,
2021-02-06,Arteixo,32262,435,
2021-02-07,Arteixo,32262,427,
2021-02-08,Arteixo,32262,414,
2021-02-09,Arteixo,32262,388,
2021-02-10,Arteixo,32262,363,
2021-02-11,Arteixo,32262,339,
2021-02-12,Arteixo,32262,322,
2021-02-13,Arteixo,32262,284,
2021-02-14,Arteixo,32262,240,
2021-02-15,Arteixo,32262,227,
2021-02-16,Arteixo,32262,206,
