fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"As Neves",3841,,
2020-11-22,"As Neves",3841,10,
2020-11-23,"As Neves",3841,,
2020-11-24,"As Neves",3841,,
2020-11-25,"As Neves",3841,11,
2020-11-26,"As Neves",3841,11,
2020-11-27,"As Neves",3841,,
2020-11-28,"As Neves",3841,,
2020-11-29,"As Neves",3841,11,
2020-11-30,"As Neves",3841,13,
2020-12-01,"As Neves",3841,11,
2020-12-02,"As Neves",3841,12,
2020-12-03,"As Neves",3841,11,
2020-12-04,"As Neves",3841,10,
2020-12-05,"As Neves",3841,,
2020-12-06,"As Neves",3841,,
2020-12-07,"As Neves",3841,,
2020-12-08,"As Neves",3841,,
2020-12-09,"As Neves",3841,,
2020-12-10,"As Neves",3841,,
2020-12-11,"As Neves",3841,,
2020-12-12,"As Neves",3841,,
2020-12-13,"As Neves",3841,,
2020-12-14,"As Neves",3841,,
2020-12-15,"As Neves",3841,,
2020-12-16,"As Neves",3841,,
2020-12-17,"As Neves",3841,,
2020-12-18,"As Neves",3841,,
2020-12-19,"As Neves",3841,,
2020-12-20,"As Neves",3841,,
2020-12-21,"As Neves",3841,,
2020-12-22,"As Neves",3841,,
2020-12-23,"As Neves",3841,,
2020-12-24,"As Neves",3841,,
2020-12-25,"As Neves",3841,,
2020-12-26,"As Neves",3841,,
2020-12-27,"As Neves",3841,,
2020-12-28,"As Neves",3841,,
2020-12-29,"As Neves",3841,,
2020-12-30,"As Neves",3841,,
2020-12-31,"As Neves",3841,,
2021-01-01,"As Neves",3841,,
2021-01-02,"As Neves",3841,,
2021-01-03,"As Neves",3841,,
2021-01-04,"As Neves",3841,,
2021-01-05,"As Neves",3841,,
2021-01-06,"As Neves",3841,,
2021-01-07,"As Neves",3841,,
2021-01-08,"As Neves",3841,,
2021-01-09,"As Neves",3841,,
2021-01-10,"As Neves",3841,,
2021-01-11,"As Neves",3841,,
2021-01-12,"As Neves",3841,,
2021-01-13,"As Neves",3841,,
2021-01-14,"As Neves",3841,,
2021-01-15,"As Neves",3841,,
2021-01-16,"As Neves",3841,15,
2021-01-17,"As Neves",3841,16,
2021-01-18,"As Neves",3841,16,
2021-01-19,"As Neves",3841,20,
2021-01-20,"As Neves",3841,27,
2021-01-21,"As Neves",3841,36,
2021-01-22,"As Neves",3841,40,
2021-01-23,"As Neves",3841,47,
2021-01-24,"As Neves",3841,49,
2021-01-25,"As Neves",3841,55,
2021-01-26,"As Neves",3841,60,
2021-01-27,"As Neves",3841,60,
2021-01-28,"As Neves",3841,58,
2021-01-29,"As Neves",3841,57,
2021-01-30,"As Neves",3841,53,
2021-01-31,"As Neves",3841,54,
2021-02-01,"As Neves",3841,57,
2021-02-02,"As Neves",3841,53,
2021-02-03,"As Neves",3841,48,
2021-02-04,"As Neves",3841,39,
2021-02-05,"As Neves",3841,35,
2021-02-06,"As Neves",3841,28,
2021-02-07,"As Neves",3841,26,
2021-02-08,"As Neves",3841,20,
2021-02-09,"As Neves",3841,16,
2021-02-10,"As Neves",3841,16,
2021-02-11,"As Neves",3841,14,
2021-02-12,"As Neves",3841,12,
2021-02-13,"As Neves",3841,11,
2021-02-14,"As Neves",3841,10,
2021-02-15,"As Neves",3841,,
2021-02-16,"As Neves",3841,,
2021-02-17,"As Neves",3841,,
2021-02-18,"As Neves",3841,,
2021-02-19,"As Neves",3841,,
2021-02-20,"As Neves",3841,,
2021-02-21,"As Neves",3841,,
2021-02-22,"As Neves",3841,,
2021-02-23,"As Neves",3841,,
2021-02-24,"As Neves",3841,,
2021-02-25,"As Neves",3841,,
2021-02-26,"As Neves",3841,,
2021-02-27,"As Neves",3841,,
2021-02-28,"As Neves",3841,,
2021-03-01,"As Neves",3841,,
2021-03-02,"As Neves",3841,,
2021-03-03,"As Neves",3841,,
2021-03-04,"As Neves",3841,,
2021-03-05,"As Neves",3841,,
2021-03-06,"As Neves",3841,,
2021-03-07,"As Neves",3841,,
2021-03-08,"As Neves",3841,,0
2021-03-09,"As Neves",3841,,0
2021-03-10,"As Neves",3841,,0
2021-03-11,"As Neves",3841,,0
2021-03-12,"As Neves",3841,,0
2021-03-13,"As Neves",3841,,0
2021-03-14,"As Neves",3841,,0
2021-03-15,"As Neves",3841,0,0
2021-03-16,"As Neves",3841,0,0
2021-03-17,"As Neves",3841,0,0
2021-03-18,"As Neves",3841,0,0
2021-03-19,"As Neves",3841,0,0
2021-03-20,"As Neves",3841,,
2021-03-21,"As Neves",3841,,
2021-03-22,"As Neves",3841,,
2021-03-23,"As Neves",3841,,
2021-03-24,"As Neves",3841,,
2021-03-25,"As Neves",3841,,
2021-03-26,"As Neves",3841,,
2021-03-27,"As Neves",3841,0,0
2021-03-28,"As Neves",3841,0,0
2021-03-29,"As Neves",3841,0,0
2021-03-30,"As Neves",3841,0,0
2021-03-31,"As Neves",3841,0,0
2021-04-01,"As Neves",3841,0,0
2021-04-02,"As Neves",3841,0,0
2021-04-03,"As Neves",3841,0,0
2021-04-04,"As Neves",3841,0,0
2021-04-05,"As Neves",3841,0,0
2021-04-06,"As Neves",3841,,
2021-04-07,"As Neves",3841,,
2021-04-08,"As Neves",3841,,
2021-04-09,"As Neves",3841,,
2021-04-10,"As Neves",3841,,
2021-04-11,"As Neves",3841,,
2021-04-12,"As Neves",3841,,
2021-04-13,"As Neves",3841,,
2021-04-14,"As Neves",3841,,
2021-04-15,"As Neves",3841,,0
2021-04-16,"As Neves",3841,,0
2021-04-17,"As Neves",3841,,
2021-04-18,"As Neves",3841,,
2021-04-19,"As Neves",3841,,
2021-04-20,"As Neves",3841,,
2021-04-21,"As Neves",3841,,
2021-04-22,"As Neves",3841,,
2021-04-23,"As Neves",3841,,
2021-04-24,"As Neves",3841,,
2021-04-25,"As Neves",3841,,
2021-04-26,"As Neves",3841,,
2021-04-27,"As Neves",3841,,
2021-04-28,"As Neves",3841,,
2021-04-29,"As Neves",3841,,
2021-04-30,"As Neves",3841,,0
2021-05-01,"As Neves",3841,,0
2021-05-02,"As Neves",3841,,0
2021-05-03,"As Neves",3841,,0
2021-05-04,"As Neves",3841,,0
2021-05-05,"As Neves",3841,,
2021-05-06,"As Neves",3841,,
2021-05-07,"As Neves",3841,,
2021-05-08,"As Neves",3841,,
2021-05-09,"As Neves",3841,,
2021-05-10,"As Neves",3841,,
2021-05-11,"As Neves",3841,,
2021-05-12,"As Neves",3841,,0
2021-05-13,"As Neves",3841,,0
2021-05-14,"As Neves",3841,,0
2021-05-15,"As Neves",3841,,0
2021-05-16,"As Neves",3841,,
2021-05-17,"As Neves",3841,,
2021-05-18,"As Neves",3841,,
2021-05-19,"As Neves",3841,,
2021-05-20,"As Neves",3841,,
2021-05-21,"As Neves",3841,,
2021-05-22,"As Neves",3841,,
2021-05-23,"As Neves",3841,,
2021-05-24,"As Neves",3841,,
2021-05-25,"As Neves",3841,,
2021-05-26,"As Neves",3841,,
2021-05-27,"As Neves",3841,,
2021-05-28,"As Neves",3841,,
2021-05-29,"As Neves",3841,,
2021-05-30,"As Neves",3841,,
2021-05-31,"As Neves",3841,,
2021-06-01,"As Neves",3841,,
2021-06-02,"As Neves",3841,,
2021-06-03,"As Neves",3841,,0
2021-06-04,"As Neves",3841,,0
2021-06-05,"As Neves",3841,,0
2021-06-06,"As Neves",3841,,0
2021-06-07,"As Neves",3841,,0
2021-06-08,"As Neves",3841,,0
2021-06-09,"As Neves",3841,,0
2021-06-10,"As Neves",3841,0,0
2021-06-11,"As Neves",3841,0,0
2021-06-12,"As Neves",3841,0,0
2021-06-13,"As Neves",3841,0,0
2021-06-14,"As Neves",3841,0,0
2021-06-15,"As Neves",3841,0,0
2021-06-16,"As Neves",3841,0,0
2021-06-17,"As Neves",3841,0,0
2021-06-18,"As Neves",3841,0,0
2021-06-19,"As Neves",3841,0,0
2021-06-20,"As Neves",3841,0,0
2021-06-21,"As Neves",3841,0,0
2021-06-22,"As Neves",3841,0,0
2021-06-23,"As Neves",3841,0,0
2021-06-24,"As Neves",3841,0,0
2021-06-25,"As Neves",3841,0,0
2021-06-26,"As Neves",3841,0,0
2021-06-27,"As Neves",3841,0,0
2021-06-28,"As Neves",3841,0,0
2021-06-29,"As Neves",3841,0,0
2021-06-30,"As Neves",3841,0,0
2021-07-01,"As Neves",3841,0,0
2021-07-02,"As Neves",3841,0,0
2021-07-03,"As Neves",3841,0,0
2021-07-04,"As Neves",3841,0,0
2021-07-05,"As Neves",3841,0,0
2021-07-06,"As Neves",3841,0,0
2021-07-07,"As Neves",3841,0,0
2021-07-08,"As Neves",3841,,
2021-07-09,"As Neves",3841,,
2021-07-10,"As Neves",3841,,
2021-07-11,"As Neves",3841,,
2021-07-12,"As Neves",3841,,
2021-07-13,"As Neves",3841,,
2021-07-14,"As Neves",3841,,
2021-07-15,"As Neves",3841,,
2021-07-16,"As Neves",3841,,
2021-07-17,"As Neves",3841,,
2021-07-18,"As Neves",3841,,
2021-07-19,"As Neves",3841,,
2021-07-20,"As Neves",3841,10,
2021-07-21,"As Neves",3841,10,
2021-07-22,"As Neves",3841,,
2021-07-23,"As Neves",3841,,
2021-07-24,"As Neves",3841,11,
2021-07-25,"As Neves",3841,13,
2021-07-26,"As Neves",3841,14,
2021-07-27,"As Neves",3841,14,
2021-07-28,"As Neves",3841,13,
2021-07-29,"As Neves",3841,12,
2021-07-30,"As Neves",3841,14,
2021-07-31,"As Neves",3841,15,
2021-08-01,"As Neves",3841,16,
2021-08-02,"As Neves",3841,14,
2021-08-03,"As Neves",3841,13,
2021-08-04,"As Neves",3841,21,15
2021-08-05,"As Neves",3841,20,14
2021-08-06,"As Neves",3841,23,15
2021-08-07,"As Neves",3841,24,16
2021-08-08,"As Neves",3841,23,15
2021-08-09,"As Neves",3841,21,15
2021-08-10,"As Neves",3841,22,15
2021-08-11,"As Neves",3841,24,
2021-08-12,"As Neves",3841,23,
2021-08-13,"As Neves",3841,21,
