fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"As Pontes de García Rodríguez",10138,13,
2020-11-22,"As Pontes de García Rodríguez",10138,18,
2020-11-23,"As Pontes de García Rodríguez",10138,27,
2020-11-24,"As Pontes de García Rodríguez",10138,36,
2020-11-25,"As Pontes de García Rodríguez",10138,41,
2020-11-26,"As Pontes de García Rodríguez",10138,45,
2020-11-27,"As Pontes de García Rodríguez",10138,53,
2020-11-28,"As Pontes de García Rodríguez",10138,58,
2020-11-29,"As Pontes de García Rodríguez",10138,61,
2020-11-30,"As Pontes de García Rodríguez",10138,70,
2020-12-01,"As Pontes de García Rodríguez",10138,73,
2020-12-02,"As Pontes de García Rodríguez",10138,79,
2020-12-03,"As Pontes de García Rodríguez",10138,90,
2020-12-04,"As Pontes de García Rodríguez",10138,93,
2020-12-05,"As Pontes de García Rodríguez",10138,99,
2020-12-06,"As Pontes de García Rodríguez",10138,97,
2020-12-07,"As Pontes de García Rodríguez",10138,98,
2020-12-08,"As Pontes de García Rodríguez",10138,98,
2020-12-09,"As Pontes de García Rodríguez",10138,104,
2020-12-10,"As Pontes de García Rodríguez",10138,108,
2020-12-11,"As Pontes de García Rodríguez",10138,107,
2020-12-12,"As Pontes de García Rodríguez",10138,109,
2020-12-13,"As Pontes de García Rodríguez",10138,112,
2020-12-14,"As Pontes de García Rodríguez",10138,125,
2020-12-15,"As Pontes de García Rodríguez",10138,131,
2020-12-16,"As Pontes de García Rodríguez",10138,137,
2020-12-17,"As Pontes de García Rodríguez",10138,134,
2020-12-18,"As Pontes de García Rodríguez",10138,134,
2020-12-19,"As Pontes de García Rodríguez",10138,128,
2020-12-20,"As Pontes de García Rodríguez",10138,124,
2020-12-21,"As Pontes de García Rodríguez",10138,114,
2020-12-22,"As Pontes de García Rodríguez",10138,110,
2020-12-23,"As Pontes de García Rodríguez",10138,100,
2020-12-24,"As Pontes de García Rodríguez",10138,91,
2020-12-25,"As Pontes de García Rodríguez",10138,84,
2020-12-26,"As Pontes de García Rodríguez",10138,78,
2020-12-27,"As Pontes de García Rodríguez",10138,70,
2020-12-28,"As Pontes de García Rodríguez",10138,48,
2020-12-29,"As Pontes de García Rodríguez",10138,38,
2020-12-30,"As Pontes de García Rodríguez",10138,25,
2020-12-31,"As Pontes de García Rodríguez",10138,16,
2021-01-01,"As Pontes de García Rodríguez",10138,10,
2021-01-02,"As Pontes de García Rodríguez",10138,,
2021-01-03,"As Pontes de García Rodríguez",10138,,
2021-01-04,"As Pontes de García Rodríguez",10138,,
2021-01-05,"As Pontes de García Rodríguez",10138,,
2021-01-06,"As Pontes de García Rodríguez",10138,,
2021-01-07,"As Pontes de García Rodríguez",10138,,
2021-01-08,"As Pontes de García Rodríguez",10138,,
2021-01-09,"As Pontes de García Rodríguez",10138,,
2021-01-10,"As Pontes de García Rodríguez",10138,,
2021-01-11,"As Pontes de García Rodríguez",10138,,
2021-01-12,"As Pontes de García Rodríguez",10138,,
2021-01-13,"As Pontes de García Rodríguez",10138,,
2021-01-14,"As Pontes de García Rodríguez",10138,,
2021-01-15,"As Pontes de García Rodríguez",10138,12,
2021-01-16,"As Pontes de García Rodríguez",10138,13,
2021-01-17,"As Pontes de García Rodríguez",10138,16,
2021-01-18,"As Pontes de García Rodríguez",10138,19,
2021-01-19,"As Pontes de García Rodríguez",10138,21,
2021-01-20,"As Pontes de García Rodríguez",10138,20,
2021-01-21,"As Pontes de García Rodríguez",10138,23,
2021-01-22,"As Pontes de García Rodríguez",10138,29,
2021-01-23,"As Pontes de García Rodríguez",10138,32,
2021-01-24,"As Pontes de García Rodríguez",10138,35,
2021-01-25,"As Pontes de García Rodríguez",10138,40,
2021-01-26,"As Pontes de García Rodríguez",10138,45,
