fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Avión,1795,,
2020-11-22,Avión,1795,,
2020-11-23,Avión,1795,,
2020-11-24,Avión,1795,,
2020-11-25,Avión,1795,,
2020-11-26,Avión,1795,,
2020-11-27,Avión,1795,,
2020-11-28,Avión,1795,,
2020-11-29,Avión,1795,,
2020-11-30,Avión,1795,,
2020-12-01,Avión,1795,,
2020-12-02,Avión,1795,,
2020-12-03,Avión,1795,0,
2020-12-04,Avión,1795,0,
2020-12-05,Avión,1795,,
2020-12-06,Avión,1795,,
2020-12-07,Avión,1795,,
2020-12-08,Avión,1795,,
2020-12-09,Avión,1795,,
2020-12-10,Avión,1795,,
2020-12-11,Avión,1795,,
2020-12-12,Avión,1795,,
2020-12-13,Avión,1795,,
2020-12-14,Avión,1795,,
2020-12-15,Avión,1795,,
2020-12-16,Avión,1795,,
2020-12-17,Avión,1795,,
2020-12-18,Avión,1795,,
2020-12-19,Avión,1795,,
2020-12-20,Avión,1795,,
2020-12-21,Avión,1795,,
2020-12-22,Avión,1795,,
2020-12-23,Avión,1795,,
2020-12-24,Avión,1795,,
2020-12-25,Avión,1795,,
2020-12-26,Avión,1795,,
2020-12-27,Avión,1795,,
2020-12-28,Avión,1795,,
2020-12-29,Avión,1795,,
2020-12-30,Avión,1795,,
2020-12-31,Avión,1795,,
2021-01-01,Avión,1795,0,
2021-01-02,Avión,1795,0,
2021-01-03,Avión,1795,0,
2021-01-04,Avión,1795,0,
2021-01-05,Avión,1795,0,
2021-01-06,Avión,1795,0,
2021-01-07,Avión,1795,0,
2021-01-08,Avión,1795,0,
2021-01-09,Avión,1795,0,
2021-01-10,Avión,1795,0,
2021-01-11,Avión,1795,,
2021-01-12,Avión,1795,,
2021-01-13,Avión,1795,,
2021-01-14,Avión,1795,0,
2021-01-15,Avión,1795,0,
2021-01-16,Avión,1795,0,
2021-01-17,Avión,1795,0,
2021-01-18,Avión,1795,0,
2021-01-19,Avión,1795,0,
2021-01-20,Avión,1795,0,
2021-01-21,Avión,1795,0,
2021-01-22,Avión,1795,0,
2021-01-23,Avión,1795,0,
2021-01-24,Avión,1795,0,
2021-01-25,Avión,1795,0,
2021-01-26,Avión,1795,,
2021-01-27,Avión,1795,,
2021-01-28,Avión,1795,,
2021-01-29,Avión,1795,,
2021-01-30,Avión,1795,,
2021-01-31,Avión,1795,,
2021-02-01,Avión,1795,,
2021-02-02,Avión,1795,,
2021-02-03,Avión,1795,,
2021-02-04,Avión,1795,,
2021-02-05,Avión,1795,,
2021-02-06,Avión,1795,,
2021-02-07,Avión,1795,,
