fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Baleira,1241,0,
2020-11-22,Baleira,1241,0,
2020-11-23,Baleira,1241,0,
2020-11-24,Baleira,1241,0,
2020-11-25,Baleira,1241,0,
2020-11-26,Baleira,1241,,
2020-11-27,Baleira,1241,,
2020-11-28,Baleira,1241,,
2020-11-29,Baleira,1241,,
2020-11-30,Baleira,1241,,
2020-12-01,Baleira,1241,,
2020-12-02,Baleira,1241,,
2020-12-03,Baleira,1241,,
2020-12-04,Baleira,1241,,
2020-12-05,Baleira,1241,,
2020-12-06,Baleira,1241,,
2020-12-07,Baleira,1241,,
2020-12-08,Baleira,1241,,
2020-12-09,Baleira,1241,,
2020-12-10,Baleira,1241,,
2020-12-11,Baleira,1241,,
2020-12-12,Baleira,1241,,
2020-12-13,Baleira,1241,,
2020-12-14,Baleira,1241,,
2020-12-15,Baleira,1241,0,
2020-12-16,Baleira,1241,0,
2020-12-17,Baleira,1241,0,
2020-12-18,Baleira,1241,0,
2020-12-19,Baleira,1241,0,
2020-12-20,Baleira,1241,0,
2020-12-21,Baleira,1241,0,
2020-12-22,Baleira,1241,0,
2020-12-23,Baleira,1241,0,
2020-12-24,Baleira,1241,0,
2020-12-25,Baleira,1241,0,
2020-12-26,Baleira,1241,0,
2020-12-27,Baleira,1241,0,
2020-12-28,Baleira,1241,0,
2020-12-29,Baleira,1241,0,
2020-12-30,Baleira,1241,0,
2020-12-31,Baleira,1241,0,
2021-01-01,Baleira,1241,0,
2021-01-02,Baleira,1241,0,
2021-01-03,Baleira,1241,0,
2021-01-04,Baleira,1241,0,
2021-01-05,Baleira,1241,0,
2021-01-06,Baleira,1241,0,
2021-01-07,Baleira,1241,0,
2021-01-08,Baleira,1241,0,
2021-01-09,Baleira,1241,0,
2021-01-10,Baleira,1241,0,
2021-01-11,Baleira,1241,0,
2021-01-12,Baleira,1241,0,
2021-01-13,Baleira,1241,0,
2021-01-14,Baleira,1241,0,
2021-01-15,Baleira,1241,0,
2021-01-16,Baleira,1241,0,
2021-01-17,Baleira,1241,0,
2021-01-18,Baleira,1241,0,
2021-01-19,Baleira,1241,0,
2021-01-20,Baleira,1241,0,
2021-01-21,Baleira,1241,0,
2021-01-22,Baleira,1241,0,
2021-01-23,Baleira,1241,0,
2021-01-24,Baleira,1241,0,
2021-01-25,Baleira,1241,0,
2021-01-26,Baleira,1241,0,
2021-01-27,Baleira,1241,,
2021-01-28,Baleira,1241,,
2021-01-29,Baleira,1241,,
2021-01-30,Baleira,1241,,
2021-01-31,Baleira,1241,,
2021-02-01,Baleira,1241,,
2021-02-02,Baleira,1241,,
2021-02-03,Baleira,1241,,
2021-02-04,Baleira,1241,,
2021-02-05,Baleira,1241,,
2021-02-06,Baleira,1241,,
2021-02-07,Baleira,1241,,
2021-02-08,Baleira,1241,,
2021-02-09,Baleira,1241,,
2021-02-10,Baleira,1241,,
2021-02-11,Baleira,1241,,
2021-02-12,Baleira,1241,,
2021-02-13,Baleira,1241,,
2021-02-14,Baleira,1241,,
2021-02-15,Baleira,1241,,
2021-02-16,Baleira,1241,,
2021-02-17,Baleira,1241,,
2021-02-18,Baleira,1241,,
2021-02-19,Baleira,1241,,
2021-02-20,Baleira,1241,,
2021-02-21,Baleira,1241,,
2021-02-22,Baleira,1241,,
2021-02-23,Baleira,1241,,
2021-02-24,Baleira,1241,,
2021-02-25,Baleira,1241,,
2021-02-26,Baleira,1241,,
2021-02-27,Baleira,1241,,
2021-02-28,Baleira,1241,,
2021-03-01,Baleira,1241,,
2021-03-02,Baleira,1241,0,0
2021-03-03,Baleira,1241,0,0
2021-03-04,Baleira,1241,0,0
2021-03-05,Baleira,1241,0,0
2021-03-06,Baleira,1241,0,0
2021-03-07,Baleira,1241,,
2021-03-08,Baleira,1241,,
2021-03-09,Baleira,1241,,
2021-03-10,Baleira,1241,,
2021-03-11,Baleira,1241,,
2021-03-12,Baleira,1241,,
2021-03-13,Baleira,1241,,
2021-03-14,Baleira,1241,,0
2021-03-15,Baleira,1241,,0
2021-03-16,Baleira,1241,,0
2021-03-17,Baleira,1241,,0
2021-03-18,Baleira,1241,,0
2021-03-19,Baleira,1241,,0
2021-03-20,Baleira,1241,,0
2021-03-21,Baleira,1241,0,0
2021-03-22,Baleira,1241,0,0
2021-03-23,Baleira,1241,0,0
2021-03-24,Baleira,1241,0,0
2021-03-25,Baleira,1241,0,0
2021-03-26,Baleira,1241,0,0
2021-03-27,Baleira,1241,0,0
2021-03-28,Baleira,1241,0,0
2021-03-29,Baleira,1241,0,0
2021-03-30,Baleira,1241,0,0
2021-03-31,Baleira,1241,0,0
2021-04-01,Baleira,1241,0,0
2021-04-02,Baleira,1241,0,0
2021-04-03,Baleira,1241,0,0
2021-04-04,Baleira,1241,0,0
2021-04-05,Baleira,1241,0,0
2021-04-06,Baleira,1241,0,0
2021-04-07,Baleira,1241,0,0
2021-04-08,Baleira,1241,0,0
2021-04-09,Baleira,1241,0,0
2021-04-10,Baleira,1241,0,0
2021-04-11,Baleira,1241,0,0
2021-04-12,Baleira,1241,0,0
2021-04-13,Baleira,1241,0,0
2021-04-14,Baleira,1241,0,0
2021-04-15,Baleira,1241,0,0
2021-04-16,Baleira,1241,0,0
2021-04-17,Baleira,1241,0,0
2021-04-18,Baleira,1241,0,0
2021-04-19,Baleira,1241,0,0
2021-04-20,Baleira,1241,0,0
2021-04-21,Baleira,1241,0,0
2021-04-22,Baleira,1241,0,0
2021-04-23,Baleira,1241,0,0
2021-04-24,Baleira,1241,0,0
2021-04-25,Baleira,1241,0,0
2021-04-26,Baleira,1241,0,0
2021-04-27,Baleira,1241,0,0
2021-04-28,Baleira,1241,0,0
2021-04-29,Baleira,1241,0,0
2021-04-30,Baleira,1241,0,0
2021-05-01,Baleira,1241,0,0
2021-05-02,Baleira,1241,0,0
2021-05-03,Baleira,1241,0,0
2021-05-04,Baleira,1241,0,0
2021-05-05,Baleira,1241,0,0
2021-05-06,Baleira,1241,0,0
2021-05-07,Baleira,1241,0,0
2021-05-08,Baleira,1241,0,0
2021-05-09,Baleira,1241,0,0
2021-05-10,Baleira,1241,0,0
2021-05-11,Baleira,1241,0,0
2021-05-12,Baleira,1241,0,0
2021-05-13,Baleira,1241,0,0
2021-05-14,Baleira,1241,0,0
2021-05-15,Baleira,1241,0,0
2021-05-16,Baleira,1241,0,0
2021-05-17,Baleira,1241,0,0
2021-05-18,Baleira,1241,0,0
2021-05-19,Baleira,1241,0,0
2021-05-20,Baleira,1241,0,0
2021-05-21,Baleira,1241,0,0
2021-05-22,Baleira,1241,0,0
2021-05-23,Baleira,1241,0,0
2021-05-24,Baleira,1241,0,0
2021-05-25,Baleira,1241,0,0
2021-05-26,Baleira,1241,0,0
2021-05-27,Baleira,1241,0,0
2021-05-28,Baleira,1241,0,0
2021-05-29,Baleira,1241,0,0
2021-05-30,Baleira,1241,0,0
2021-05-31,Baleira,1241,0,0
2021-06-01,Baleira,1241,0,0
2021-06-02,Baleira,1241,0,0
2021-06-03,Baleira,1241,0,0
2021-06-04,Baleira,1241,0,0
2021-06-05,Baleira,1241,0,0
2021-06-06,Baleira,1241,0,0
2021-06-07,Baleira,1241,0,0
2021-06-08,Baleira,1241,0,0
2021-06-09,Baleira,1241,0,0
2021-06-10,Baleira,1241,0,0
2021-06-11,Baleira,1241,0,0
2021-06-12,Baleira,1241,0,0
2021-06-13,Baleira,1241,0,0
2021-06-14,Baleira,1241,0,0
2021-06-15,Baleira,1241,0,0
2021-06-16,Baleira,1241,0,0
2021-06-17,Baleira,1241,0,0
2021-06-18,Baleira,1241,0,0
2021-06-19,Baleira,1241,0,0
2021-06-20,Baleira,1241,0,0
2021-06-21,Baleira,1241,0,0
2021-06-22,Baleira,1241,0,0
2021-06-23,Baleira,1241,0,0
2021-06-24,Baleira,1241,0,0
2021-06-25,Baleira,1241,0,0
2021-06-26,Baleira,1241,0,0
2021-06-27,Baleira,1241,0,0
2021-06-28,Baleira,1241,0,0
2021-06-29,Baleira,1241,0,0
2021-06-30,Baleira,1241,0,0
2021-07-01,Baleira,1241,0,0
2021-07-02,Baleira,1241,0,0
2021-07-03,Baleira,1241,0,0
2021-07-04,Baleira,1241,0,0
2021-07-05,Baleira,1241,0,0
2021-07-06,Baleira,1241,0,0
2021-07-07,Baleira,1241,0,0
2021-07-08,Baleira,1241,0,0
2021-07-09,Baleira,1241,0,0
2021-07-10,Baleira,1241,0,0
2021-07-11,Baleira,1241,0,0
2021-07-12,Baleira,1241,0,0
2021-07-13,Baleira,1241,,
2021-07-14,Baleira,1241,,
2021-07-15,Baleira,1241,,
2021-07-16,Baleira,1241,,
2021-07-17,Baleira,1241,,
2021-07-18,Baleira,1241,,
2021-07-19,Baleira,1241,,
2021-07-20,Baleira,1241,,0
2021-07-21,Baleira,1241,,0
2021-07-22,Baleira,1241,,0
2021-07-23,Baleira,1241,,
2021-07-24,Baleira,1241,,
2021-07-25,Baleira,1241,,
2021-07-26,Baleira,1241,,
2021-07-27,Baleira,1241,,
2021-07-28,Baleira,1241,,
2021-07-29,Baleira,1241,,
2021-07-30,Baleira,1241,,0
2021-07-31,Baleira,1241,,
2021-08-01,Baleira,1241,,
2021-08-02,Baleira,1241,,
2021-08-03,Baleira,1241,,
2021-08-04,Baleira,1241,,
2021-08-05,Baleira,1241,,
2021-08-06,Baleira,1241,,
2021-08-07,Baleira,1241,,
2021-08-08,Baleira,1241,,
2021-08-09,Baleira,1241,,
2021-08-10,Baleira,1241,,
2021-08-11,Baleira,1241,,
2021-08-12,Baleira,1241,,0
2021-08-13,Baleira,1241,,0
2021-08-14,Baleira,1241,,0
2021-08-15,Baleira,1241,,0
2021-08-16,Baleira,1241,,0
2021-08-17,Baleira,1241,,
2021-08-18,Baleira,1241,,
2021-08-19,Baleira,1241,,
2021-08-20,Baleira,1241,,
2021-08-21,Baleira,1241,,
2021-08-22,Baleira,1241,,
2021-08-23,Baleira,1241,,
2021-08-24,Baleira,1241,,
2021-08-25,Baleira,1241,,
2021-08-26,Baleira,1241,,
2021-08-27,Baleira,1241,,0
2021-08-28,Baleira,1241,,0
2021-08-29,Baleira,1241,,0
2021-08-30,Baleira,1241,,0
2021-08-31,Baleira,1241,,0
2021-09-01,Baleira,1241,,0
2021-09-02,Baleira,1241,,0
2021-09-03,Baleira,1241,0,0
2021-09-04,Baleira,1241,0,0
2021-09-05,Baleira,1241,0,0
2021-09-06,Baleira,1241,0,0
2021-09-07,Baleira,1241,0,0
2021-09-08,Baleira,1241,0,0
2021-09-09,Baleira,1241,0,0
2021-09-10,Baleira,1241,0,0
2021-09-11,Baleira,1241,0,0
2021-09-12,Baleira,1241,0,0
2021-09-13,Baleira,1241,0,0
2021-09-14,Baleira,1241,0,0
2021-09-15,Baleira,1241,0,0
2021-09-16,Baleira,1241,0,0
2021-09-17,Baleira,1241,0,0
2021-09-18,Baleira,1241,0,0
2021-09-19,Baleira,1241,0,0
2021-09-20,Baleira,1241,0,0
2021-09-21,Baleira,1241,0,0
2021-09-22,Baleira,1241,0,0
2021-09-23,Baleira,1241,0,0
2021-09-24,Baleira,1241,0,0
2021-09-25,Baleira,1241,0,0
2021-09-26,Baleira,1241,0,0
2021-09-27,Baleira,1241,0,0
2021-09-28,Baleira,1241,0,0
2021-09-29,Baleira,1241,0,0
2021-09-30,Baleira,1241,0,0
2021-10-01,Baleira,1241,0,0
2021-10-02,Baleira,1241,0,0
2021-10-03,Baleira,1241,0,0
2021-10-04,Baleira,1241,0,0
2021-10-05,Baleira,1241,0,0
2021-10-06,Baleira,1241,0,0
2021-10-07,Baleira,1241,0,0
2021-10-08,Baleira,1241,0,0
2021-10-09,Baleira,1241,0,0
2021-10-10,Baleira,1241,0,0
2021-10-11,Baleira,1241,0,0
2021-10-12,Baleira,1241,0,0
2021-10-13,Baleira,1241,0,0
2021-10-14,Baleira,1241,0,0
2021-10-15,Baleira,1241,0,0
2021-10-16,Baleira,1241,0,0
2021-10-17,Baleira,1241,0,0
2021-10-18,Baleira,1241,0,0
2021-10-19,Baleira,1241,0,0
2021-10-20,Baleira,1241,0,0
2021-10-21,Baleira,1241,0,0
2021-10-22,Baleira,1241,0,0
2021-10-23,Baleira,1241,0,0
2021-10-24,Baleira,1241,0,0
2021-10-25,Baleira,1241,0,0
2021-10-26,Baleira,1241,0,0
2021-10-27,Baleira,1241,0,0
2021-10-28,Baleira,1241,0,0
2021-10-29,Baleira,1241,,
2021-10-30,Baleira,1241,,
2021-10-31,Baleira,1241,,
2021-11-01,Baleira,1241,,
2021-11-02,Baleira,1241,,
2021-11-03,Baleira,1241,,
2021-11-04,Baleira,1241,,
2021-11-05,Baleira,1241,,0
2021-11-06,Baleira,1241,,0
2021-11-07,Baleira,1241,,0
2021-11-08,Baleira,1241,,0
2021-11-09,Baleira,1241,,0
2021-11-10,Baleira,1241,,
2021-11-11,Baleira,1241,,
2021-11-12,Baleira,1241,,
2021-11-13,Baleira,1241,,
2021-11-14,Baleira,1241,,
2021-11-15,Baleira,1241,,
2021-11-16,Baleira,1241,,
2021-11-17,Baleira,1241,,0
2021-11-18,Baleira,1241,,0
2021-11-19,Baleira,1241,,0
2021-11-20,Baleira,1241,,0
2021-11-21,Baleira,1241,,0
2021-11-22,Baleira,1241,,0
2021-11-23,Baleira,1241,,0
2021-11-24,Baleira,1241,0,0
2021-11-25,Baleira,1241,0,0
2021-11-26,Baleira,1241,0,0
2021-11-27,Baleira,1241,0,0
2021-11-28,Baleira,1241,0,0
2021-11-29,Baleira,1241,0,0
2021-11-30,Baleira,1241,0,0
2021-12-01,Baleira,1241,0,0
2021-12-02,Baleira,1241,0,0
2021-12-03,Baleira,1241,0,0
2021-12-04,Baleira,1241,0,0
2021-12-05,Baleira,1241,0,0
2021-12-06,Baleira,1241,0,0
2021-12-07,Baleira,1241,0,0
2021-12-08,Baleira,1241,0,0
2021-12-09,Baleira,1241,0,0
2021-12-10,Baleira,1241,0,0
2021-12-11,Baleira,1241,,
2021-12-12,Baleira,1241,,
2021-12-13,Baleira,1241,,
2021-12-14,Baleira,1241,,
2021-12-15,Baleira,1241,,
2021-12-16,Baleira,1241,,
2021-12-17,Baleira,1241,,
2021-12-18,Baleira,1241,,
2021-12-19,Baleira,1241,,
2021-12-20,Baleira,1241,,
2021-12-21,Baleira,1241,,
2021-12-22,Baleira,1241,,
2021-12-23,Baleira,1241,,
2021-12-24,Baleira,1241,,
2021-12-25,Baleira,1241,,
2021-12-26,Baleira,1241,,
2021-12-27,Baleira,1241,,
2021-12-28,Baleira,1241,,
2021-12-29,Baleira,1241,,
2021-12-30,Baleira,1241,,
2021-12-31,Baleira,1241,,
2022-01-01,Baleira,1241,,
