fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Bande,1528,,
2020-11-22,Bande,1528,,
2020-11-23,Bande,1528,,
2020-11-24,Bande,1528,,
2020-11-25,Bande,1528,,
2020-11-26,Bande,1528,,
2020-11-27,Bande,1528,,
2020-11-28,Bande,1528,,
2020-11-29,Bande,1528,,
2020-11-30,Bande,1528,,
2020-12-01,Bande,1528,,
2020-12-02,Bande,1528,0,
2020-12-03,Bande,1528,0,
2020-12-04,Bande,1528,0,
2020-12-05,Bande,1528,0,
2020-12-06,Bande,1528,0,
2020-12-07,Bande,1528,0,
2020-12-08,Bande,1528,0,
2020-12-09,Bande,1528,0,
2020-12-10,Bande,1528,0,
2020-12-11,Bande,1528,0,
2020-12-12,Bande,1528,0,
2020-12-13,Bande,1528,0,
2020-12-14,Bande,1528,0,
2020-12-15,Bande,1528,0,
2020-12-16,Bande,1528,0,
2020-12-17,Bande,1528,0,
2020-12-18,Bande,1528,0,
2020-12-19,Bande,1528,0,
2020-12-20,Bande,1528,0,
2020-12-21,Bande,1528,0,
2020-12-22,Bande,1528,0,
2020-12-23,Bande,1528,0,
2020-12-24,Bande,1528,0,
2020-12-25,Bande,1528,0,
2020-12-26,Bande,1528,0,
2020-12-27,Bande,1528,0,
2020-12-28,Bande,1528,0,
2020-12-29,Bande,1528,0,
2020-12-30,Bande,1528,,
2020-12-31,Bande,1528,,
2021-01-01,Bande,1528,,
2021-01-02,Bande,1528,,
2021-01-03,Bande,1528,,
2021-01-04,Bande,1528,,
2021-01-05,Bande,1528,,
2021-01-06,Bande,1528,,
2021-01-07,Bande,1528,,
2021-01-08,Bande,1528,,
2021-01-09,Bande,1528,,
2021-01-10,Bande,1528,,
2021-01-11,Bande,1528,,
2021-01-12,Bande,1528,,
2021-01-13,Bande,1528,,
2021-01-14,Bande,1528,10,
2021-01-15,Bande,1528,10,
2021-01-16,Bande,1528,12,
2021-01-17,Bande,1528,12,
2021-01-18,Bande,1528,13,
2021-01-19,Bande,1528,15,
2021-01-20,Bande,1528,27,
2021-01-21,Bande,1528,26,
2021-01-22,Bande,1528,27,
2021-01-23,Bande,1528,31,
2021-01-24,Bande,1528,38,
2021-01-25,Bande,1528,38,
2021-01-26,Bande,1528,37,
2021-01-27,Bande,1528,37,
2021-01-28,Bande,1528,32,
2021-01-29,Bande,1528,39,
2021-01-30,Bande,1528,37,
2021-01-31,Bande,1528,38,
2021-02-01,Bande,1528,37,
2021-02-02,Bande,1528,34,
2021-02-03,Bande,1528,23,
2021-02-04,Bande,1528,24,
