fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Barbadás,11037,24,
2020-11-22,Barbadás,11037,22,
2020-11-23,Barbadás,11037,23,
2020-11-24,Barbadás,11037,22,
2020-11-25,Barbadás,11037,22,
2020-11-26,Barbadás,11037,21,
2020-11-27,Barbadás,11037,19,
2020-11-28,Barbadás,11037,17,
2020-11-29,Barbadás,11037,14,
2020-11-30,Barbadás,11037,11,
2020-12-01,Barbadás,11037,11,
2020-12-02,Barbadás,11037,,
2020-12-03,Barbadás,11037,,
2020-12-04,Barbadás,11037,,
2020-12-05,Barbadás,11037,,
2020-12-06,Barbadás,11037,,
2020-12-07,Barbadás,11037,10,
2020-12-08,Barbadás,11037,10,
2020-12-09,Barbadás,11037,11,
2020-12-10,Barbadás,11037,12,
2020-12-11,Barbadás,11037,17,
2020-12-12,Barbadás,11037,20,
2020-12-13,Barbadás,11037,20,
2020-12-14,Barbadás,11037,20,
2020-12-15,Barbadás,11037,19,
2020-12-16,Barbadás,11037,23,
2020-12-17,Barbadás,11037,23,
2020-12-18,Barbadás,11037,26,
2020-12-19,Barbadás,11037,27,
2020-12-20,Barbadás,11037,21,
2020-12-21,Barbadás,11037,23,
2020-12-22,Barbadás,11037,23,
2020-12-23,Barbadás,11037,21,
2020-12-24,Barbadás,11037,21,
2020-12-25,Barbadás,11037,17,
2020-12-26,Barbadás,11037,19,
2020-12-27,Barbadás,11037,19,
2020-12-28,Barbadás,11037,19,
2020-12-29,Barbadás,11037,19,
2020-12-30,Barbadás,11037,15,
2020-12-31,Barbadás,11037,14,
2021-01-01,Barbadás,11037,14,
2021-01-02,Barbadás,11037,14,
2021-01-03,Barbadás,11037,15,
2021-01-04,Barbadás,11037,16,
2021-01-05,Barbadás,11037,18,
2021-01-06,Barbadás,11037,29,
2021-01-07,Barbadás,11037,34,
2021-01-08,Barbadás,11037,37,
2021-01-09,Barbadás,11037,37,
2021-01-10,Barbadás,11037,39,
2021-01-11,Barbadás,11037,44,
2021-01-12,Barbadás,11037,51,
2021-01-13,Barbadás,11037,58,
2021-01-14,Barbadás,11037,60,
2021-01-15,Barbadás,11037,58,
2021-01-16,Barbadás,11037,61,
2021-01-17,Barbadás,11037,69,
2021-01-18,Barbadás,11037,71,
2021-01-19,Barbadás,11037,74,
2021-01-20,Barbadás,11037,67,
2021-01-21,Barbadás,11037,69,
2021-01-22,Barbadás,11037,70,
2021-01-23,Barbadás,11037,75,
2021-01-24,Barbadás,11037,85,
2021-01-25,Barbadás,11037,85,
2021-01-26,Barbadás,11037,89,
2021-01-27,Barbadás,11037,87,
2021-01-28,Barbadás,11037,87,
2021-01-29,Barbadás,11037,95,
2021-01-30,Barbadás,11037,97,
2021-01-31,Barbadás,11037,96,
2021-02-01,Barbadás,11037,97,
2021-02-02,Barbadás,11037,98,
2021-02-03,Barbadás,11037,100,
2021-02-04,Barbadás,11037,93,
2021-02-05,Barbadás,11037,90,
2021-02-06,Barbadás,11037,80,
2021-02-07,Barbadás,11037,68,
2021-02-08,Barbadás,11037,63,
2021-02-09,Barbadás,11037,54,
2021-02-10,Barbadás,11037,52,
2021-02-11,Barbadás,11037,49,
2021-02-12,Barbadás,11037,41,
2021-02-13,Barbadás,11037,36,
2021-02-14,Barbadás,11037,31,
2021-02-15,Barbadás,11037,25,
2021-02-16,Barbadás,11037,22,
2021-02-17,Barbadás,11037,16,
2021-02-18,Barbadás,11037,15,
2021-02-19,Barbadás,11037,12,
2021-02-20,Barbadás,11037,12,
2021-02-21,Barbadás,11037,13,
2021-02-22,Barbadás,11037,13,
2021-02-23,Barbadás,11037,13,
2021-02-24,Barbadás,11037,10,
2021-02-25,Barbadás,11037,,
2021-02-26,Barbadás,11037,,
2021-02-27,Barbadás,11037,,
2021-02-28,Barbadás,11037,,
2021-03-01,Barbadás,11037,,
2021-03-02,Barbadás,11037,,
2021-03-03,Barbadás,11037,,
2021-03-04,Barbadás,11037,,
2021-03-05,Barbadás,11037,,0
2021-03-06,Barbadás,11037,,0
2021-03-07,Barbadás,11037,,0
2021-03-08,Barbadás,11037,,0
2021-03-09,Barbadás,11037,,0
2021-03-10,Barbadás,11037,,0
2021-03-11,Barbadás,11037,,0
2021-03-12,Barbadás,11037,0,0
2021-03-13,Barbadás,11037,0,0
2021-03-14,Barbadás,11037,0,0
2021-03-15,Barbadás,11037,0,0
2021-03-16,Barbadás,11037,0,0
2021-03-17,Barbadás,11037,0,0
2021-03-18,Barbadás,11037,0,0
2021-03-19,Barbadás,11037,,
2021-03-20,Barbadás,11037,,
2021-03-21,Barbadás,11037,,
2021-03-22,Barbadás,11037,,
2021-03-23,Barbadás,11037,,
2021-03-24,Barbadás,11037,,
2021-03-25,Barbadás,11037,,
2021-03-26,Barbadás,11037,,
2021-03-27,Barbadás,11037,,
2021-03-28,Barbadás,11037,,
2021-03-29,Barbadás,11037,,
