fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Beariz,971,16,
2020-11-22,Beariz,971,17,
2020-11-23,Beariz,971,19,
2020-11-24,Beariz,971,19,
2020-11-25,Beariz,971,29,
2020-11-26,Beariz,971,29,
2020-11-27,Beariz,971,29,
2020-11-28,Beariz,971,29,
2020-11-29,Beariz,971,29,
2020-11-30,Beariz,971,34,
2020-12-01,Beariz,971,34,
2020-12-02,Beariz,971,34,
2020-12-03,Beariz,971,34,
2020-12-04,Beariz,971,34,
2020-12-05,Beariz,971,21,
2020-12-06,Beariz,971,20,
2020-12-07,Beariz,971,18,
2020-12-08,Beariz,971,18,
2020-12-09,Beariz,971,,
2020-12-10,Beariz,971,,
2020-12-11,Beariz,971,,
2020-12-12,Beariz,971,,
2020-12-13,Beariz,971,,
2020-12-14,Beariz,971,,
2020-12-15,Beariz,971,,
2020-12-16,Beariz,971,,
2020-12-17,Beariz,971,,
2020-12-18,Beariz,971,,
2020-12-19,Beariz,971,,
2020-12-20,Beariz,971,,
2020-12-21,Beariz,971,,
2020-12-22,Beariz,971,,
2020-12-23,Beariz,971,,
2020-12-24,Beariz,971,,
2020-12-25,Beariz,971,,
2020-12-26,Beariz,971,,
2020-12-27,Beariz,971,,
2020-12-28,Beariz,971,,
2020-12-29,Beariz,971,0,
2020-12-30,Beariz,971,0,
2020-12-31,Beariz,971,0,
2021-01-01,Beariz,971,0,
2021-01-02,Beariz,971,0,
2021-01-03,Beariz,971,0,
2021-01-04,Beariz,971,0,
2021-01-05,Beariz,971,0,
2021-01-06,Beariz,971,0,
2021-01-07,Beariz,971,0,
2021-01-08,Beariz,971,0,
2021-01-09,Beariz,971,0,
2021-01-10,Beariz,971,0,
2021-01-11,Beariz,971,0,
2021-01-12,Beariz,971,0,
2021-01-13,Beariz,971,0,
2021-01-14,Beariz,971,0,
2021-01-15,Beariz,971,0,
2021-01-16,Beariz,971,0,
2021-01-17,Beariz,971,0,
2021-01-18,Beariz,971,0,
2021-01-19,Beariz,971,0,
2021-01-20,Beariz,971,0,
2021-01-21,Beariz,971,,
2021-01-22,Beariz,971,,
2021-01-23,Beariz,971,,
2021-01-24,Beariz,971,,
2021-01-25,Beariz,971,,
2021-01-26,Beariz,971,,
2021-01-27,Beariz,971,,
2021-01-28,Beariz,971,,
2021-01-29,Beariz,971,,
2021-01-30,Beariz,971,,
2021-01-31,Beariz,971,,
2021-02-01,Beariz,971,,
2021-02-02,Beariz,971,,
2021-02-03,Beariz,971,,
2021-02-04,Beariz,971,,
2021-02-05,Beariz,971,,
2021-02-06,Beariz,971,,
2021-02-07,Beariz,971,,
2021-02-08,Beariz,971,,
2021-02-09,Beariz,971,0,
2021-02-10,Beariz,971,0,
2021-02-11,Beariz,971,0,
2021-02-12,Beariz,971,0,
2021-02-13,Beariz,971,0,
2021-02-14,Beariz,971,0,
2021-02-15,Beariz,971,0,
2021-02-16,Beariz,971,0,
2021-02-17,Beariz,971,0,
2021-02-18,Beariz,971,0,
2021-02-19,Beariz,971,0,
2021-02-20,Beariz,971,0,
2021-02-21,Beariz,971,0,
2021-02-22,Beariz,971,0,
2021-02-23,Beariz,971,0,
2021-02-24,Beariz,971,0,
2021-02-25,Beariz,971,0,
2021-02-26,Beariz,971,0,
2021-02-27,Beariz,971,0,
2021-02-28,Beariz,971,0,
2021-03-01,Beariz,971,0,
2021-03-02,Beariz,971,0,0
2021-03-03,Beariz,971,0,0
2021-03-04,Beariz,971,0,0
2021-03-05,Beariz,971,0,0
2021-03-06,Beariz,971,0,0
2021-03-07,Beariz,971,0,0
2021-03-08,Beariz,971,0,0
2021-03-09,Beariz,971,0,0
2021-03-10,Beariz,971,0,0
2021-03-11,Beariz,971,0,0
2021-03-12,Beariz,971,0,0
2021-03-13,Beariz,971,0,0
2021-03-14,Beariz,971,0,0
2021-03-15,Beariz,971,0,0
2021-03-16,Beariz,971,0,0
2021-03-17,Beariz,971,0,0
2021-03-18,Beariz,971,0,0
2021-03-19,Beariz,971,0,0
2021-03-20,Beariz,971,0,0
2021-03-21,Beariz,971,0,0
2021-03-22,Beariz,971,0,0
2021-03-23,Beariz,971,0,0
2021-03-24,Beariz,971,0,0
2021-03-25,Beariz,971,0,0
2021-03-26,Beariz,971,0,0
2021-03-27,Beariz,971,0,0
2021-03-28,Beariz,971,0,0
2021-03-29,Beariz,971,0,0
2021-03-30,Beariz,971,0,0
2021-03-31,Beariz,971,0,0
2021-04-01,Beariz,971,0,0
2021-04-02,Beariz,971,0,0
2021-04-03,Beariz,971,0,0
2021-04-04,Beariz,971,0,0
2021-04-05,Beariz,971,0,0
2021-04-06,Beariz,971,0,0
2021-04-07,Beariz,971,0,0
2021-04-08,Beariz,971,0,0
2021-04-09,Beariz,971,0,0
2021-04-10,Beariz,971,0,0
2021-04-11,Beariz,971,0,0
2021-04-12,Beariz,971,0,0
2021-04-13,Beariz,971,0,0
2021-04-14,Beariz,971,0,0
2021-04-15,Beariz,971,0,0
2021-04-16,Beariz,971,0,0
2021-04-17,Beariz,971,0,0
2021-04-18,Beariz,971,0,0
2021-04-19,Beariz,971,0,0
2021-04-20,Beariz,971,0,0
2021-04-21,Beariz,971,0,0
2021-04-22,Beariz,971,0,0
2021-04-23,Beariz,971,0,0
2021-04-24,Beariz,971,0,0
2021-04-25,Beariz,971,0,0
2021-04-26,Beariz,971,0,0
2021-04-27,Beariz,971,0,0
2021-04-28,Beariz,971,0,0
2021-04-29,Beariz,971,0,0
2021-04-30,Beariz,971,0,0
2021-05-01,Beariz,971,0,0
2021-05-02,Beariz,971,0,0
2021-05-03,Beariz,971,0,0
2021-05-04,Beariz,971,0,0
2021-05-05,Beariz,971,0,0
2021-05-06,Beariz,971,0,0
2021-05-07,Beariz,971,0,0
2021-05-08,Beariz,971,0,0
2021-05-09,Beariz,971,0,0
2021-05-10,Beariz,971,0,0
2021-05-11,Beariz,971,0,0
2021-05-12,Beariz,971,0,0
2021-05-13,Beariz,971,0,0
2021-05-14,Beariz,971,0,0
2021-05-15,Beariz,971,0,0
2021-05-16,Beariz,971,0,0
2021-05-17,Beariz,971,0,0
2021-05-18,Beariz,971,0,0
2021-05-19,Beariz,971,0,0
2021-05-20,Beariz,971,0,0
2021-05-21,Beariz,971,0,0
2021-05-22,Beariz,971,0,0
2021-05-23,Beariz,971,0,0
2021-05-24,Beariz,971,0,0
2021-05-25,Beariz,971,0,0
2021-05-26,Beariz,971,0,0
2021-05-27,Beariz,971,0,0
2021-05-28,Beariz,971,0,0
2021-05-29,Beariz,971,0,0
2021-05-30,Beariz,971,0,0
2021-05-31,Beariz,971,0,0
2021-06-01,Beariz,971,0,0
2021-06-02,Beariz,971,0,0
2021-06-03,Beariz,971,,
2021-06-04,Beariz,971,,
2021-06-05,Beariz,971,,
2021-06-06,Beariz,971,,
2021-06-07,Beariz,971,,
2021-06-08,Beariz,971,,
2021-06-09,Beariz,971,,
2021-06-10,Beariz,971,,
2021-06-11,Beariz,971,,
2021-06-12,Beariz,971,,0
2021-06-13,Beariz,971,,0
2021-06-14,Beariz,971,,0
2021-06-15,Beariz,971,,0
2021-06-16,Beariz,971,,0
2021-06-17,Beariz,971,,0
2021-06-18,Beariz,971,,0
2021-06-19,Beariz,971,0,0
2021-06-20,Beariz,971,0,0
2021-06-21,Beariz,971,0,0
2021-06-22,Beariz,971,0,0
2021-06-23,Beariz,971,0,0
2021-06-24,Beariz,971,0,0
