fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Betanzos,12959,26,
2020-11-22,Betanzos,12959,30,
2020-11-23,Betanzos,12959,31,
2020-11-24,Betanzos,12959,31,
2020-11-25,Betanzos,12959,30,
2020-11-26,Betanzos,12959,32,
2020-11-27,Betanzos,12959,29,
2020-11-28,Betanzos,12959,30,
2020-11-29,Betanzos,12959,33,
2020-11-30,Betanzos,12959,35,
2020-12-01,Betanzos,12959,37,
2020-12-02,Betanzos,12959,32,
2020-12-03,Betanzos,12959,31,
2020-12-04,Betanzos,12959,29,
2020-12-05,Betanzos,12959,29,
2020-12-06,Betanzos,12959,26,
2020-12-07,Betanzos,12959,25,
2020-12-08,Betanzos,12959,25,
2020-12-09,Betanzos,12959,24,
2020-12-10,Betanzos,12959,22,
2020-12-11,Betanzos,12959,23,
2020-12-12,Betanzos,12959,24,
2020-12-13,Betanzos,12959,20,
2020-12-14,Betanzos,12959,17,
2020-12-15,Betanzos,12959,13,
2020-12-16,Betanzos,12959,11,
2020-12-17,Betanzos,12959,10,
2020-12-18,Betanzos,12959,10,
2020-12-19,Betanzos,12959,,
2020-12-20,Betanzos,12959,,
2020-12-21,Betanzos,12959,,
2020-12-22,Betanzos,12959,,
2020-12-23,Betanzos,12959,,
2020-12-24,Betanzos,12959,,
2020-12-25,Betanzos,12959,,
2020-12-26,Betanzos,12959,,
2020-12-27,Betanzos,12959,,
2020-12-28,Betanzos,12959,,
2020-12-29,Betanzos,12959,,
2020-12-30,Betanzos,12959,,
2020-12-31,Betanzos,12959,,
2021-01-01,Betanzos,12959,,
2021-01-02,Betanzos,12959,,
2021-01-03,Betanzos,12959,10,
2021-01-04,Betanzos,12959,10,
2021-01-05,Betanzos,12959,11,
2021-01-06,Betanzos,12959,12,
2021-01-07,Betanzos,12959,12,
2021-01-08,Betanzos,12959,12,
2021-01-09,Betanzos,12959,13,
2021-01-10,Betanzos,12959,14,
2021-01-11,Betanzos,12959,18,
2021-01-12,Betanzos,12959,18,
2021-01-13,Betanzos,12959,21,
2021-01-14,Betanzos,12959,28,
2021-01-15,Betanzos,12959,35,
2021-01-16,Betanzos,12959,42,
2021-01-17,Betanzos,12959,44,
2021-01-18,Betanzos,12959,62,
2021-01-19,Betanzos,12959,71,
2021-01-20,Betanzos,12959,86,
2021-01-21,Betanzos,12959,98,
2021-01-22,Betanzos,12959,117,
2021-01-23,Betanzos,12959,135,
2021-01-24,Betanzos,12959,162,
2021-01-25,Betanzos,12959,172,
2021-01-26,Betanzos,12959,182,
2021-01-27,Betanzos,12959,208,
2021-01-28,Betanzos,12959,218,
2021-01-29,Betanzos,12959,224,
2021-01-30,Betanzos,12959,222,
2021-01-31,Betanzos,12959,226,
2021-02-01,Betanzos,12959,227,
2021-02-02,Betanzos,12959,225,
2021-02-03,Betanzos,12959,219,
2021-02-04,Betanzos,12959,215,
2021-02-05,Betanzos,12959,227,
2021-02-06,Betanzos,12959,216,
2021-02-07,Betanzos,12959,200,
2021-02-08,Betanzos,12959,193,
2021-02-09,Betanzos,12959,191,
2021-02-10,Betanzos,12959,167,
2021-02-11,Betanzos,12959,163,
2021-02-12,Betanzos,12959,158,
2021-02-13,Betanzos,12959,153,
2021-02-14,Betanzos,12959,144,
2021-02-15,Betanzos,12959,127,
2021-02-16,Betanzos,12959,121,
2021-02-17,Betanzos,12959,113,
2021-02-18,Betanzos,12959,106,
2021-02-19,Betanzos,12959,73,
