fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Boborás,2285,,
2020-11-22,Boborás,2285,,
2020-11-23,Boborás,2285,,
2020-11-24,Boborás,2285,,
2020-11-25,Boborás,2285,,
2020-11-26,Boborás,2285,0,
2020-11-27,Boborás,2285,,
2020-11-28,Boborás,2285,,
2020-11-29,Boborás,2285,,
2020-11-30,Boborás,2285,,
2020-12-01,Boborás,2285,,
2020-12-02,Boborás,2285,,
2020-12-03,Boborás,2285,,
2020-12-04,Boborás,2285,,
2020-12-05,Boborás,2285,,
2020-12-06,Boborás,2285,,
2020-12-07,Boborás,2285,,
2020-12-08,Boborás,2285,,
2020-12-09,Boborás,2285,,
2020-12-10,Boborás,2285,,
2020-12-11,Boborás,2285,0,
2020-12-12,Boborás,2285,0,
2020-12-13,Boborás,2285,0,
2020-12-14,Boborás,2285,0,
2020-12-15,Boborás,2285,0,
2020-12-16,Boborás,2285,0,
2020-12-17,Boborás,2285,0,
2020-12-18,Boborás,2285,0,
2020-12-19,Boborás,2285,0,
2020-12-20,Boborás,2285,0,
2020-12-21,Boborás,2285,0,
2020-12-22,Boborás,2285,0,
2020-12-23,Boborás,2285,0,
2020-12-24,Boborás,2285,,
2020-12-25,Boborás,2285,,
2020-12-26,Boborás,2285,,
2020-12-27,Boborás,2285,,
2020-12-28,Boborás,2285,,
2020-12-29,Boborás,2285,,
2020-12-30,Boborás,2285,,
2020-12-31,Boborás,2285,,
2021-01-01,Boborás,2285,,
2021-01-02,Boborás,2285,,
2021-01-03,Boborás,2285,,
2021-01-04,Boborás,2285,,
2021-01-05,Boborás,2285,,
2021-01-06,Boborás,2285,,
2021-01-07,Boborás,2285,0,
2021-01-08,Boborás,2285,0,
2021-01-09,Boborás,2285,0,
2021-01-10,Boborás,2285,,
2021-01-11,Boborás,2285,,
2021-01-12,Boborás,2285,,
2021-01-13,Boborás,2285,,
2021-01-14,Boborás,2285,,
2021-01-15,Boborás,2285,,
2021-01-16,Boborás,2285,,
2021-01-17,Boborás,2285,,
2021-01-18,Boborás,2285,,
2021-01-19,Boborás,2285,,
2021-01-20,Boborás,2285,,
2021-01-21,Boborás,2285,,
2021-01-22,Boborás,2285,,
2021-01-23,Boborás,2285,14,
2021-01-24,Boborás,2285,13,
2021-01-25,Boborás,2285,13,
2021-01-26,Boborás,2285,13,
2021-01-27,Boborás,2285,13,
2021-01-28,Boborás,2285,14,
2021-01-29,Boborás,2285,14,
2021-01-30,Boborás,2285,14,
2021-01-31,Boborás,2285,14,
2021-02-01,Boborás,2285,15,
2021-02-02,Boborás,2285,15,
2021-02-03,Boborás,2285,15,
