fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Boimorto,1985,0,
2020-11-22,Boimorto,1985,,
2020-11-23,Boimorto,1985,,
2020-11-24,Boimorto,1985,,
2020-11-25,Boimorto,1985,,
2020-11-26,Boimorto,1985,,
2020-11-27,Boimorto,1985,,
2020-11-28,Boimorto,1985,,
2020-11-29,Boimorto,1985,,
2020-11-30,Boimorto,1985,,
2020-12-01,Boimorto,1985,,
2020-12-02,Boimorto,1985,,
2020-12-03,Boimorto,1985,,
2020-12-04,Boimorto,1985,,
2020-12-05,Boimorto,1985,,
2020-12-06,Boimorto,1985,,
2020-12-07,Boimorto,1985,,
2020-12-08,Boimorto,1985,,
2020-12-09,Boimorto,1985,,
2020-12-10,Boimorto,1985,,
2020-12-11,Boimorto,1985,,
2020-12-12,Boimorto,1985,,
2020-12-13,Boimorto,1985,,
2020-12-14,Boimorto,1985,,
2020-12-15,Boimorto,1985,0,
2020-12-16,Boimorto,1985,0,
2020-12-17,Boimorto,1985,0,
2020-12-18,Boimorto,1985,0,
2020-12-19,Boimorto,1985,0,
2020-12-20,Boimorto,1985,0,
2020-12-21,Boimorto,1985,0,
2020-12-22,Boimorto,1985,0,
2020-12-23,Boimorto,1985,0,
2020-12-24,Boimorto,1985,,
2020-12-25,Boimorto,1985,,
2020-12-26,Boimorto,1985,,
2020-12-27,Boimorto,1985,,
2020-12-28,Boimorto,1985,,
2020-12-29,Boimorto,1985,,
2020-12-30,Boimorto,1985,,
2020-12-31,Boimorto,1985,,
2021-01-01,Boimorto,1985,,
2021-01-02,Boimorto,1985,,
2021-01-03,Boimorto,1985,,
2021-01-04,Boimorto,1985,,
2021-01-05,Boimorto,1985,,
2021-01-06,Boimorto,1985,,
2021-01-07,Boimorto,1985,,
2021-01-08,Boimorto,1985,,
2021-01-09,Boimorto,1985,,
2021-01-10,Boimorto,1985,,
2021-01-11,Boimorto,1985,,
2021-01-12,Boimorto,1985,,
2021-01-13,Boimorto,1985,,
2021-01-14,Boimorto,1985,,
2021-01-15,Boimorto,1985,10,
2021-01-16,Boimorto,1985,11,
2021-01-17,Boimorto,1985,11,
2021-01-18,Boimorto,1985,11,
2021-01-19,Boimorto,1985,11,
2021-01-20,Boimorto,1985,11,
2021-01-21,Boimorto,1985,11,
2021-01-22,Boimorto,1985,10,
2021-01-23,Boimorto,1985,,
2021-01-24,Boimorto,1985,11,
2021-01-25,Boimorto,1985,12,
2021-01-26,Boimorto,1985,12,
2021-01-27,Boimorto,1985,12,
2021-01-28,Boimorto,1985,10,
2021-01-29,Boimorto,1985,,
2021-01-30,Boimorto,1985,,
2021-01-31,Boimorto,1985,,
2021-02-01,Boimorto,1985,,
2021-02-02,Boimorto,1985,,
2021-02-03,Boimorto,1985,,
2021-02-04,Boimorto,1985,11,
2021-02-05,Boimorto,1985,12,
2021-02-06,Boimorto,1985,12,
2021-02-07,Boimorto,1985,10,
2021-02-08,Boimorto,1985,,
2021-02-09,Boimorto,1985,,
2021-02-10,Boimorto,1985,,
2021-02-11,Boimorto,1985,,
2021-02-12,Boimorto,1985,,
2021-02-13,Boimorto,1985,,
2021-02-14,Boimorto,1985,,
2021-02-15,Boimorto,1985,,
2021-02-16,Boimorto,1985,,
2021-02-17,Boimorto,1985,10,
2021-02-18,Boimorto,1985,,
2021-02-19,Boimorto,1985,,
2021-02-20,Boimorto,1985,,
2021-02-21,Boimorto,1985,,
2021-02-22,Boimorto,1985,,
2021-02-23,Boimorto,1985,,
2021-02-24,Boimorto,1985,,
2021-02-25,Boimorto,1985,,
2021-02-26,Boimorto,1985,,
2021-02-27,Boimorto,1985,,
2021-02-28,Boimorto,1985,,
2021-03-01,Boimorto,1985,,
2021-03-02,Boimorto,1985,,
2021-03-03,Boimorto,1985,,
2021-03-04,Boimorto,1985,,0
2021-03-05,Boimorto,1985,,0
2021-03-06,Boimorto,1985,,
2021-03-07,Boimorto,1985,,
2021-03-08,Boimorto,1985,,
2021-03-09,Boimorto,1985,,
2021-03-10,Boimorto,1985,,
2021-03-11,Boimorto,1985,,
2021-03-12,Boimorto,1985,,
2021-03-13,Boimorto,1985,,
2021-03-14,Boimorto,1985,,
2021-03-15,Boimorto,1985,,
2021-03-16,Boimorto,1985,,
2021-03-17,Boimorto,1985,,
2021-03-18,Boimorto,1985,,
2021-03-19,Boimorto,1985,,
2021-03-20,Boimorto,1985,,
2021-03-21,Boimorto,1985,,
2021-03-22,Boimorto,1985,,
2021-03-23,Boimorto,1985,,
2021-03-24,Boimorto,1985,,
2021-03-25,Boimorto,1985,,
2021-03-26,Boimorto,1985,,
2021-03-27,Boimorto,1985,,
