fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Boqueixón,4220,,
2020-11-22,Boqueixón,4220,,
2020-11-23,Boqueixón,4220,,
2020-11-24,Boqueixón,4220,,
2020-11-25,Boqueixón,4220,,
2020-11-26,Boqueixón,4220,,
2020-11-27,Boqueixón,4220,,
2020-11-28,Boqueixón,4220,,
2020-11-29,Boqueixón,4220,,
2020-11-30,Boqueixón,4220,,
2020-12-01,Boqueixón,4220,,
2020-12-02,Boqueixón,4220,,
2020-12-03,Boqueixón,4220,,
2020-12-04,Boqueixón,4220,,
2020-12-05,Boqueixón,4220,,
2020-12-06,Boqueixón,4220,,
2020-12-07,Boqueixón,4220,,
2020-12-08,Boqueixón,4220,,
2020-12-09,Boqueixón,4220,,
2020-12-10,Boqueixón,4220,,
2020-12-11,Boqueixón,4220,,
2020-12-12,Boqueixón,4220,,
2020-12-13,Boqueixón,4220,,
2020-12-14,Boqueixón,4220,,
2020-12-15,Boqueixón,4220,,
2020-12-16,Boqueixón,4220,,
2020-12-17,Boqueixón,4220,,
2020-12-18,Boqueixón,4220,,
2020-12-19,Boqueixón,4220,,
2020-12-20,Boqueixón,4220,,
2020-12-21,Boqueixón,4220,,
2020-12-22,Boqueixón,4220,,
2020-12-23,Boqueixón,4220,,
2020-12-24,Boqueixón,4220,,
2020-12-25,Boqueixón,4220,,
2020-12-26,Boqueixón,4220,,
2020-12-27,Boqueixón,4220,,
2020-12-28,Boqueixón,4220,,
2020-12-29,Boqueixón,4220,,
2020-12-30,Boqueixón,4220,,
2020-12-31,Boqueixón,4220,,
2021-01-01,Boqueixón,4220,,
2021-01-02,Boqueixón,4220,,
2021-01-03,Boqueixón,4220,,
2021-01-04,Boqueixón,4220,,
2021-01-05,Boqueixón,4220,,
2021-01-06,Boqueixón,4220,,
2021-01-07,Boqueixón,4220,,
2021-01-08,Boqueixón,4220,,
2021-01-09,Boqueixón,4220,,
2021-01-10,Boqueixón,4220,,
2021-01-11,Boqueixón,4220,,
2021-01-12,Boqueixón,4220,10,
2021-01-13,Boqueixón,4220,13,
2021-01-14,Boqueixón,4220,18,
2021-01-15,Boqueixón,4220,18,
2021-01-16,Boqueixón,4220,18,
2021-01-17,Boqueixón,4220,18,
2021-01-18,Boqueixón,4220,18,
2021-01-19,Boqueixón,4220,20,
