fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Brión,7837,10,
2020-11-22,Brión,7837,12,
2020-11-23,Brión,7837,12,
2020-11-24,Brión,7837,11,
2020-11-25,Brión,7837,10,
2020-11-26,Brión,7837,10,
2020-11-27,Brión,7837,10,
2020-11-28,Brión,7837,10,
2020-11-29,Brión,7837,11,
2020-11-30,Brión,7837,11,
2020-12-01,Brión,7837,11,
2020-12-02,Brión,7837,,
2020-12-03,Brión,7837,,
2020-12-04,Brión,7837,,
2020-12-05,Brión,7837,,
2020-12-06,Brión,7837,,
2020-12-07,Brión,7837,,
2020-12-08,Brión,7837,,
2020-12-09,Brión,7837,,
2020-12-10,Brión,7837,,
2020-12-11,Brión,7837,,
2020-12-12,Brión,7837,,
2020-12-13,Brión,7837,,
2020-12-14,Brión,7837,,
2020-12-15,Brión,7837,,
2020-12-16,Brión,7837,,
2020-12-17,Brión,7837,,
2020-12-18,Brión,7837,,
2020-12-19,Brión,7837,11,
2020-12-20,Brión,7837,12,
2020-12-21,Brión,7837,11,
2020-12-22,Brión,7837,12,
2020-12-23,Brión,7837,12,
2020-12-24,Brión,7837,11,
2020-12-25,Brión,7837,11,
2020-12-26,Brión,7837,11,
2020-12-27,Brión,7837,12,
2020-12-28,Brión,7837,13,
2020-12-29,Brión,7837,15,
2020-12-30,Brión,7837,13,
2020-12-31,Brión,7837,13,
2021-01-01,Brión,7837,14,
2021-01-02,Brión,7837,15,
2021-01-03,Brión,7837,14,
2021-01-04,Brión,7837,15,
2021-01-05,Brión,7837,14,
2021-01-06,Brión,7837,20,
2021-01-07,Brión,7837,21,
2021-01-08,Brión,7837,24,
2021-01-09,Brión,7837,26,
2021-01-10,Brión,7837,25,
2021-01-11,Brión,7837,29,
2021-01-12,Brión,7837,30,
2021-01-13,Brión,7837,37,
2021-01-14,Brión,7837,42,
2021-01-15,Brión,7837,43,
2021-01-16,Brión,7837,42,
2021-01-17,Brión,7837,43,
2021-01-18,Brión,7837,42,
2021-01-19,Brión,7837,43,
2021-01-20,Brión,7837,40,
2021-01-21,Brión,7837,41,
2021-01-22,Brión,7837,42,
2021-01-23,Brión,7837,46,
2021-01-24,Brión,7837,44,
2021-01-25,Brión,7837,45,
2021-01-26,Brión,7837,46,
2021-01-27,Brión,7837,42,
2021-01-28,Brión,7837,37,
2021-01-29,Brión,7837,40,
2021-01-30,Brión,7837,41,
2021-01-31,Brión,7837,41,
2021-02-01,Brión,7837,43,
2021-02-02,Brión,7837,45,
2021-02-03,Brión,7837,43,
2021-02-04,Brión,7837,45,
2021-02-05,Brión,7837,44,
2021-02-06,Brión,7837,40,
2021-02-07,Brión,7837,40,
2021-02-08,Brión,7837,37,
2021-02-09,Brión,7837,34,
2021-02-10,Brión,7837,30,
2021-02-11,Brión,7837,30,
2021-02-12,Brión,7837,28,
2021-02-13,Brión,7837,30,
2021-02-14,Brión,7837,32,
2021-02-15,Brión,7837,30,
2021-02-16,Brión,7837,27,
2021-02-17,Brión,7837,25,
2021-02-18,Brión,7837,21,
2021-02-19,Brión,7837,18,
2021-02-20,Brión,7837,16,
2021-02-21,Brión,7837,17,
2021-02-22,Brión,7837,16,
2021-02-23,Brión,7837,16,
2021-02-24,Brión,7837,17,
2021-02-25,Brión,7837,16,
2021-02-26,Brión,7837,13,
2021-02-27,Brión,7837,,
2021-02-28,Brión,7837,,
2021-03-01,Brión,7837,,
2021-03-02,Brión,7837,,
2021-03-03,Brión,7837,,
2021-03-04,Brión,7837,,
2021-03-05,Brión,7837,,
2021-03-06,Brión,7837,,
2021-03-07,Brión,7837,,
2021-03-08,Brión,7837,,
2021-03-09,Brión,7837,,
2021-03-10,Brión,7837,,
2021-03-11,Brión,7837,,
2021-03-12,Brión,7837,,0
2021-03-13,Brión,7837,,0
2021-03-14,Brión,7837,,0
2021-03-15,Brión,7837,,0
2021-03-16,Brión,7837,,0
2021-03-17,Brión,7837,,0
2021-03-18,Brión,7837,,0
2021-03-19,Brión,7837,0,0
2021-03-20,Brión,7837,0,0
2021-03-21,Brión,7837,0,0
2021-03-22,Brión,7837,0,0
2021-03-23,Brión,7837,0,0
2021-03-24,Brión,7837,0,0
2021-03-25,Brión,7837,0,0
2021-03-26,Brión,7837,0,0
2021-03-27,Brión,7837,0,0
2021-03-28,Brión,7837,0,0
2021-03-29,Brión,7837,0,0
2021-03-30,Brión,7837,0,0
2021-03-31,Brión,7837,0,0
2021-04-01,Brión,7837,0,0
2021-04-02,Brión,7837,0,0
2021-04-03,Brión,7837,0,0
2021-04-04,Brión,7837,0,0
2021-04-05,Brión,7837,0,0
2021-04-06,Brión,7837,,
2021-04-07,Brión,7837,,
2021-04-08,Brión,7837,,
2021-04-09,Brión,7837,,
2021-04-10,Brión,7837,,
2021-04-11,Brión,7837,,
2021-04-12,Brión,7837,,
2021-04-13,Brión,7837,,0
2021-04-14,Brión,7837,,0
2021-04-15,Brión,7837,,0
2021-04-16,Brión,7837,,
2021-04-17,Brión,7837,,
2021-04-18,Brión,7837,,
2021-04-19,Brión,7837,,
2021-04-20,Brión,7837,,
2021-04-21,Brión,7837,,
2021-04-22,Brión,7837,,
2021-04-23,Brión,7837,,
2021-04-24,Brión,7837,,
2021-04-25,Brión,7837,,0
2021-04-26,Brión,7837,,0
2021-04-27,Brión,7837,,0
2021-04-28,Brión,7837,,0
2021-04-29,Brión,7837,,0
2021-04-30,Brión,7837,,0
2021-05-01,Brión,7837,,0
2021-05-02,Brión,7837,0,0
2021-05-03,Brión,7837,,
2021-05-04,Brión,7837,,
2021-05-05,Brión,7837,,
2021-05-06,Brión,7837,,
2021-05-07,Brión,7837,,
2021-05-08,Brión,7837,,
2021-05-09,Brión,7837,,
2021-05-10,Brión,7837,,0
2021-05-11,Brión,7837,,0
2021-05-12,Brión,7837,,0
2021-05-13,Brión,7837,,0
2021-05-14,Brión,7837,,0
2021-05-15,Brión,7837,,0
2021-05-16,Brión,7837,,0
2021-05-17,Brión,7837,0,0
2021-05-18,Brión,7837,0,0
2021-05-19,Brión,7837,0,0
2021-05-20,Brión,7837,0,0
2021-05-21,Brión,7837,0,0
2021-05-22,Brión,7837,0,0
2021-05-23,Brión,7837,0,0
2021-05-24,Brión,7837,0,0
2021-05-25,Brión,7837,,
2021-05-26,Brión,7837,,
2021-05-27,Brión,7837,,
2021-05-28,Brión,7837,,
2021-05-29,Brión,7837,,
2021-05-30,Brión,7837,,
2021-05-31,Brión,7837,,
2021-06-01,Brión,7837,,
2021-06-02,Brión,7837,,
2021-06-03,Brión,7837,,
2021-06-04,Brión,7837,,
2021-06-05,Brión,7837,,
2021-06-06,Brión,7837,,
2021-06-07,Brión,7837,,
2021-06-08,Brión,7837,,
2021-06-09,Brión,7837,,
2021-06-10,Brión,7837,,
2021-06-11,Brión,7837,,
2021-06-12,Brión,7837,,
2021-06-13,Brión,7837,,
2021-06-14,Brión,7837,,
2021-06-15,Brión,7837,,
2021-06-16,Brión,7837,,0
2021-06-17,Brión,7837,,0
2021-06-18,Brión,7837,,0
2021-06-19,Brión,7837,,0
2021-06-20,Brión,7837,,0
2021-06-21,Brión,7837,,0
2021-06-22,Brión,7837,,0
2021-06-23,Brión,7837,0,0
2021-06-24,Brión,7837,0,0
2021-06-25,Brión,7837,0,0
2021-06-26,Brión,7837,0,0
2021-06-27,Brión,7837,0,0
2021-06-28,Brión,7837,0,0
2021-06-29,Brión,7837,0,0
2021-06-30,Brión,7837,0,0
2021-07-01,Brión,7837,0,0
2021-07-02,Brión,7837,0,0
2021-07-03,Brión,7837,0,0
2021-07-04,Brión,7837,0,0
2021-07-05,Brión,7837,,
2021-07-06,Brión,7837,,
2021-07-07,Brión,7837,,
2021-07-08,Brión,7837,,
2021-07-09,Brión,7837,,
2021-07-10,Brión,7837,,
2021-07-11,Brión,7837,,
2021-07-12,Brión,7837,,
2021-07-13,Brión,7837,,
2021-07-14,Brión,7837,,
2021-07-15,Brión,7837,,
2021-07-16,Brión,7837,,
2021-07-17,Brión,7837,,
2021-07-18,Brión,7837,11,
2021-07-19,Brión,7837,11,
2021-07-20,Brión,7837,11,
2021-07-21,Brión,7837,13,
2021-07-22,Brión,7837,14,
2021-07-23,Brión,7837,20,13
2021-07-24,Brión,7837,20,14
2021-07-25,Brión,7837,20,15
2021-07-26,Brión,7837,19,13
2021-07-27,Brión,7837,20,14
2021-07-28,Brión,7837,21,13
2021-07-29,Brión,7837,20,13
2021-07-30,Brión,7837,21,
2021-07-31,Brión,7837,23,
2021-08-01,Brión,7837,24,
2021-08-02,Brión,7837,23,10
2021-08-03,Brión,7837,24,10
2021-08-04,Brión,7837,23,10
2021-08-05,Brión,7837,26,12
2021-08-06,Brión,7837,20,11
2021-08-07,Brión,7837,18,
2021-08-08,Brión,7837,16,
2021-08-09,Brión,7837,16,
2021-08-10,Brión,7837,15,
2021-08-11,Brión,7837,14,
2021-08-12,Brión,7837,15,
2021-08-13,Brión,7837,14,
2021-08-14,Brión,7837,13,
2021-08-15,Brión,7837,11,
2021-08-16,Brión,7837,12,
2021-08-17,Brión,7837,14,
2021-08-18,Brión,7837,13,
2021-08-19,Brión,7837,11,
2021-08-20,Brión,7837,11,
2021-08-21,Brión,7837,11,
2021-08-22,Brión,7837,11,
2021-08-23,Brión,7837,11,
2021-08-24,Brión,7837,12,
2021-08-25,Brión,7837,12,
2021-08-26,Brión,7837,11,
2021-08-27,Brión,7837,11,
2021-08-28,Brión,7837,10,
2021-08-29,Brión,7837,,
2021-08-30,Brión,7837,,
2021-08-31,Brión,7837,,
2021-09-01,Brión,7837,,
2021-09-02,Brión,7837,,
2021-09-03,Brión,7837,,
2021-09-04,Brión,7837,,
2021-09-05,Brión,7837,,
2021-09-06,Brión,7837,,
2021-09-07,Brión,7837,,
2021-09-08,Brión,7837,,
2021-09-09,Brión,7837,,
2021-09-10,Brión,7837,,
2021-09-11,Brión,7837,,
2021-09-12,Brión,7837,,
2021-09-13,Brión,7837,,
2021-09-14,Brión,7837,,0
2021-09-15,Brión,7837,,0
2021-09-16,Brión,7837,,0
2021-09-17,Brión,7837,,0
2021-09-18,Brión,7837,,0
2021-09-19,Brión,7837,,0
2021-09-20,Brión,7837,,0
2021-09-21,Brión,7837,0,0
2021-09-22,Brión,7837,0,0
2021-09-23,Brión,7837,0,0
2021-09-24,Brión,7837,0,0
2021-09-25,Brión,7837,0,0
2021-09-26,Brión,7837,0,0
2021-09-27,Brión,7837,0,0
2021-09-28,Brión,7837,0,0
2021-09-29,Brión,7837,0,0
2021-09-30,Brión,7837,0,0
2021-10-01,Brión,7837,0,0
2021-10-02,Brión,7837,0,0
2021-10-03,Brión,7837,0,0
2021-10-04,Brión,7837,0,0
2021-10-05,Brión,7837,0,0
2021-10-06,Brión,7837,0,0
2021-10-07,Brión,7837,0,0
2021-10-08,Brión,7837,0,0
2021-10-09,Brión,7837,0,0
2021-10-10,Brión,7837,0,0
2021-10-11,Brión,7837,0,0
2021-10-12,Brión,7837,0,0
2021-10-13,Brión,7837,0,0
2021-10-14,Brión,7837,0,0
2021-10-15,Brión,7837,0,0
2021-10-16,Brión,7837,0,0
2021-10-17,Brión,7837,0,0
2021-10-18,Brión,7837,0,0
2021-10-19,Brión,7837,0,0
2021-10-20,Brión,7837,0,0
2021-10-21,Brión,7837,0,0
2021-10-22,Brión,7837,0,0
2021-10-23,Brión,7837,0,0
2021-10-24,Brión,7837,0,0
2021-10-25,Brión,7837,0,0
2021-10-26,Brión,7837,0,0
2021-10-27,Brión,7837,0,0
2021-10-28,Brión,7837,0,0
2021-10-29,Brión,7837,,
2021-10-30,Brión,7837,,
2021-10-31,Brión,7837,,
2021-11-01,Brión,7837,,
2021-11-02,Brión,7837,,
2021-11-03,Brión,7837,,
2021-11-04,Brión,7837,,
2021-11-05,Brión,7837,,0
2021-11-06,Brión,7837,,
2021-11-07,Brión,7837,,
2021-11-08,Brión,7837,,
2021-11-09,Brión,7837,,
2021-11-10,Brión,7837,,
2021-11-11,Brión,7837,,
2021-11-12,Brión,7837,,
2021-11-13,Brión,7837,,
2021-11-14,Brión,7837,,
2021-11-15,Brión,7837,,
2021-11-16,Brión,7837,,
2021-11-17,Brión,7837,,0
2021-11-18,Brión,7837,,
2021-11-19,Brión,7837,,
2021-11-20,Brión,7837,,
2021-11-21,Brión,7837,,
2021-11-22,Brión,7837,,
2021-11-23,Brión,7837,,
2021-11-24,Brión,7837,,
2021-11-25,Brión,7837,,
2021-11-26,Brión,7837,,
2021-11-27,Brión,7837,,
2021-11-28,Brión,7837,,
2021-11-29,Brión,7837,,
2021-11-30,Brión,7837,,
2021-12-01,Brión,7837,,
2021-12-02,Brión,7837,,
2021-12-03,Brión,7837,10,
2021-12-04,Brión,7837,13,
2021-12-05,Brión,7837,13,
2021-12-06,Brión,7837,15,
2021-12-07,Brión,7837,13,
2021-12-08,Brión,7837,12,
2021-12-09,Brión,7837,14,
2021-12-10,Brión,7837,12,
2021-12-11,Brión,7837,12,
2021-12-12,Brión,7837,15,
2021-12-13,Brión,7837,17,
2021-12-14,Brión,7837,17,
2021-12-15,Brión,7837,21,12
2021-12-16,Brión,7837,21,12
2021-12-17,Brión,7837,25,18
2021-12-18,Brión,7837,28,23
2021-12-19,Brión,7837,35,27
2021-12-20,Brión,7837,45,37
2021-12-21,Brión,7837,53,45
2021-12-22,Brión,7837,69,57
2021-12-23,Brión,7837,92,80
2021-12-24,Brión,7837,115,97
2021-12-25,Brión,7837,142,119
2021-12-26,Brión,7837,167,140
2021-12-27,Brión,7837,168,131
2021-12-28,Brión,7837,186,141
2021-12-29,Brión,7837,212,155
2021-12-30,Brión,7837,242,162
2021-12-31,Brión,7837,261,164
2022-01-01,Brión,7837,270,151
2022-01-02,Brión,7837,276,136
2022-01-03,Brión,7837,276,145
2022-01-04,Brión,7837,272,131
2022-01-05,Brión,7837,274,119
2022-01-06,Brión,7837,261,99
2022-01-07,Brión,7837,250,86
2022-01-08,Brión,7837,227,76
2022-01-09,Brión,7837,204,68
2022-01-10,Brión,7837,205,60
2022-01-11,Brión,7837,193,62
2022-01-12,Brión,7837,176,57
2022-01-13,Brión,7837,190,91
2022-01-14,Brión,7837,184,98
2022-01-15,Brión,7837,190,112
2022-01-16,Brión,7837,199,122
2022-01-17,Brión,7837,204,130
2022-01-18,Brión,7837,220,134
2022-01-19,Brión,7837,218,128
2022-01-20,Brión,7837,223,129
2022-01-21,Brión,7837,225,120
2022-01-22,Brión,7837,243,127
2022-01-23,Brión,7837,245,119
2022-01-24,Brión,7837,252,122
2022-01-25,Brión,7837,253,119
2022-01-26,Brión,7837,257,126
2022-01-27,Brión,7837,257,126
2022-01-28,Brión,7837,261,135
2022-01-29,Brión,7837,261,133
2022-01-30,Brión,7837,254,136
2022-01-31,Brión,7837,259,137
2022-02-01,Brión,7837,263,144
2022-02-02,Brión,7837,261,132
2022-02-03,Brión,7837,269,140
2022-02-04,Brión,7837,274,132
2022-02-05,Brión,7837,262,127
2022-02-06,Brión,7837,252,116
2022-02-07,Brión,7837,247,110
2022-02-08,Brión,7837,246,102
2022-02-09,Brión,7837,231,99
2022-02-10,Brión,7837,226,86
2022-02-11,Brión,7837,213,80
2022-02-12,Brión,7837,206,78
2022-02-13,Brión,7837,195,78
2022-02-14,Brión,7837,182,71
2022-02-15,Brión,7837,172,69
2022-02-16,Brión,7837,161,62
2022-02-17,Brión,7837,138,52
2022-02-18,Brión,7837,132,52
2022-02-19,Brión,7837,121,43
2022-02-20,Brión,7837,122,44
