fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Burela,9588,39,
2020-11-22,Burela,9588,36,
2020-11-23,Burela,9588,36,
2020-11-24,Burela,9588,35,
2020-11-25,Burela,9588,38,
2020-11-26,Burela,9588,40,
2020-11-27,Burela,9588,38,
2020-11-28,Burela,9588,33,
2020-11-29,Burela,9588,31,
2020-11-30,Burela,9588,31,
2020-12-01,Burela,9588,26,
2020-12-02,Burela,9588,13,
2020-12-03,Burela,9588,12,
2020-12-04,Burela,9588,11,
2020-12-05,Burela,9588,12,
2020-12-06,Burela,9588,13,
2020-12-07,Burela,9588,12,
2020-12-08,Burela,9588,,
2020-12-09,Burela,9588,,
2020-12-10,Burela,9588,,
2020-12-11,Burela,9588,10,
2020-12-12,Burela,9588,,
2020-12-13,Burela,9588,11,
2020-12-14,Burela,9588,11,
2020-12-15,Burela,9588,14,
2020-12-16,Burela,9588,13,
2020-12-17,Burela,9588,14,
2020-12-18,Burela,9588,14,
2020-12-19,Burela,9588,14,
2020-12-20,Burela,9588,14,
2020-12-21,Burela,9588,16,
2020-12-22,Burela,9588,16,
2020-12-23,Burela,9588,16,
2020-12-24,Burela,9588,17,
2020-12-25,Burela,9588,16,
2020-12-26,Burela,9588,17,
2020-12-27,Burela,9588,14,
2020-12-28,Burela,9588,13,
2020-12-29,Burela,9588,11,
2020-12-30,Burela,9588,12,
2020-12-31,Burela,9588,16,
2021-01-01,Burela,9588,23,
2021-01-02,Burela,9588,22,
2021-01-03,Burela,9588,23,
2021-01-04,Burela,9588,25,
2021-01-05,Burela,9588,27,
2021-01-06,Burela,9588,32,
2021-01-07,Burela,9588,39,
2021-01-08,Burela,9588,38,
2021-01-09,Burela,9588,41,
2021-01-10,Burela,9588,45,
2021-01-11,Burela,9588,45,
2021-01-12,Burela,9588,47,
2021-01-13,Burela,9588,52,
2021-01-14,Burela,9588,52,
2021-01-15,Burela,9588,50,
2021-01-16,Burela,9588,49,
2021-01-17,Burela,9588,51,
2021-01-18,Burela,9588,47,
2021-01-19,Burela,9588,48,
2021-01-20,Burela,9588,47,
2021-01-21,Burela,9588,45,
2021-01-22,Burela,9588,51,
2021-01-23,Burela,9588,52,
2021-01-24,Burela,9588,49,
2021-01-25,Burela,9588,52,
2021-01-26,Burela,9588,51,
2021-01-27,Burela,9588,45,
2021-01-28,Burela,9588,40,
2021-01-29,Burela,9588,35,
2021-01-30,Burela,9588,47,
2021-01-31,Burela,9588,44,
2021-02-01,Burela,9588,46,
2021-02-02,Burela,9588,43,
2021-02-03,Burela,9588,40,
2021-02-04,Burela,9588,35,
2021-02-05,Burela,9588,30,
2021-02-06,Burela,9588,25,
2021-02-07,Burela,9588,26,
2021-02-08,Burela,9588,23,
2021-02-09,Burela,9588,24,
2021-02-10,Burela,9588,26,
2021-02-11,Burela,9588,27,
2021-02-12,Burela,9588,27,
2021-02-13,Burela,9588,14,
2021-02-14,Burela,9588,13,
2021-02-15,Burela,9588,11,
2021-02-16,Burela,9588,11,
2021-02-17,Burela,9588,10,
2021-02-18,Burela,9588,10,
2021-02-19,Burela,9588,,
2021-02-20,Burela,9588,,
2021-02-21,Burela,9588,,
2021-02-22,Burela,9588,,
2021-02-23,Burela,9588,,
2021-02-24,Burela,9588,,
2021-02-25,Burela,9588,,
2021-02-26,Burela,9588,,
2021-02-27,Burela,9588,,
2021-02-28,Burela,9588,,
2021-03-01,Burela,9588,,
2021-03-02,Burela,9588,,
2021-03-03,Burela,9588,,
2021-03-04,Burela,9588,,
2021-03-05,Burela,9588,,
2021-03-06,Burela,9588,,
2021-03-07,Burela,9588,,
2021-03-08,Burela,9588,,
2021-03-09,Burela,9588,,
2021-03-10,Burela,9588,,
2021-03-11,Burela,9588,,
2021-03-12,Burela,9588,,
2021-03-13,Burela,9588,,0
2021-03-14,Burela,9588,,0
2021-03-15,Burela,9588,,0
2021-03-16,Burela,9588,,0
2021-03-17,Burela,9588,,0
2021-03-18,Burela,9588,,
2021-03-19,Burela,9588,,
2021-03-20,Burela,9588,,
2021-03-21,Burela,9588,,
2021-03-22,Burela,9588,,
2021-03-23,Burela,9588,,
2021-03-24,Burela,9588,,
2021-03-25,Burela,9588,,
2021-03-26,Burela,9588,,
2021-03-27,Burela,9588,,0
2021-03-28,Burela,9588,,0
2021-03-29,Burela,9588,,0
2021-03-30,Burela,9588,,
2021-03-31,Burela,9588,,
2021-04-01,Burela,9588,,
2021-04-02,Burela,9588,,
2021-04-03,Burela,9588,,
2021-04-04,Burela,9588,,
2021-04-05,Burela,9588,,
2021-04-06,Burela,9588,,
2021-04-07,Burela,9588,,
2021-04-08,Burela,9588,,
2021-04-09,Burela,9588,,
2021-04-10,Burela,9588,,
2021-04-11,Burela,9588,,
2021-04-12,Burela,9588,,
2021-04-13,Burela,9588,,
2021-04-14,Burela,9588,,
2021-04-15,Burela,9588,,
2021-04-16,Burela,9588,,
2021-04-17,Burela,9588,10,
2021-04-18,Burela,9588,10,
2021-04-19,Burela,9588,10,
2021-04-20,Burela,9588,10,
2021-04-21,Burela,9588,13,
2021-04-22,Burela,9588,12,
2021-04-23,Burela,9588,12,
2021-04-24,Burela,9588,,
2021-04-25,Burela,9588,,
2021-04-26,Burela,9588,,
2021-04-27,Burela,9588,,
2021-04-28,Burela,9588,,
2021-04-29,Burela,9588,,
2021-04-30,Burela,9588,,
2021-05-01,Burela,9588,,
2021-05-02,Burela,9588,,
2021-05-03,Burela,9588,,
2021-05-04,Burela,9588,,
2021-05-05,Burela,9588,,
2021-05-06,Burela,9588,,0
2021-05-07,Burela,9588,,0
2021-05-08,Burela,9588,,0
2021-05-09,Burela,9588,,
2021-05-10,Burela,9588,,
2021-05-11,Burela,9588,,
2021-05-12,Burela,9588,,
2021-05-13,Burela,9588,,
2021-05-14,Burela,9588,,
2021-05-15,Burela,9588,,
2021-05-16,Burela,9588,,
2021-05-17,Burela,9588,,
2021-05-18,Burela,9588,,
2021-05-19,Burela,9588,,
2021-05-20,Burela,9588,,
2021-05-21,Burela,9588,,
2021-05-22,Burela,9588,,
2021-05-23,Burela,9588,,
2021-05-24,Burela,9588,,
2021-05-25,Burela,9588,,
2021-05-26,Burela,9588,,
2021-05-27,Burela,9588,,
2021-05-28,Burela,9588,,
2021-05-29,Burela,9588,,
2021-05-30,Burela,9588,,
2021-05-31,Burela,9588,,
2021-06-01,Burela,9588,,
2021-06-02,Burela,9588,,
2021-06-03,Burela,9588,,
2021-06-04,Burela,9588,,
2021-06-05,Burela,9588,,
2021-06-06,Burela,9588,,
2021-06-07,Burela,9588,,
2021-06-08,Burela,9588,,
2021-06-09,Burela,9588,,
2021-06-10,Burela,9588,,
2021-06-11,Burela,9588,,
2021-06-12,Burela,9588,,
2021-06-13,Burela,9588,,
2021-06-14,Burela,9588,,
2021-06-15,Burela,9588,,
2021-06-16,Burela,9588,,
2021-06-17,Burela,9588,,0
2021-06-18,Burela,9588,,0
2021-06-19,Burela,9588,,0
2021-06-20,Burela,9588,,0
2021-06-21,Burela,9588,,0
2021-06-22,Burela,9588,,
2021-06-23,Burela,9588,,
2021-06-24,Burela,9588,,
2021-06-25,Burela,9588,,
2021-06-26,Burela,9588,,
2021-06-27,Burela,9588,,
2021-06-28,Burela,9588,,
2021-06-29,Burela,9588,,
2021-06-30,Burela,9588,,
2021-07-01,Burela,9588,,
2021-07-02,Burela,9588,,
2021-07-03,Burela,9588,,0
2021-07-04,Burela,9588,,0
