fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Cabana de Bergantiños",4248,61,
2020-11-22,"Cabana de Bergantiños",4248,62,
2020-11-23,"Cabana de Bergantiños",4248,58,
2020-11-24,"Cabana de Bergantiños",4248,53,
2020-11-25,"Cabana de Bergantiños",4248,46,
2020-11-26,"Cabana de Bergantiños",4248,39,
2020-11-27,"Cabana de Bergantiños",4248,35,
2020-11-28,"Cabana de Bergantiños",4248,30,
2020-11-29,"Cabana de Bergantiños",4248,28,
2020-11-30,"Cabana de Bergantiños",4248,27,
2020-12-01,"Cabana de Bergantiños",4248,25,
2020-12-02,"Cabana de Bergantiños",4248,22,
2020-12-03,"Cabana de Bergantiños",4248,16,
2020-12-04,"Cabana de Bergantiños",4248,14,
2020-12-05,"Cabana de Bergantiños",4248,12,
2020-12-06,"Cabana de Bergantiños",4248,,
2020-12-07,"Cabana de Bergantiños",4248,,
2020-12-08,"Cabana de Bergantiños",4248,,
2020-12-09,"Cabana de Bergantiños",4248,,
2020-12-10,"Cabana de Bergantiños",4248,,
2020-12-11,"Cabana de Bergantiños",4248,,
2020-12-12,"Cabana de Bergantiños",4248,,
2020-12-13,"Cabana de Bergantiños",4248,11,
2020-12-14,"Cabana de Bergantiños",4248,12,
2020-12-15,"Cabana de Bergantiños",4248,13,
2020-12-16,"Cabana de Bergantiños",4248,15,
2020-12-17,"Cabana de Bergantiños",4248,16,
2020-12-18,"Cabana de Bergantiños",4248,15,
2020-12-19,"Cabana de Bergantiños",4248,15,
2020-12-20,"Cabana de Bergantiños",4248,15,
2020-12-21,"Cabana de Bergantiños",4248,14,
2020-12-22,"Cabana de Bergantiños",4248,14,
2020-12-23,"Cabana de Bergantiños",4248,14,
2020-12-24,"Cabana de Bergantiños",4248,14,
2020-12-25,"Cabana de Bergantiños",4248,14,
2020-12-26,"Cabana de Bergantiños",4248,12,
2020-12-27,"Cabana de Bergantiños",4248,,
2020-12-28,"Cabana de Bergantiños",4248,,
2020-12-29,"Cabana de Bergantiños",4248,,
2020-12-30,"Cabana de Bergantiños",4248,,
2020-12-31,"Cabana de Bergantiños",4248,,
2021-01-01,"Cabana de Bergantiños",4248,,
2021-01-02,"Cabana de Bergantiños",4248,,
2021-01-03,"Cabana de Bergantiños",4248,,
2021-01-04,"Cabana de Bergantiños",4248,,
2021-01-05,"Cabana de Bergantiños",4248,,
2021-01-06,"Cabana de Bergantiños",4248,,
2021-01-07,"Cabana de Bergantiños",4248,,
2021-01-08,"Cabana de Bergantiños",4248,,
2021-01-09,"Cabana de Bergantiños",4248,,
2021-01-10,"Cabana de Bergantiños",4248,,
