fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Caldas de Reis",9785,34,
2020-11-22,"Caldas de Reis",9785,35,
2020-11-23,"Caldas de Reis",9785,34,
2020-11-24,"Caldas de Reis",9785,32,
2020-11-25,"Caldas de Reis",9785,31,
2020-11-26,"Caldas de Reis",9785,28,
2020-11-27,"Caldas de Reis",9785,28,
2020-11-28,"Caldas de Reis",9785,25,
2020-11-29,"Caldas de Reis",9785,25,
2020-11-30,"Caldas de Reis",9785,24,
2020-12-01,"Caldas de Reis",9785,23,
2020-12-02,"Caldas de Reis",9785,23,
2020-12-03,"Caldas de Reis",9785,18,
2020-12-04,"Caldas de Reis",9785,15,
2020-12-05,"Caldas de Reis",9785,13,
2020-12-06,"Caldas de Reis",9785,12,
2020-12-07,"Caldas de Reis",9785,10,
2020-12-08,"Caldas de Reis",9785,,
2020-12-09,"Caldas de Reis",9785,,
2020-12-10,"Caldas de Reis",9785,,
2020-12-11,"Caldas de Reis",9785,,
2020-12-12,"Caldas de Reis",9785,,
2020-12-13,"Caldas de Reis",9785,,
2020-12-14,"Caldas de Reis",9785,,
2020-12-15,"Caldas de Reis",9785,,
2020-12-16,"Caldas de Reis",9785,,
2020-12-17,"Caldas de Reis",9785,,
2020-12-18,"Caldas de Reis",9785,10,
2020-12-19,"Caldas de Reis",9785,,
2020-12-20,"Caldas de Reis",9785,,
2020-12-21,"Caldas de Reis",9785,,
2020-12-22,"Caldas de Reis",9785,,
2020-12-23,"Caldas de Reis",9785,,
2020-12-24,"Caldas de Reis",9785,,
2020-12-25,"Caldas de Reis",9785,10,
2020-12-26,"Caldas de Reis",9785,10,
2020-12-27,"Caldas de Reis",9785,12,
2020-12-28,"Caldas de Reis",9785,13,
2020-12-29,"Caldas de Reis",9785,,
2020-12-30,"Caldas de Reis",9785,13,
2020-12-31,"Caldas de Reis",9785,14,
2021-01-01,"Caldas de Reis",9785,14,
2021-01-02,"Caldas de Reis",9785,16,
2021-01-03,"Caldas de Reis",9785,16,
2021-01-04,"Caldas de Reis",9785,18,
2021-01-05,"Caldas de Reis",9785,24,
2021-01-06,"Caldas de Reis",9785,23,
2021-01-07,"Caldas de Reis",9785,24,
2021-01-08,"Caldas de Reis",9785,27,
2021-01-09,"Caldas de Reis",9785,34,
2021-01-10,"Caldas de Reis",9785,35,
2021-01-11,"Caldas de Reis",9785,37,
2021-01-12,"Caldas de Reis",9785,46,
2021-01-13,"Caldas de Reis",9785,49,
2021-01-14,"Caldas de Reis",9785,49,
2021-01-15,"Caldas de Reis",9785,50,
2021-01-16,"Caldas de Reis",9785,59,
2021-01-17,"Caldas de Reis",9785,61,
2021-01-18,"Caldas de Reis",9785,63,
2021-01-19,"Caldas de Reis",9785,59,
2021-01-20,"Caldas de Reis",9785,61,
2021-01-21,"Caldas de Reis",9785,66,
2021-01-22,"Caldas de Reis",9785,67,
2021-01-23,"Caldas de Reis",9785,61,
2021-01-24,"Caldas de Reis",9785,61,
