fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Calvos de Randín",770,,
2020-11-22,"Calvos de Randín",770,,
2020-11-23,"Calvos de Randín",770,,
2020-11-24,"Calvos de Randín",770,,
2020-11-25,"Calvos de Randín",770,,
2020-11-26,"Calvos de Randín",770,,
2020-11-27,"Calvos de Randín",770,,
2020-11-28,"Calvos de Randín",770,,
2020-11-29,"Calvos de Randín",770,,
2020-11-30,"Calvos de Randín",770,,
2020-12-01,"Calvos de Randín",770,,
2020-12-02,"Calvos de Randín",770,,
2020-12-03,"Calvos de Randín",770,,
2020-12-04,"Calvos de Randín",770,,
2020-12-05,"Calvos de Randín",770,,
2020-12-06,"Calvos de Randín",770,,
2020-12-07,"Calvos de Randín",770,,
2020-12-08,"Calvos de Randín",770,,
2020-12-09,"Calvos de Randín",770,,
2020-12-10,"Calvos de Randín",770,,
2020-12-11,"Calvos de Randín",770,,
2020-12-12,"Calvos de Randín",770,,
2020-12-13,"Calvos de Randín",770,,
2020-12-14,"Calvos de Randín",770,,
2020-12-15,"Calvos de Randín",770,,
2020-12-16,"Calvos de Randín",770,,
2020-12-17,"Calvos de Randín",770,,
2020-12-18,"Calvos de Randín",770,,
2020-12-19,"Calvos de Randín",770,,
2020-12-20,"Calvos de Randín",770,,
2020-12-21,"Calvos de Randín",770,0,
2020-12-22,"Calvos de Randín",770,0,
2020-12-23,"Calvos de Randín",770,0,
2020-12-24,"Calvos de Randín",770,,
2020-12-25,"Calvos de Randín",770,,
2020-12-26,"Calvos de Randín",770,,
2020-12-27,"Calvos de Randín",770,,
2020-12-28,"Calvos de Randín",770,,
2020-12-29,"Calvos de Randín",770,,
2020-12-30,"Calvos de Randín",770,,
2020-12-31,"Calvos de Randín",770,,
2021-01-01,"Calvos de Randín",770,,
2021-01-02,"Calvos de Randín",770,,
2021-01-03,"Calvos de Randín",770,,
2021-01-04,"Calvos de Randín",770,,
2021-01-05,"Calvos de Randín",770,,
2021-01-06,"Calvos de Randín",770,15,
2021-01-07,"Calvos de Randín",770,14,
2021-01-08,"Calvos de Randín",770,15,
2021-01-09,"Calvos de Randín",770,15,
2021-01-10,"Calvos de Randín",770,15,
2021-01-11,"Calvos de Randín",770,15,
