fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,36006,Cambados,13744,56,,,407.450523864959,,,,,,,,
2020-11-22,36006,Cambados,13744,62,,,451.105937136205,,,,,,,,
2020-11-23,36006,Cambados,13744,59,,,429.278230500582,,,,,,,,
2020-11-24,36006,Cambados,13744,63,,,458.381839348079,,,,,,,,
2020-11-25,36006,Cambados,13744,65,,,472.933643771828,,,,,,,,
2020-11-26,36006,Cambados,13744,61,,,443.830034924331,,,,,,,,
2020-11-27,36006,Cambados,13744,62,,,451.105937136205,,,,,,,,
2020-11-28,36006,Cambados,13744,61,,,443.830034924331,,,,,,,,
2020-11-29,36006,Cambados,13744,61,,,443.830034924331,,,,,,,,
2020-11-30,36006,Cambados,13744,58,,,422.002328288708,,,,,,,,
2020-12-01,36006,Cambados,13744,54,,,392.898719441211,,,,,,,,
2020-12-02,36006,Cambados,13744,45,,,327.415599534342,,,,,,,,
2020-12-03,36006,Cambados,13744,52,,,378.346915017462,,,,,,,,
2020-12-04,36006,Cambados,13744,46,,,334.691501746217,,,,,,,,
2020-12-05,36006,Cambados,13744,42,,,305.587892898719,,,,,,,,
2020-12-06,36006,Cambados,13744,41,,,298.311990686845,,,,,,,,
2020-12-07,36006,Cambados,13744,38,,,276.484284051222,,,,,,,,
2020-12-08,36006,Cambados,13744,32,,,232.828870779977,,,,,,,,
2020-12-09,36006,Cambados,13744,29,,,211.001164144354,,,,,,,,
2020-12-10,36006,Cambados,13744,30,,,218.277066356228,,,,,,,,
2020-12-11,36006,Cambados,13744,26,,,189.173457508731,,,,,,,,
2020-12-12,36006,Cambados,13744,27,,,196.449359720605,,,,,,,,
2020-12-13,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2020-12-14,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2020-12-15,36006,Cambados,13744,34,,,247.380675203725,,,,,,,,
2020-12-16,36006,Cambados,13744,35,,,254.6565774156,,,,,,,,
2020-12-17,36006,Cambados,13744,29,,,211.001164144354,,,,,,,,
2020-12-18,36006,Cambados,13744,32,,,232.828870779977,,,,,,,,
2020-12-19,36006,Cambados,13744,30,,,218.277066356228,,,,,,,,
2020-12-20,36006,Cambados,13744,30,,,218.277066356228,,,,,,,,
2020-12-21,36006,Cambados,13744,30,,,218.277066356228,,,,,,,,
2020-12-22,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2020-12-23,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2020-12-24,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2020-12-25,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2020-12-26,36006,Cambados,13744,27,,,196.449359720605,,,,,,,,
2020-12-27,36006,Cambados,13744,21,,,152.79394644936,,,,,,,,
2020-12-28,36006,Cambados,13744,22,,,160.069848661234,,,,,,,,
2020-12-29,36006,Cambados,13744,26,,,189.173457508731,,,,,,,,
2020-12-30,36006,Cambados,13744,27,,,196.449359720605,,,,,,,,
2020-12-31,36006,Cambados,13744,29,,,211.001164144354,,,,,,,,
2021-01-01,36006,Cambados,13744,26,,,189.173457508731,,,,,,,,
2021-01-02,36006,Cambados,13744,29,,,211.001164144354,,,,,,,,
2021-01-03,36006,Cambados,13744,27,,,196.449359720605,,,,,,,,
2021-01-04,36006,Cambados,13744,33,,,240.104772991851,,,,,,,,
2021-01-05,36006,Cambados,13744,32,,,232.828870779977,,,,,,,,
2021-01-06,36006,Cambados,13744,34,,,247.380675203725,,,,,,,,
2021-01-07,36006,Cambados,13744,35,,,254.6565774156,,,,,,,,
2021-01-08,36006,Cambados,13744,35,,,254.6565774156,,,,,,,,
2021-01-09,36006,Cambados,13744,35,,,254.6565774156,,,,,,,,
2021-01-10,36006,Cambados,13744,36,,,261.932479627474,,,,,,,,
2021-01-11,36006,Cambados,13744,33,,,240.104772991851,,,,,,,,
2021-01-12,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2021-01-13,36006,Cambados,13744,30,,,218.277066356228,,,,,,,,
2021-01-14,36006,Cambados,13744,26,,,189.173457508731,,,,,,,,
2021-01-15,36006,Cambados,13744,26,,,189.173457508731,,,,,,,,
2021-01-16,36006,Cambados,13744,23,,,167.345750873108,,,,,,,,
2021-01-17,36006,Cambados,13744,23,,,167.345750873108,,,,,,,,
2021-01-18,36006,Cambados,13744,19,,,138.242142025611,,,,,,,,
2021-01-19,36006,Cambados,13744,23,,,167.345750873108,,,,,,,,
2021-01-20,36006,Cambados,13744,24,,,174.621653084983,,,,,,,,
2021-01-21,36006,Cambados,13744,24,,,174.621653084983,,,,,,,,
2021-01-22,36006,Cambados,13744,25,,,181.897555296857,,,,,,,,
2021-01-23,36006,Cambados,13744,28,,,203.72526193248,,,,,,,,
2021-01-24,36006,Cambados,13744,31,,,225.552968568102,,,,,,,,
2021-01-25,36006,Cambados,13744,38,,,276.484284051222,,,,,,,,
2021-01-26,36006,Cambados,13744,41,,,298.311990686845,,,,,,,,
2021-01-27,36006,Cambados,13744,44,,,320.139697322468,,,,,,,,
2021-01-28,36006,Cambados,13744,47,,,341.967403958091,,,,,,,,
2021-01-29,36006,Cambados,13744,50,,,363.795110593714,,,,,,,,
2021-01-30,36006,Cambados,13744,53,,,385.622817229336,,,,,,,,
2021-01-31,36006,Cambados,13744,60,,,436.554132712456,,,,,,,,
2021-02-01,36006,Cambados,13744,59,,,429.278230500582,,,,,,,,
2021-02-02,36006,Cambados,13744,59,,,429.278230500582,,,,,,,,
2021-02-03,36006,Cambados,13744,56,,,407.450523864959,,,,,,,,
2021-02-04,36006,Cambados,13744,57,,,414.726426076834,,,,,,,,
2021-02-05,36006,Cambados,13744,58,,,422.002328288708,,,,,,,,
2021-02-06,36006,Cambados,13744,56,,,407.450523864959,,,,,,,,
2021-02-07,36006,Cambados,13744,55,,,400.174621653085,,,,,,,,
2021-02-08,36006,Cambados,13744,52,,,378.346915017462,,,,,,,,
2021-02-09,36006,Cambados,13744,54,,,392.898719441211,,,,,,,,
2021-02-10,36006,Cambados,13744,52,,,378.346915017462,,,,,,,,
2021-02-11,36006,Cambados,13744,50,,,363.795110593714,,,,,,,,
2021-02-12,36006,Cambados,13744,50,,,363.795110593714,,,,,,,,
2021-02-13,36006,Cambados,13744,52,,,378.346915017462,,,,,,,,
2021-02-14,36006,Cambados,13744,51,,,371.071012805588,,,,,,,,
2021-02-15,36006,Cambados,13744,56,,,407.450523864959,,,,,,,,
2021-02-16,36006,Cambados,13744,56,,,407.450523864959,,,,,,,,
2021-02-17,36006,Cambados,13744,55,,,400.174621653085,,,,,,,,
2021-02-18,36006,Cambados,13744,51,,,371.071012805588,,,,,,,,
2021-02-19,36006,Cambados,13744,49,,,356.519208381839,,,,,,,,
2021-02-20,36006,Cambados,13744,50,,,363.795110593714,,,,,,,,
2021-02-21,36006,Cambados,13744,50,,,363.795110593714,,,,,,,,
2021-02-22,36006,Cambados,13744,48,,,349.243306169965,,,,,,,,
2021-02-23,36006,Cambados,13744,38,,,276.484284051222,,,,,,,,
2021-02-24,36006,Cambados,13744,41,,,298.311990686845,,,,,,,,
2021-02-25,36006,Cambados,13744,42,,,305.587892898719,,,,,,,,
2021-02-26,36006,Cambados,13744,41,,,298.311990686845,,,,,,,,
2021-02-27,36006,Cambados,13744,40,,,291.036088474971,,,,,,,,
2021-02-28,36006,Cambados,13744,41,,,298.311990686845,,,,,,,,
2021-03-01,36006,Cambados,13744,35,,,254.6565774156,,,,,,,,
2021-03-02,36006,Cambados,13744,33,,,240.104772991851,,,25,,,181.897555296857,,
2021-03-03,36006,Cambados,13744,33,,,240.104772991851,,,21,,,152.79394644936,,
2021-03-04,36006,Cambados,13744,36,,,261.932479627474,,,20,,,145.518044237485,,
2021-03-05,36006,Cambados,13744,35,,,254.6565774156,,,17,,,123.690337601863,,
2021-03-06,36006,Cambados,13744,33,,,240.104772991851,,,13,,,94.5867287543655,,
2021-03-07,36006,Cambados,13744,30,,,218.277066356228,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-08,36006,Cambados,13744,28,,,203.72526193248,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-09,36006,Cambados,13744,29,,,211.001164144354,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-10,36006,Cambados,13744,27,,,196.449359720605,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-11,36006,Cambados,13744,23,,,167.345750873108,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-12,36006,Cambados,13744,20,,,145.518044237485,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-13,36006,Cambados,13744,16,,,116.414435389988,,,,1,9,,7.27590221187427,65.4831199068685
2021-03-14,36006,Cambados,13744,,1,9,,7.27590221187427,65.4831199068685,,1,9,,7.27590221187427,65.4831199068685
