fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cambre,24648,70,
2020-11-22,Cambre,24648,69,
2020-11-23,Cambre,24648,64,
2020-11-24,Cambre,24648,64,
2020-11-25,Cambre,24648,63,
2020-11-26,Cambre,24648,62,
2020-11-27,Cambre,24648,61,
2020-11-28,Cambre,24648,62,
2020-11-29,Cambre,24648,58,
2020-11-30,Cambre,24648,49,
2020-12-01,Cambre,24648,47,
2020-12-02,Cambre,24648,47,
2020-12-03,Cambre,24648,40,
2020-12-04,Cambre,24648,32,
2020-12-05,Cambre,24648,33,
2020-12-06,Cambre,24648,31,
2020-12-07,Cambre,24648,30,
2020-12-08,Cambre,24648,30,
2020-12-09,Cambre,24648,32,
2020-12-10,Cambre,24648,27,
2020-12-11,Cambre,24648,30,
2020-12-12,Cambre,24648,28,
2020-12-13,Cambre,24648,30,
2020-12-14,Cambre,24648,30,
2020-12-15,Cambre,24648,29,
2020-12-16,Cambre,24648,27,
2020-12-17,Cambre,24648,29,
2020-12-18,Cambre,24648,33,
2020-12-19,Cambre,24648,34,
2020-12-20,Cambre,24648,38,
2020-12-21,Cambre,24648,36,
2020-12-22,Cambre,24648,34,
2020-12-23,Cambre,24648,32,
2020-12-24,Cambre,24648,33,
2020-12-25,Cambre,24648,30,
2020-12-26,Cambre,24648,30,
2020-12-27,Cambre,24648,28,
2020-12-28,Cambre,24648,27,
2020-12-29,Cambre,24648,28,
2020-12-30,Cambre,24648,29,
2020-12-31,Cambre,24648,30,
2021-01-01,Cambre,24648,25,
2021-01-02,Cambre,24648,26,
2021-01-03,Cambre,24648,25,
2021-01-04,Cambre,24648,28,
2021-01-05,Cambre,24648,34,
2021-01-06,Cambre,24648,37,
2021-01-07,Cambre,24648,39,
2021-01-08,Cambre,24648,42,
2021-01-09,Cambre,24648,47,
2021-01-10,Cambre,24648,56,
2021-01-11,Cambre,24648,61,
2021-01-12,Cambre,24648,65,
2021-01-13,Cambre,24648,74,
2021-01-14,Cambre,24648,91,
2021-01-15,Cambre,24648,109,
2021-01-16,Cambre,24648,120,
2021-01-17,Cambre,24648,139,
2021-01-18,Cambre,24648,142,
2021-01-19,Cambre,24648,155,
2021-01-20,Cambre,24648,174,
2021-01-21,Cambre,24648,192,
2021-01-22,Cambre,24648,206,
2021-01-23,Cambre,24648,234,
2021-01-24,Cambre,24648,251,
2021-01-25,Cambre,24648,265,
2021-01-26,Cambre,24648,274,
2021-01-27,Cambre,24648,280,
2021-01-28,Cambre,24648,277,
2021-01-29,Cambre,24648,276,
2021-01-30,Cambre,24648,274,
2021-01-31,Cambre,24648,262,
2021-02-01,Cambre,24648,270,
2021-02-02,Cambre,24648,271,
2021-02-03,Cambre,24648,261,
2021-02-04,Cambre,24648,250,
2021-02-05,Cambre,24648,247,
2021-02-06,Cambre,24648,226,
2021-02-07,Cambre,24648,211,
2021-02-08,Cambre,24648,194,
2021-02-09,Cambre,24648,193,
2021-02-10,Cambre,24648,187,
2021-02-11,Cambre,24648,179,
2021-02-12,Cambre,24648,177,
2021-02-13,Cambre,24648,171,
2021-02-14,Cambre,24648,164,
2021-02-15,Cambre,24648,151,
2021-02-16,Cambre,24648,135,
2021-02-17,Cambre,24648,124,
2021-02-18,Cambre,24648,116,
2021-02-19,Cambre,24648,101,
2021-02-20,Cambre,24648,93,
2021-02-21,Cambre,24648,83,
2021-02-22,Cambre,24648,80,
2021-02-23,Cambre,24648,68,
2021-02-24,Cambre,24648,57,
2021-02-25,Cambre,24648,49,
2021-02-26,Cambre,24648,34,
2021-02-27,Cambre,24648,26,
2021-02-28,Cambre,24648,26,
2021-03-01,Cambre,24648,24,
2021-03-02,Cambre,24648,25,11
2021-03-03,Cambre,24648,24,12
2021-03-04,Cambre,24648,24,14
2021-03-05,Cambre,24648,25,15
2021-03-06,Cambre,24648,23,15
2021-03-07,Cambre,24648,21,12
2021-03-08,Cambre,24648,20,11
2021-03-09,Cambre,24648,21,10
2021-03-10,Cambre,24648,24,12
2021-03-11,Cambre,24648,23,
2021-03-12,Cambre,24648,23,
2021-03-13,Cambre,24648,26,11
2021-03-14,Cambre,24648,25,13
2021-03-15,Cambre,24648,27,16
2021-03-16,Cambre,24648,26,16
2021-03-17,Cambre,24648,26,14
2021-03-18,Cambre,24648,23,14
2021-03-19,Cambre,24648,29,21
2021-03-20,Cambre,24648,31,20
2021-03-21,Cambre,24648,32,19
2021-03-22,Cambre,24648,32,16
2021-03-23,Cambre,24648,31,15
2021-03-24,Cambre,24648,28,14
2021-03-25,Cambre,24648,34,20
2021-03-26,Cambre,24648,34,13
2021-03-27,Cambre,24648,32,14
2021-03-28,Cambre,24648,33,15
2021-03-29,Cambre,24648,34,19
2021-03-30,Cambre,24648,35,21
