fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Campo Lameiro",1817,,
2020-11-22,"Campo Lameiro",1817,,
2020-11-23,"Campo Lameiro",1817,,
2020-11-24,"Campo Lameiro",1817,,
2020-11-25,"Campo Lameiro",1817,,
2020-11-26,"Campo Lameiro",1817,,
2020-11-27,"Campo Lameiro",1817,,
2020-11-28,"Campo Lameiro",1817,,
2020-11-29,"Campo Lameiro",1817,,
2020-11-30,"Campo Lameiro",1817,,
2020-12-01,"Campo Lameiro",1817,,
2020-12-02,"Campo Lameiro",1817,0,
2020-12-03,"Campo Lameiro",1817,0,
2020-12-04,"Campo Lameiro",1817,0,
2020-12-05,"Campo Lameiro",1817,0,
2020-12-06,"Campo Lameiro",1817,0,
2020-12-07,"Campo Lameiro",1817,0,
2020-12-08,"Campo Lameiro",1817,0,
2020-12-09,"Campo Lameiro",1817,0,
2020-12-10,"Campo Lameiro",1817,0,
2020-12-11,"Campo Lameiro",1817,0,
2020-12-12,"Campo Lameiro",1817,0,
2020-12-13,"Campo Lameiro",1817,0,
2020-12-14,"Campo Lameiro",1817,0,
2020-12-15,"Campo Lameiro",1817,0,
2020-12-16,"Campo Lameiro",1817,0,
2020-12-17,"Campo Lameiro",1817,0,
2020-12-18,"Campo Lameiro",1817,0,
2020-12-19,"Campo Lameiro",1817,0,
2020-12-20,"Campo Lameiro",1817,0,
2020-12-21,"Campo Lameiro",1817,0,
2020-12-22,"Campo Lameiro",1817,0,
2020-12-23,"Campo Lameiro",1817,0,
2020-12-24,"Campo Lameiro",1817,0,
2020-12-25,"Campo Lameiro",1817,0,
2020-12-26,"Campo Lameiro",1817,0,
2020-12-27,"Campo Lameiro",1817,0,
2020-12-28,"Campo Lameiro",1817,0,
2020-12-29,"Campo Lameiro",1817,0,
2020-12-30,"Campo Lameiro",1817,0,
2020-12-31,"Campo Lameiro",1817,0,
2021-01-01,"Campo Lameiro",1817,,
2021-01-02,"Campo Lameiro",1817,,
2021-01-03,"Campo Lameiro",1817,,
2021-01-04,"Campo Lameiro",1817,,
2021-01-05,"Campo Lameiro",1817,,
2021-01-06,"Campo Lameiro",1817,,
2021-01-07,"Campo Lameiro",1817,,
2021-01-08,"Campo Lameiro",1817,,
2021-01-09,"Campo Lameiro",1817,,
2021-01-10,"Campo Lameiro",1817,,
2021-01-11,"Campo Lameiro",1817,,
2021-01-12,"Campo Lameiro",1817,,
2021-01-13,"Campo Lameiro",1817,,
2021-01-14,"Campo Lameiro",1817,,
2021-01-15,"Campo Lameiro",1817,,
2021-01-16,"Campo Lameiro",1817,,
2021-01-17,"Campo Lameiro",1817,,
2021-01-18,"Campo Lameiro",1817,0,
2021-01-19,"Campo Lameiro",1817,,
2021-01-20,"Campo Lameiro",1817,,
2021-01-21,"Campo Lameiro",1817,,
2021-01-22,"Campo Lameiro",1817,,
2021-01-23,"Campo Lameiro",1817,,
2021-01-24,"Campo Lameiro",1817,,
2021-01-25,"Campo Lameiro",1817,,
2021-01-26,"Campo Lameiro",1817,,
2021-01-27,"Campo Lameiro",1817,,
2021-01-28,"Campo Lameiro",1817,,
2021-01-29,"Campo Lameiro",1817,,
2021-01-30,"Campo Lameiro",1817,,
2021-01-31,"Campo Lameiro",1817,,
2021-02-01,"Campo Lameiro",1817,10,
2021-02-02,"Campo Lameiro",1817,,
2021-02-03,"Campo Lameiro",1817,11,
2021-02-04,"Campo Lameiro",1817,11,
2021-02-05,"Campo Lameiro",1817,11,
2021-02-06,"Campo Lameiro",1817,11,
2021-02-07,"Campo Lameiro",1817,,
2021-02-08,"Campo Lameiro",1817,,
2021-02-09,"Campo Lameiro",1817,,
2021-02-10,"Campo Lameiro",1817,,
2021-02-11,"Campo Lameiro",1817,,
2021-02-12,"Campo Lameiro",1817,,
2021-02-13,"Campo Lameiro",1817,,
2021-02-14,"Campo Lameiro",1817,,
2021-02-15,"Campo Lameiro",1817,,
2021-02-16,"Campo Lameiro",1817,,
2021-02-17,"Campo Lameiro",1817,,
2021-02-18,"Campo Lameiro",1817,,
2021-02-19,"Campo Lameiro",1817,,
2021-02-20,"Campo Lameiro",1817,,
2021-02-21,"Campo Lameiro",1817,,
2021-02-22,"Campo Lameiro",1817,,
2021-02-23,"Campo Lameiro",1817,,
2021-02-24,"Campo Lameiro",1817,,
2021-02-25,"Campo Lameiro",1817,,
2021-02-26,"Campo Lameiro",1817,,
2021-02-27,"Campo Lameiro",1817,,
2021-02-28,"Campo Lameiro",1817,,
2021-03-01,"Campo Lameiro",1817,,
2021-03-02,"Campo Lameiro",1817,,0
2021-03-03,"Campo Lameiro",1817,,0
2021-03-04,"Campo Lameiro",1817,,0
2021-03-05,"Campo Lameiro",1817,,0
2021-03-06,"Campo Lameiro",1817,0,0
2021-03-07,"Campo Lameiro",1817,0,0
2021-03-08,"Campo Lameiro",1817,0,0
2021-03-09,"Campo Lameiro",1817,0,0
2021-03-10,"Campo Lameiro",1817,0,0
2021-03-11,"Campo Lameiro",1817,0,0
2021-03-12,"Campo Lameiro",1817,0,0
2021-03-13,"Campo Lameiro",1817,,
2021-03-14,"Campo Lameiro",1817,,
2021-03-15,"Campo Lameiro",1817,,
2021-03-16,"Campo Lameiro",1817,,
2021-03-17,"Campo Lameiro",1817,,
2021-03-18,"Campo Lameiro",1817,,
2021-03-19,"Campo Lameiro",1817,,
2021-03-20,"Campo Lameiro",1817,,
2021-03-21,"Campo Lameiro",1817,,
2021-03-22,"Campo Lameiro",1817,,
2021-03-23,"Campo Lameiro",1817,,
2021-03-24,"Campo Lameiro",1817,,
2021-03-25,"Campo Lameiro",1817,,
2021-03-26,"Campo Lameiro",1817,,
2021-03-27,"Campo Lameiro",1817,,0
2021-03-28,"Campo Lameiro",1817,,0
2021-03-29,"Campo Lameiro",1817,,0
2021-03-30,"Campo Lameiro",1817,,0
2021-03-31,"Campo Lameiro",1817,,0
2021-04-01,"Campo Lameiro",1817,,0
2021-04-02,"Campo Lameiro",1817,,0
2021-04-03,"Campo Lameiro",1817,0,0
2021-04-04,"Campo Lameiro",1817,0,0
2021-04-05,"Campo Lameiro",1817,0,0
2021-04-06,"Campo Lameiro",1817,0,0
2021-04-07,"Campo Lameiro",1817,0,0
2021-04-08,"Campo Lameiro",1817,0,0
2021-04-09,"Campo Lameiro",1817,0,0
2021-04-10,"Campo Lameiro",1817,0,0
2021-04-11,"Campo Lameiro",1817,0,0
2021-04-12,"Campo Lameiro",1817,,
2021-04-13,"Campo Lameiro",1817,,
2021-04-14,"Campo Lameiro",1817,,
2021-04-15,"Campo Lameiro",1817,,
2021-04-16,"Campo Lameiro",1817,,
2021-04-17,"Campo Lameiro",1817,,
2021-04-18,"Campo Lameiro",1817,,
2021-04-19,"Campo Lameiro",1817,,0
2021-04-20,"Campo Lameiro",1817,,0
2021-04-21,"Campo Lameiro",1817,,0
2021-04-22,"Campo Lameiro",1817,,0
2021-04-23,"Campo Lameiro",1817,,0
2021-04-24,"Campo Lameiro",1817,,0
2021-04-25,"Campo Lameiro",1817,,0
2021-04-26,"Campo Lameiro",1817,0,0
2021-04-27,"Campo Lameiro",1817,0,0
2021-04-28,"Campo Lameiro",1817,0,0
2021-04-29,"Campo Lameiro",1817,0,0
2021-04-30,"Campo Lameiro",1817,0,0
2021-05-01,"Campo Lameiro",1817,0,0
2021-05-02,"Campo Lameiro",1817,0,0
2021-05-03,"Campo Lameiro",1817,0,0
2021-05-04,"Campo Lameiro",1817,,
2021-05-05,"Campo Lameiro",1817,,
2021-05-06,"Campo Lameiro",1817,,
2021-05-07,"Campo Lameiro",1817,,
2021-05-08,"Campo Lameiro",1817,,
2021-05-09,"Campo Lameiro",1817,,
2021-05-10,"Campo Lameiro",1817,,
2021-05-11,"Campo Lameiro",1817,,
2021-05-12,"Campo Lameiro",1817,,
2021-05-13,"Campo Lameiro",1817,,
2021-05-14,"Campo Lameiro",1817,,
2021-05-15,"Campo Lameiro",1817,,
2021-05-16,"Campo Lameiro",1817,,
2021-05-17,"Campo Lameiro",1817,,
2021-05-18,"Campo Lameiro",1817,,0
2021-05-19,"Campo Lameiro",1817,,0
2021-05-20,"Campo Lameiro",1817,,0
2021-05-21,"Campo Lameiro",1817,,0
2021-05-22,"Campo Lameiro",1817,,0
2021-05-23,"Campo Lameiro",1817,,0
2021-05-24,"Campo Lameiro",1817,,0
2021-05-25,"Campo Lameiro",1817,0,0
2021-05-26,"Campo Lameiro",1817,0,0
2021-05-27,"Campo Lameiro",1817,0,0
2021-05-28,"Campo Lameiro",1817,0,0
2021-05-29,"Campo Lameiro",1817,0,0
2021-05-30,"Campo Lameiro",1817,0,0
2021-05-31,"Campo Lameiro",1817,0,0
2021-06-01,"Campo Lameiro",1817,0,0
2021-06-02,"Campo Lameiro",1817,0,0
2021-06-03,"Campo Lameiro",1817,0,0
2021-06-04,"Campo Lameiro",1817,0,0
2021-06-05,"Campo Lameiro",1817,0,0
2021-06-06,"Campo Lameiro",1817,0,0
2021-06-07,"Campo Lameiro",1817,0,0
2021-06-08,"Campo Lameiro",1817,0,0
2021-06-09,"Campo Lameiro",1817,0,0
2021-06-10,"Campo Lameiro",1817,0,0
2021-06-11,"Campo Lameiro",1817,0,0
2021-06-12,"Campo Lameiro",1817,0,0
2021-06-13,"Campo Lameiro",1817,0,0
2021-06-14,"Campo Lameiro",1817,0,0
2021-06-15,"Campo Lameiro",1817,0,0
2021-06-16,"Campo Lameiro",1817,0,0
2021-06-17,"Campo Lameiro",1817,0,0
2021-06-18,"Campo Lameiro",1817,0,0
2021-06-19,"Campo Lameiro",1817,0,0
2021-06-20,"Campo Lameiro",1817,0,0
2021-06-21,"Campo Lameiro",1817,0,0
2021-06-22,"Campo Lameiro",1817,0,0
2021-06-23,"Campo Lameiro",1817,0,0
2021-06-24,"Campo Lameiro",1817,0,0
2021-06-25,"Campo Lameiro",1817,0,0
2021-06-26,"Campo Lameiro",1817,0,0
2021-06-27,"Campo Lameiro",1817,0,0
2021-06-28,"Campo Lameiro",1817,0,0
2021-06-29,"Campo Lameiro",1817,0,0
2021-06-30,"Campo Lameiro",1817,0,0
2021-07-01,"Campo Lameiro",1817,0,0
2021-07-02,"Campo Lameiro",1817,0,0
2021-07-03,"Campo Lameiro",1817,,
2021-07-04,"Campo Lameiro",1817,,
2021-07-05,"Campo Lameiro",1817,,
2021-07-06,"Campo Lameiro",1817,,
2021-07-07,"Campo Lameiro",1817,,
2021-07-08,"Campo Lameiro",1817,,
2021-07-09,"Campo Lameiro",1817,,
2021-07-10,"Campo Lameiro",1817,,
2021-07-11,"Campo Lameiro",1817,,
2021-07-12,"Campo Lameiro",1817,,
2021-07-13,"Campo Lameiro",1817,,
2021-07-14,"Campo Lameiro",1817,,
2021-07-15,"Campo Lameiro",1817,,
2021-07-16,"Campo Lameiro",1817,,
2021-07-17,"Campo Lameiro",1817,,
2021-07-18,"Campo Lameiro",1817,,
2021-07-19,"Campo Lameiro",1817,,0
2021-07-20,"Campo Lameiro",1817,,0
2021-07-21,"Campo Lameiro",1817,,
2021-07-22,"Campo Lameiro",1817,,
2021-07-23,"Campo Lameiro",1817,,
2021-07-24,"Campo Lameiro",1817,,
2021-07-25,"Campo Lameiro",1817,,
2021-07-26,"Campo Lameiro",1817,,
2021-07-27,"Campo Lameiro",1817,,
2021-07-28,"Campo Lameiro",1817,,
2021-07-29,"Campo Lameiro",1817,,
2021-07-30,"Campo Lameiro",1817,,
2021-07-31,"Campo Lameiro",1817,,
2021-08-01,"Campo Lameiro",1817,,
2021-08-02,"Campo Lameiro",1817,,
2021-08-03,"Campo Lameiro",1817,,
2021-08-04,"Campo Lameiro",1817,,
2021-08-05,"Campo Lameiro",1817,,
2021-08-06,"Campo Lameiro",1817,,
