fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cangas,26542,34,
2020-11-22,Cangas,26542,36,
2020-11-23,Cangas,26542,34,
2020-11-24,Cangas,26542,39,
2020-11-25,Cangas,26542,39,
2020-11-26,Cangas,26542,40,
2020-11-27,Cangas,26542,43,
2020-11-28,Cangas,26542,44,
2020-11-29,Cangas,26542,46,
2020-11-30,Cangas,26542,46,
2020-12-01,Cangas,26542,44,
2020-12-02,Cangas,26542,54,
2020-12-03,Cangas,26542,53,
2020-12-04,Cangas,26542,51,
2020-12-05,Cangas,26542,48,
2020-12-06,Cangas,26542,56,
2020-12-07,Cangas,26542,59,
2020-12-08,Cangas,26542,59,
2020-12-09,Cangas,26542,61,
2020-12-10,Cangas,26542,56,
2020-12-11,Cangas,26542,58,
2020-12-12,Cangas,26542,58,
2020-12-13,Cangas,26542,58,
2020-12-14,Cangas,26542,60,
2020-12-15,Cangas,26542,60,
2020-12-16,Cangas,26542,55,
2020-12-17,Cangas,26542,56,
2020-12-18,Cangas,26542,58,
2020-12-19,Cangas,26542,60,
2020-12-20,Cangas,26542,61,
2020-12-21,Cangas,26542,63,
2020-12-22,Cangas,26542,69,
2020-12-23,Cangas,26542,65,
2020-12-24,Cangas,26542,71,
2020-12-25,Cangas,26542,67,
2020-12-26,Cangas,26542,70,
2020-12-27,Cangas,26542,67,
2020-12-28,Cangas,26542,65,
2020-12-29,Cangas,26542,67,
2020-12-30,Cangas,26542,66,
2020-12-31,Cangas,26542,64,
2021-01-01,Cangas,26542,62,
2021-01-02,Cangas,26542,59,
2021-01-03,Cangas,26542,58,
2021-01-04,Cangas,26542,53,
2021-01-05,Cangas,26542,43,
2021-01-06,Cangas,26542,44,
2021-01-07,Cangas,26542,44,
2021-01-08,Cangas,26542,43,
2021-01-09,Cangas,26542,50,
2021-01-10,Cangas,26542,53,
2021-01-11,Cangas,26542,52,
2021-01-12,Cangas,26542,52,
2021-01-13,Cangas,26542,48,
2021-01-14,Cangas,26542,52,
2021-01-15,Cangas,26542,54,
2021-01-16,Cangas,26542,55,
2021-01-17,Cangas,26542,53,
2021-01-18,Cangas,26542,55,
2021-01-19,Cangas,26542,63,
2021-01-20,Cangas,26542,64,
2021-01-21,Cangas,26542,64,
2021-01-22,Cangas,26542,71,
2021-01-23,Cangas,26542,65,
2021-01-24,Cangas,26542,68,
2021-01-25,Cangas,26542,75,
2021-01-26,Cangas,26542,83,
2021-01-27,Cangas,26542,91,
2021-01-28,Cangas,26542,93,
2021-01-29,Cangas,26542,92,
2021-01-30,Cangas,26542,105,
2021-01-31,Cangas,26542,111,
2021-02-01,Cangas,26542,114,
2021-02-02,Cangas,26542,110,
