fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Carballeda de Avia",1286,,
2020-11-22,"Carballeda de Avia",1286,,
2020-11-23,"Carballeda de Avia",1286,,
2020-11-24,"Carballeda de Avia",1286,,
2020-11-25,"Carballeda de Avia",1286,,
2020-11-26,"Carballeda de Avia",1286,,
2020-11-27,"Carballeda de Avia",1286,,
2020-11-28,"Carballeda de Avia",1286,,
2020-11-29,"Carballeda de Avia",1286,,
2020-11-30,"Carballeda de Avia",1286,0,
2020-12-01,"Carballeda de Avia",1286,0,
2020-12-02,"Carballeda de Avia",1286,0,
2020-12-03,"Carballeda de Avia",1286,0,
2020-12-04,"Carballeda de Avia",1286,0,
2020-12-05,"Carballeda de Avia",1286,0,
2020-12-06,"Carballeda de Avia",1286,,
2020-12-07,"Carballeda de Avia",1286,,
2020-12-08,"Carballeda de Avia",1286,,
2020-12-09,"Carballeda de Avia",1286,,
2020-12-10,"Carballeda de Avia",1286,,
2020-12-11,"Carballeda de Avia",1286,,
2020-12-12,"Carballeda de Avia",1286,,
2020-12-13,"Carballeda de Avia",1286,,
2020-12-14,"Carballeda de Avia",1286,,
2020-12-15,"Carballeda de Avia",1286,,
2020-12-16,"Carballeda de Avia",1286,,
2020-12-17,"Carballeda de Avia",1286,,
2020-12-18,"Carballeda de Avia",1286,,
2020-12-19,"Carballeda de Avia",1286,,
2020-12-20,"Carballeda de Avia",1286,0,
2020-12-21,"Carballeda de Avia",1286,0,
2020-12-22,"Carballeda de Avia",1286,0,
2020-12-23,"Carballeda de Avia",1286,0,
2020-12-24,"Carballeda de Avia",1286,0,
2020-12-25,"Carballeda de Avia",1286,0,
2020-12-26,"Carballeda de Avia",1286,0,
2020-12-27,"Carballeda de Avia",1286,0,
2020-12-28,"Carballeda de Avia",1286,0,
2020-12-29,"Carballeda de Avia",1286,0,
2020-12-30,"Carballeda de Avia",1286,0,
2020-12-31,"Carballeda de Avia",1286,0,
2021-01-01,"Carballeda de Avia",1286,0,
2021-01-02,"Carballeda de Avia",1286,0,
2021-01-03,"Carballeda de Avia",1286,0,
2021-01-04,"Carballeda de Avia",1286,,
2021-01-05,"Carballeda de Avia",1286,,
2021-01-06,"Carballeda de Avia",1286,,
2021-01-07,"Carballeda de Avia",1286,,
2021-01-08,"Carballeda de Avia",1286,,
2021-01-09,"Carballeda de Avia",1286,,
2021-01-10,"Carballeda de Avia",1286,,
2021-01-11,"Carballeda de Avia",1286,,
2021-01-12,"Carballeda de Avia",1286,,
2021-01-13,"Carballeda de Avia",1286,,
2021-01-14,"Carballeda de Avia",1286,,
2021-01-15,"Carballeda de Avia",1286,,
2021-01-16,"Carballeda de Avia",1286,,
2021-01-17,"Carballeda de Avia",1286,,
2021-01-18,"Carballeda de Avia",1286,,
2021-01-19,"Carballeda de Avia",1286,,
2021-01-20,"Carballeda de Avia",1286,,
2021-01-21,"Carballeda de Avia",1286,,
2021-01-22,"Carballeda de Avia",1286,,
2021-01-23,"Carballeda de Avia",1286,,
2021-01-24,"Carballeda de Avia",1286,,
2021-01-25,"Carballeda de Avia",1286,,
2021-01-26,"Carballeda de Avia",1286,,
2021-01-27,"Carballeda de Avia",1286,,
2021-01-28,"Carballeda de Avia",1286,,
2021-01-29,"Carballeda de Avia",1286,,
2021-01-30,"Carballeda de Avia",1286,,
2021-01-31,"Carballeda de Avia",1286,,
2021-02-01,"Carballeda de Avia",1286,,
2021-02-02,"Carballeda de Avia",1286,,
2021-02-03,"Carballeda de Avia",1286,,
2021-02-04,"Carballeda de Avia",1286,,
2021-02-05,"Carballeda de Avia",1286,,
2021-02-06,"Carballeda de Avia",1286,,
2021-02-07,"Carballeda de Avia",1286,,
2021-02-08,"Carballeda de Avia",1286,,
2021-02-09,"Carballeda de Avia",1286,,
2021-02-10,"Carballeda de Avia",1286,,
2021-02-11,"Carballeda de Avia",1286,,
2021-02-12,"Carballeda de Avia",1286,,
2021-02-13,"Carballeda de Avia",1286,,
2021-02-14,"Carballeda de Avia",1286,,
2021-02-15,"Carballeda de Avia",1286,,
2021-02-16,"Carballeda de Avia",1286,,
2021-02-17,"Carballeda de Avia",1286,,
2021-02-18,"Carballeda de Avia",1286,,
2021-02-19,"Carballeda de Avia",1286,,
2021-02-20,"Carballeda de Avia",1286,,
2021-02-21,"Carballeda de Avia",1286,,
2021-02-22,"Carballeda de Avia",1286,,
2021-02-23,"Carballeda de Avia",1286,,
2021-02-24,"Carballeda de Avia",1286,0,
2021-02-25,"Carballeda de Avia",1286,0,
2021-02-26,"Carballeda de Avia",1286,0,
2021-02-27,"Carballeda de Avia",1286,0,
2021-02-28,"Carballeda de Avia",1286,0,
2021-03-01,"Carballeda de Avia",1286,0,
2021-03-02,"Carballeda de Avia",1286,0,0
2021-03-03,"Carballeda de Avia",1286,0,0
2021-03-04,"Carballeda de Avia",1286,0,0
2021-03-05,"Carballeda de Avia",1286,0,0
2021-03-06,"Carballeda de Avia",1286,,
2021-03-07,"Carballeda de Avia",1286,,
2021-03-08,"Carballeda de Avia",1286,,
2021-03-09,"Carballeda de Avia",1286,,
2021-03-10,"Carballeda de Avia",1286,,
2021-03-11,"Carballeda de Avia",1286,,
2021-03-12,"Carballeda de Avia",1286,,
