fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Carballedo,2193,11,
2020-11-22,Carballedo,2193,,
2020-11-23,Carballedo,2193,11,
2020-11-24,Carballedo,2193,,
2020-11-25,Carballedo,2193,,
2020-11-26,Carballedo,2193,,
2020-11-27,Carballedo,2193,,
2020-11-28,Carballedo,2193,,
2020-11-29,Carballedo,2193,,
2020-11-30,Carballedo,2193,,
2020-12-01,Carballedo,2193,,
2020-12-02,Carballedo,2193,,
2020-12-03,Carballedo,2193,,
2020-12-04,Carballedo,2193,,
2020-12-05,Carballedo,2193,,
2020-12-06,Carballedo,2193,,
2020-12-07,Carballedo,2193,,
2020-12-08,Carballedo,2193,,
2020-12-09,Carballedo,2193,,
2020-12-10,Carballedo,2193,,
2020-12-11,Carballedo,2193,,
2020-12-12,Carballedo,2193,,
2020-12-13,Carballedo,2193,,
2020-12-14,Carballedo,2193,,
2020-12-15,Carballedo,2193,,
2020-12-16,Carballedo,2193,,
2020-12-17,Carballedo,2193,,
2020-12-18,Carballedo,2193,,
2020-12-19,Carballedo,2193,,
2020-12-20,Carballedo,2193,,
2020-12-21,Carballedo,2193,,
2020-12-22,Carballedo,2193,,
2020-12-23,Carballedo,2193,,
2020-12-24,Carballedo,2193,,
2020-12-25,Carballedo,2193,,
2020-12-26,Carballedo,2193,,
2020-12-27,Carballedo,2193,,
2020-12-28,Carballedo,2193,,
2020-12-29,Carballedo,2193,,
2020-12-30,Carballedo,2193,,
2020-12-31,Carballedo,2193,,
2021-01-01,Carballedo,2193,,
2021-01-02,Carballedo,2193,,
2021-01-03,Carballedo,2193,,
2021-01-04,Carballedo,2193,,
2021-01-05,Carballedo,2193,,
2021-01-06,Carballedo,2193,,
2021-01-07,Carballedo,2193,,
2021-01-08,Carballedo,2193,,
2021-01-09,Carballedo,2193,,
2021-01-10,Carballedo,2193,,
2021-01-11,Carballedo,2193,,
2021-01-12,Carballedo,2193,,
2021-01-13,Carballedo,2193,,
2021-01-14,Carballedo,2193,,
2021-01-15,Carballedo,2193,,
2021-01-16,Carballedo,2193,,
2021-01-17,Carballedo,2193,0,
2021-01-18,Carballedo,2193,0,
2021-01-19,Carballedo,2193,0,
2021-01-20,Carballedo,2193,0,
2021-01-21,Carballedo,2193,0,
2021-01-22,Carballedo,2193,0,
2021-01-23,Carballedo,2193,0,
2021-01-24,Carballedo,2193,0,
2021-01-25,Carballedo,2193,0,
2021-01-26,Carballedo,2193,0,
2021-01-27,Carballedo,2193,0,
2021-01-28,Carballedo,2193,0,
2021-01-29,Carballedo,2193,,
2021-01-30,Carballedo,2193,,
2021-01-31,Carballedo,2193,,
2021-02-01,Carballedo,2193,,
2021-02-02,Carballedo,2193,,
2021-02-03,Carballedo,2193,,
2021-02-04,Carballedo,2193,,
2021-02-05,Carballedo,2193,,
2021-02-06,Carballedo,2193,,
2021-02-07,Carballedo,2193,,
2021-02-08,Carballedo,2193,,
2021-02-09,Carballedo,2193,,
2021-02-10,Carballedo,2193,,
2021-02-11,Carballedo,2193,,
2021-02-12,Carballedo,2193,,
2021-02-13,Carballedo,2193,,
2021-02-14,Carballedo,2193,,
2021-02-15,Carballedo,2193,,
2021-02-16,Carballedo,2193,,
2021-02-17,Carballedo,2193,,
2021-02-18,Carballedo,2193,,
2021-02-19,Carballedo,2193,,
2021-02-20,Carballedo,2193,,
2021-02-21,Carballedo,2193,,
2021-02-22,Carballedo,2193,,
2021-02-23,Carballedo,2193,,
2021-02-24,Carballedo,2193,,
2021-02-25,Carballedo,2193,,
2021-02-26,Carballedo,2193,0,
2021-02-27,Carballedo,2193,0,
2021-02-28,Carballedo,2193,0,
2021-03-01,Carballedo,2193,0,
2021-03-02,Carballedo,2193,0,0
2021-03-03,Carballedo,2193,0,0
2021-03-04,Carballedo,2193,0,0
2021-03-05,Carballedo,2193,0,0
2021-03-06,Carballedo,2193,0,0
2021-03-07,Carballedo,2193,0,0
2021-03-08,Carballedo,2193,0,0
2021-03-09,Carballedo,2193,0,0
2021-03-10,Carballedo,2193,0,0
2021-03-11,Carballedo,2193,0,0
2021-03-12,Carballedo,2193,0,0
2021-03-13,Carballedo,2193,0,0
2021-03-14,Carballedo,2193,0,0
2021-03-15,Carballedo,2193,0,0
2021-03-16,Carballedo,2193,0,0
2021-03-17,Carballedo,2193,0,0
2021-03-18,Carballedo,2193,0,0
2021-03-19,Carballedo,2193,0,0
2021-03-20,Carballedo,2193,0,0
2021-03-21,Carballedo,2193,0,0
2021-03-22,Carballedo,2193,0,0
2021-03-23,Carballedo,2193,0,0
2021-03-24,Carballedo,2193,0,0
2021-03-25,Carballedo,2193,0,0
2021-03-26,Carballedo,2193,0,0
2021-03-27,Carballedo,2193,0,0
2021-03-28,Carballedo,2193,0,0
2021-03-29,Carballedo,2193,0,0
2021-03-30,Carballedo,2193,0,0
2021-03-31,Carballedo,2193,0,0
2021-04-01,Carballedo,2193,0,0
2021-04-02,Carballedo,2193,0,0
2021-04-03,Carballedo,2193,0,0
2021-04-04,Carballedo,2193,0,0
2021-04-05,Carballedo,2193,0,0
2021-04-06,Carballedo,2193,0,0
2021-04-07,Carballedo,2193,0,0
2021-04-08,Carballedo,2193,0,0
2021-04-09,Carballedo,2193,0,0
2021-04-10,Carballedo,2193,0,0
2021-04-11,Carballedo,2193,0,0
2021-04-12,Carballedo,2193,0,0
2021-04-13,Carballedo,2193,0,0
2021-04-14,Carballedo,2193,0,0
2021-04-15,Carballedo,2193,0,0
2021-04-16,Carballedo,2193,,
2021-04-17,Carballedo,2193,,
2021-04-18,Carballedo,2193,,
2021-04-19,Carballedo,2193,,
2021-04-20,Carballedo,2193,,
2021-04-21,Carballedo,2193,,
2021-04-22,Carballedo,2193,,
2021-04-23,Carballedo,2193,,0
2021-04-24,Carballedo,2193,,0
2021-04-25,Carballedo,2193,,0
2021-04-26,Carballedo,2193,,0
2021-04-27,Carballedo,2193,,0
2021-04-28,Carballedo,2193,,0
2021-04-29,Carballedo,2193,,
2021-04-30,Carballedo,2193,,
2021-05-01,Carballedo,2193,,
2021-05-02,Carballedo,2193,,
2021-05-03,Carballedo,2193,,
2021-05-04,Carballedo,2193,,
2021-05-05,Carballedo,2193,,
2021-05-06,Carballedo,2193,,
2021-05-07,Carballedo,2193,,
2021-05-08,Carballedo,2193,,
2021-05-09,Carballedo,2193,,
2021-05-10,Carballedo,2193,,
2021-05-11,Carballedo,2193,,
2021-05-12,Carballedo,2193,,
2021-05-13,Carballedo,2193,,
2021-05-14,Carballedo,2193,,
2021-05-15,Carballedo,2193,,
2021-05-16,Carballedo,2193,,
2021-05-17,Carballedo,2193,,
2021-05-18,Carballedo,2193,,
2021-05-19,Carballedo,2193,,0
2021-05-20,Carballedo,2193,,0
2021-05-21,Carballedo,2193,,0
2021-05-22,Carballedo,2193,,0
2021-05-23,Carballedo,2193,,0
2021-05-24,Carballedo,2193,,0
2021-05-25,Carballedo,2193,,0
2021-05-26,Carballedo,2193,0,0
2021-05-27,Carballedo,2193,0,0
2021-05-28,Carballedo,2193,0,0
2021-05-29,Carballedo,2193,0,0
2021-05-30,Carballedo,2193,0,0
2021-05-31,Carballedo,2193,0,0
2021-06-01,Carballedo,2193,0,0
2021-06-02,Carballedo,2193,0,0
2021-06-03,Carballedo,2193,0,0
2021-06-04,Carballedo,2193,0,0
2021-06-05,Carballedo,2193,0,0
2021-06-06,Carballedo,2193,0,0
2021-06-07,Carballedo,2193,0,0
2021-06-08,Carballedo,2193,0,0
2021-06-09,Carballedo,2193,0,0
2021-06-10,Carballedo,2193,0,0
2021-06-11,Carballedo,2193,0,0
2021-06-12,Carballedo,2193,0,0
2021-06-13,Carballedo,2193,0,0
2021-06-14,Carballedo,2193,0,0
2021-06-15,Carballedo,2193,0,0
2021-06-16,Carballedo,2193,0,0
2021-06-17,Carballedo,2193,0,0
2021-06-18,Carballedo,2193,0,0
2021-06-19,Carballedo,2193,0,0
2021-06-20,Carballedo,2193,0,0
2021-06-21,Carballedo,2193,0,0
2021-06-22,Carballedo,2193,0,0
2021-06-23,Carballedo,2193,0,0
2021-06-24,Carballedo,2193,0,0
2021-06-25,Carballedo,2193,0,0
2021-06-26,Carballedo,2193,0,0
2021-06-27,Carballedo,2193,0,0
2021-06-28,Carballedo,2193,0,0
2021-06-29,Carballedo,2193,0,0
2021-06-30,Carballedo,2193,0,0
2021-07-01,Carballedo,2193,0,0
2021-07-02,Carballedo,2193,,
2021-07-03,Carballedo,2193,,
2021-07-04,Carballedo,2193,,
2021-07-05,Carballedo,2193,,
2021-07-06,Carballedo,2193,,
2021-07-07,Carballedo,2193,,
2021-07-08,Carballedo,2193,,
2021-07-09,Carballedo,2193,,
2021-07-10,Carballedo,2193,,
2021-07-11,Carballedo,2193,,
2021-07-12,Carballedo,2193,,
2021-07-13,Carballedo,2193,,
2021-07-14,Carballedo,2193,,
2021-07-15,Carballedo,2193,,
2021-07-16,Carballedo,2193,,
2021-07-17,Carballedo,2193,,
2021-07-18,Carballedo,2193,,0
2021-07-19,Carballedo,2193,,0
2021-07-20,Carballedo,2193,,0
2021-07-21,Carballedo,2193,,
2021-07-22,Carballedo,2193,,
2021-07-23,Carballedo,2193,,
2021-07-24,Carballedo,2193,,
2021-07-25,Carballedo,2193,,
2021-07-26,Carballedo,2193,,
2021-07-27,Carballedo,2193,,
2021-07-28,Carballedo,2193,,
2021-07-29,Carballedo,2193,,
2021-07-30,Carballedo,2193,,
2021-07-31,Carballedo,2193,11,
2021-08-01,Carballedo,2193,12,
2021-08-02,Carballedo,2193,12,
2021-08-03,Carballedo,2193,12,
2021-08-04,Carballedo,2193,11,
