fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cariño,3838,,
2020-11-22,Cariño,3838,,
2020-11-23,Cariño,3838,,
2020-11-24,Cariño,3838,,
2020-11-25,Cariño,3838,,
2020-11-26,Cariño,3838,,
2020-11-27,Cariño,3838,,
2020-11-28,Cariño,3838,,
2020-11-29,Cariño,3838,,
2020-11-30,Cariño,3838,,
2020-12-01,Cariño,3838,,
2020-12-02,Cariño,3838,,
2020-12-03,Cariño,3838,,
2020-12-04,Cariño,3838,,
2020-12-05,Cariño,3838,,
2020-12-06,Cariño,3838,,
2020-12-07,Cariño,3838,,
2020-12-08,Cariño,3838,,
2020-12-09,Cariño,3838,,
2020-12-10,Cariño,3838,,
2020-12-11,Cariño,3838,0,
2020-12-12,Cariño,3838,0,
2020-12-13,Cariño,3838,0,
2020-12-14,Cariño,3838,0,
2020-12-15,Cariño,3838,0,
2020-12-16,Cariño,3838,0,
2020-12-17,Cariño,3838,0,
2020-12-18,Cariño,3838,0,
2020-12-19,Cariño,3838,0,
2020-12-20,Cariño,3838,0,
2020-12-21,Cariño,3838,0,
2020-12-22,Cariño,3838,,
2020-12-23,Cariño,3838,,
2020-12-24,Cariño,3838,,
2020-12-25,Cariño,3838,,
2020-12-26,Cariño,3838,,
2020-12-27,Cariño,3838,,
2020-12-28,Cariño,3838,,
2020-12-29,Cariño,3838,,
2020-12-30,Cariño,3838,,
2020-12-31,Cariño,3838,,
2021-01-01,Cariño,3838,,
2021-01-02,Cariño,3838,,
2021-01-03,Cariño,3838,10,
2021-01-04,Cariño,3838,11,
2021-01-05,Cariño,3838,10,
2021-01-06,Cariño,3838,10,
2021-01-07,Cariño,3838,,
2021-01-08,Cariño,3838,,
2021-01-09,Cariño,3838,,
2021-01-10,Cariño,3838,13,
2021-01-11,Cariño,3838,13,
2021-01-12,Cariño,3838,13,
2021-01-13,Cariño,3838,14,
2021-01-14,Cariño,3838,17,
2021-01-15,Cariño,3838,17,
2021-01-16,Cariño,3838,24,
2021-01-17,Cariño,3838,24,
2021-01-18,Cariño,3838,23,
2021-01-19,Cariño,3838,23,
2021-01-20,Cariño,3838,24,
2021-01-21,Cariño,3838,24,
2021-01-22,Cariño,3838,24,
2021-01-23,Cariño,3838,22,
2021-01-24,Cariño,3838,18,
2021-01-25,Cariño,3838,19,
2021-01-26,Cariño,3838,18,
2021-01-27,Cariño,3838,19,
2021-01-28,Cariño,3838,18,
2021-01-29,Cariño,3838,17,
2021-01-30,Cariño,3838,,
2021-01-31,Cariño,3838,,
2021-02-01,Cariño,3838,,
2021-02-02,Cariño,3838,11,
2021-02-03,Cariño,3838,11,
2021-02-04,Cariño,3838,,
2021-02-05,Cariño,3838,10,
2021-02-06,Cariño,3838,12,
2021-02-07,Cariño,3838,12,
2021-02-08,Cariño,3838,12,
2021-02-09,Cariño,3838,12,
2021-02-10,Cariño,3838,12,
2021-02-11,Cariño,3838,11,
2021-02-12,Cariño,3838,11,
2021-02-13,Cariño,3838,11,
2021-02-14,Cariño,3838,11,
2021-02-15,Cariño,3838,13,
2021-02-16,Cariño,3838,11,
2021-02-17,Cariño,3838,10,
2021-02-18,Cariño,3838,10,
2021-02-19,Cariño,3838,10,
2021-02-20,Cariño,3838,,
2021-02-21,Cariño,3838,,
2021-02-22,Cariño,3838,,
2021-02-23,Cariño,3838,,
2021-02-24,Cariño,3838,,
2021-02-25,Cariño,3838,,
2021-02-26,Cariño,3838,,
2021-02-27,Cariño,3838,10,
2021-02-28,Cariño,3838,12,
2021-03-01,Cariño,3838,11,
2021-03-02,Cariño,3838,11,10
2021-03-03,Cariño,3838,11,10
2021-03-04,Cariño,3838,12,
2021-03-05,Cariño,3838,11,
2021-03-06,Cariño,3838,11,
2021-03-07,Cariño,3838,11,
2021-03-08,Cariño,3838,11,
2021-03-09,Cariño,3838,11,
2021-03-10,Cariño,3838,11,
2021-03-11,Cariño,3838,,0
2021-03-12,Cariño,3838,,0
2021-03-13,Cariño,3838,,0
2021-03-14,Cariño,3838,,0
2021-03-15,Cariño,3838,,
2021-03-16,Cariño,3838,,
2021-03-17,Cariño,3838,,
2021-03-18,Cariño,3838,,
2021-03-19,Cariño,3838,,
2021-03-20,Cariño,3838,,
2021-03-21,Cariño,3838,,
2021-03-22,Cariño,3838,,
2021-03-23,Cariño,3838,,
2021-03-24,Cariño,3838,,0
2021-03-25,Cariño,3838,,0
2021-03-26,Cariño,3838,,0
2021-03-27,Cariño,3838,,0
2021-03-28,Cariño,3838,,0
2021-03-29,Cariño,3838,,0
2021-03-30,Cariño,3838,,0
2021-03-31,Cariño,3838,0,0
2021-04-01,Cariño,3838,0,0
2021-04-02,Cariño,3838,0,0
2021-04-03,Cariño,3838,0,0
2021-04-04,Cariño,3838,0,0
2021-04-05,Cariño,3838,0,0
2021-04-06,Cariño,3838,0,0
2021-04-07,Cariño,3838,0,0
2021-04-08,Cariño,3838,,
2021-04-09,Cariño,3838,,
2021-04-10,Cariño,3838,,
2021-04-11,Cariño,3838,,
2021-04-12,Cariño,3838,,
2021-04-13,Cariño,3838,,
2021-04-14,Cariño,3838,,
2021-04-15,Cariño,3838,,0
2021-04-16,Cariño,3838,,0
2021-04-17,Cariño,3838,,0
2021-04-18,Cariño,3838,,0
2021-04-19,Cariño,3838,,0
2021-04-20,Cariño,3838,,0
2021-04-21,Cariño,3838,,0
2021-04-22,Cariño,3838,0,0
2021-04-23,Cariño,3838,0,0
2021-04-24,Cariño,3838,0,0
2021-04-25,Cariño,3838,0,0
2021-04-26,Cariño,3838,0,0
2021-04-27,Cariño,3838,0,0
2021-04-28,Cariño,3838,0,0
2021-04-29,Cariño,3838,,
2021-04-30,Cariño,3838,,
2021-05-01,Cariño,3838,,
2021-05-02,Cariño,3838,,
2021-05-03,Cariño,3838,,
2021-05-04,Cariño,3838,,
2021-05-05,Cariño,3838,,
2021-05-06,Cariño,3838,,
2021-05-07,Cariño,3838,,
2021-05-08,Cariño,3838,,
2021-05-09,Cariño,3838,,
2021-05-10,Cariño,3838,,
2021-05-11,Cariño,3838,,
2021-05-12,Cariño,3838,,
2021-05-13,Cariño,3838,,0
2021-05-14,Cariño,3838,,0
2021-05-15,Cariño,3838,,0
2021-05-16,Cariño,3838,,0
2021-05-17,Cariño,3838,,0
2021-05-18,Cariño,3838,,0
2021-05-19,Cariño,3838,,0
2021-05-20,Cariño,3838,0,0
2021-05-21,Cariño,3838,0,0
2021-05-22,Cariño,3838,0,0
2021-05-23,Cariño,3838,0,0
2021-05-24,Cariño,3838,0,0
2021-05-25,Cariño,3838,0,0
2021-05-26,Cariño,3838,0,0
2021-05-27,Cariño,3838,0,0
2021-05-28,Cariño,3838,0,0
2021-05-29,Cariño,3838,0,0
2021-05-30,Cariño,3838,0,0
2021-05-31,Cariño,3838,0,0
2021-06-01,Cariño,3838,0,0
2021-06-02,Cariño,3838,0,0
2021-06-03,Cariño,3838,0,0
2021-06-04,Cariño,3838,0,0
2021-06-05,Cariño,3838,0,0
2021-06-06,Cariño,3838,0,0
2021-06-07,Cariño,3838,0,0
2021-06-08,Cariño,3838,0,0
2021-06-09,Cariño,3838,0,0
2021-06-10,Cariño,3838,0,0
2021-06-11,Cariño,3838,0,0
2021-06-12,Cariño,3838,,
2021-06-13,Cariño,3838,,
2021-06-14,Cariño,3838,,
2021-06-15,Cariño,3838,,
2021-06-16,Cariño,3838,,
2021-06-17,Cariño,3838,,
2021-06-18,Cariño,3838,,
2021-06-19,Cariño,3838,,0
2021-06-20,Cariño,3838,,0
2021-06-21,Cariño,3838,,0
2021-06-22,Cariño,3838,,0
2021-06-23,Cariño,3838,,0
2021-06-24,Cariño,3838,,0
2021-06-25,Cariño,3838,,0
2021-06-26,Cariño,3838,0,0
2021-06-27,Cariño,3838,0,0
2021-06-28,Cariño,3838,0,0
2021-06-29,Cariño,3838,0,0
2021-06-30,Cariño,3838,0,0
2021-07-01,Cariño,3838,0,0
2021-07-02,Cariño,3838,0,0
2021-07-03,Cariño,3838,0,0
2021-07-04,Cariño,3838,0,0
2021-07-05,Cariño,3838,0,0
2021-07-06,Cariño,3838,0,0
2021-07-07,Cariño,3838,0,0
2021-07-08,Cariño,3838,0,0
2021-07-09,Cariño,3838,0,0
2021-07-10,Cariño,3838,0,0
2021-07-11,Cariño,3838,,
2021-07-12,Cariño,3838,,
2021-07-13,Cariño,3838,,
2021-07-14,Cariño,3838,,
2021-07-15,Cariño,3838,,
2021-07-16,Cariño,3838,,
2021-07-17,Cariño,3838,,
2021-07-18,Cariño,3838,,0
2021-07-19,Cariño,3838,,0
2021-07-20,Cariño,3838,,
2021-07-21,Cariño,3838,,
2021-07-22,Cariño,3838,,
2021-07-23,Cariño,3838,,
2021-07-24,Cariño,3838,18,17
2021-07-25,Cariño,3838,22,22
2021-07-26,Cariño,3838,26,26
2021-07-27,Cariño,3838,27,26
2021-07-28,Cariño,3838,30,25
2021-07-29,Cariño,3838,38,32
2021-07-30,Cariño,3838,39,32
2021-07-31,Cariño,3838,40,23
2021-08-01,Cariño,3838,40,18
2021-08-02,Cariño,3838,43,17
2021-08-03,Cariño,3838,42,16
2021-08-04,Cariño,3838,39,14
2021-08-05,Cariño,3838,38,
2021-08-06,Cariño,3838,37,
2021-08-07,Cariño,3838,27,
2021-08-08,Cariño,3838,23,
2021-08-09,Cariño,3838,20,
2021-08-10,Cariño,3838,19,
2021-08-11,Cariño,3838,16,
2021-08-12,Cariño,3838,,
2021-08-13,Cariño,3838,,
2021-08-14,Cariño,3838,,
2021-08-15,Cariño,3838,,
2021-08-16,Cariño,3838,,
2021-08-17,Cariño,3838,,
2021-08-18,Cariño,3838,,
2021-08-19,Cariño,3838,,
2021-08-20,Cariño,3838,14,11
2021-08-21,Cariño,3838,20,16
2021-08-22,Cariño,3838,20,17
2021-08-23,Cariño,3838,19,16
2021-08-24,Cariño,3838,21,17
2021-08-25,Cariño,3838,21,15
2021-08-26,Cariño,3838,22,15
2021-08-27,Cariño,3838,21,10
2021-08-28,Cariño,3838,20,
2021-08-29,Cariño,3838,20,
2021-08-30,Cariño,3838,19,
2021-08-31,Cariño,3838,18,
2021-09-01,Cariño,3838,17,
2021-09-02,Cariño,3838,16,
2021-09-03,Cariño,3838,11,
2021-09-04,Cariño,3838,,
2021-09-05,Cariño,3838,,
2021-09-06,Cariño,3838,,
2021-09-07,Cariño,3838,,
2021-09-08,Cariño,3838,,0
2021-09-09,Cariño,3838,,0
2021-09-10,Cariño,3838,,
2021-09-11,Cariño,3838,,
2021-09-12,Cariño,3838,,
2021-09-13,Cariño,3838,,
2021-09-14,Cariño,3838,,
2021-09-15,Cariño,3838,,
2021-09-16,Cariño,3838,,
2021-09-17,Cariño,3838,,
2021-09-18,Cariño,3838,,
2021-09-19,Cariño,3838,,
2021-09-20,Cariño,3838,,
2021-09-21,Cariño,3838,,
2021-09-22,Cariño,3838,,0
2021-09-23,Cariño,3838,,0
2021-09-24,Cariño,3838,,0
2021-09-25,Cariño,3838,,0
2021-09-26,Cariño,3838,,0
2021-09-27,Cariño,3838,,0
2021-09-28,Cariño,3838,,0
2021-09-29,Cariño,3838,0,0
2021-09-30,Cariño,3838,0,0
2021-10-01,Cariño,3838,0,0
2021-10-02,Cariño,3838,0,0
2021-10-03,Cariño,3838,0,0
2021-10-04,Cariño,3838,0,0
2021-10-05,Cariño,3838,0,0
2021-10-06,Cariño,3838,0,0
2021-10-07,Cariño,3838,0,0
2021-10-08,Cariño,3838,0,0
2021-10-09,Cariño,3838,0,0
2021-10-10,Cariño,3838,0,0
2021-10-11,Cariño,3838,0,0
2021-10-12,Cariño,3838,0,0
2021-10-13,Cariño,3838,0,0
2021-10-14,Cariño,3838,0,0
2021-10-15,Cariño,3838,0,0
2021-10-16,Cariño,3838,0,0
2021-10-17,Cariño,3838,0,0
2021-10-18,Cariño,3838,0,0
2021-10-19,Cariño,3838,0,0
2021-10-20,Cariño,3838,0,0
