fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Carnota,3957,,
2020-11-22,Carnota,3957,,
2020-11-23,Carnota,3957,,
2020-11-24,Carnota,3957,,
2020-11-25,Carnota,3957,,
2020-11-26,Carnota,3957,,
2020-11-27,Carnota,3957,,
2020-11-28,Carnota,3957,,
2020-11-29,Carnota,3957,,
2020-11-30,Carnota,3957,,
2020-12-01,Carnota,3957,10,
2020-12-02,Carnota,3957,10,
2020-12-03,Carnota,3957,12,
2020-12-04,Carnota,3957,12,
2020-12-05,Carnota,3957,12,
2020-12-06,Carnota,3957,15,
2020-12-07,Carnota,3957,17,
2020-12-08,Carnota,3957,17,
2020-12-09,Carnota,3957,15,
2020-12-10,Carnota,3957,12,
2020-12-11,Carnota,3957,13,
2020-12-12,Carnota,3957,14,
2020-12-13,Carnota,3957,12,
2020-12-14,Carnota,3957,15,
2020-12-15,Carnota,3957,14,
2020-12-16,Carnota,3957,14,
2020-12-17,Carnota,3957,12,
2020-12-18,Carnota,3957,16,
2020-12-19,Carnota,3957,19,
2020-12-20,Carnota,3957,20,
2020-12-21,Carnota,3957,19,
2020-12-22,Carnota,3957,19,
2020-12-23,Carnota,3957,19,
2020-12-24,Carnota,3957,21,
2020-12-25,Carnota,3957,20,
2020-12-26,Carnota,3957,18,
2020-12-27,Carnota,3957,18,
2020-12-28,Carnota,3957,15,
2020-12-29,Carnota,3957,15,
2020-12-30,Carnota,3957,15,
2020-12-31,Carnota,3957,15,
2021-01-01,Carnota,3957,11,
2021-01-02,Carnota,3957,,
2021-01-03,Carnota,3957,,
2021-01-04,Carnota,3957,,
2021-01-05,Carnota,3957,,
2021-01-06,Carnota,3957,,
2021-01-07,Carnota,3957,,
2021-01-08,Carnota,3957,,
2021-01-09,Carnota,3957,,
2021-01-10,Carnota,3957,,
2021-01-11,Carnota,3957,,
2021-01-12,Carnota,3957,,
2021-01-13,Carnota,3957,,
2021-01-14,Carnota,3957,,
2021-01-15,Carnota,3957,,
2021-01-16,Carnota,3957,,
2021-01-17,Carnota,3957,,
2021-01-18,Carnota,3957,,
2021-01-19,Carnota,3957,,
2021-01-20,Carnota,3957,,
2021-01-21,Carnota,3957,,
2021-01-22,Carnota,3957,,
2021-01-23,Carnota,3957,,
2021-01-24,Carnota,3957,,
2021-01-25,Carnota,3957,,
2021-01-26,Carnota,3957,,
2021-01-27,Carnota,3957,,
2021-01-28,Carnota,3957,,
2021-01-29,Carnota,3957,11,
2021-01-30,Carnota,3957,10,
2021-01-31,Carnota,3957,12,
2021-02-01,Carnota,3957,13,
2021-02-02,Carnota,3957,15,
2021-02-03,Carnota,3957,14,
2021-02-04,Carnota,3957,20,
2021-02-05,Carnota,3957,20,
2021-02-06,Carnota,3957,21,
2021-02-07,Carnota,3957,21,
2021-02-08,Carnota,3957,21,
2021-02-09,Carnota,3957,21,
2021-02-10,Carnota,3957,21,
2021-02-11,Carnota,3957,24,
2021-02-12,Carnota,3957,19,
2021-02-13,Carnota,3957,19,
2021-02-14,Carnota,3957,18,
2021-02-15,Carnota,3957,17,
2021-02-16,Carnota,3957,15,
2021-02-17,Carnota,3957,15,
2021-02-18,Carnota,3957,,
2021-02-19,Carnota,3957,,
2021-02-20,Carnota,3957,,
2021-02-21,Carnota,3957,,
2021-02-22,Carnota,3957,,
2021-02-23,Carnota,3957,,
2021-02-24,Carnota,3957,,
2021-02-25,Carnota,3957,,
2021-02-26,Carnota,3957,,
2021-02-27,Carnota,3957,,
2021-02-28,Carnota,3957,,
2021-03-01,Carnota,3957,,
2021-03-02,Carnota,3957,,0
2021-03-03,Carnota,3957,,0
2021-03-04,Carnota,3957,,0
2021-03-05,Carnota,3957,,0
