fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cartelle,2642,,
2020-11-22,Cartelle,2642,,
2020-11-23,Cartelle,2642,,
2020-11-24,Cartelle,2642,,
2020-11-25,Cartelle,2642,,
2020-11-26,Cartelle,2642,,
2020-11-27,Cartelle,2642,0,
2020-11-28,Cartelle,2642,0,
2020-11-29,Cartelle,2642,0,
2020-11-30,Cartelle,2642,0,
2020-12-01,Cartelle,2642,0,
2020-12-02,Cartelle,2642,0,
2020-12-03,Cartelle,2642,0,
2020-12-04,Cartelle,2642,0,
2020-12-05,Cartelle,2642,0,
2020-12-06,Cartelle,2642,0,
2020-12-07,Cartelle,2642,0,
2020-12-08,Cartelle,2642,0,
2020-12-09,Cartelle,2642,0,
2020-12-10,Cartelle,2642,0,
2020-12-11,Cartelle,2642,0,
2020-12-12,Cartelle,2642,0,
2020-12-13,Cartelle,2642,0,
2020-12-14,Cartelle,2642,0,
2020-12-15,Cartelle,2642,,
2020-12-16,Cartelle,2642,,
2020-12-17,Cartelle,2642,,
2020-12-18,Cartelle,2642,,
2020-12-19,Cartelle,2642,,
2020-12-20,Cartelle,2642,,
2020-12-21,Cartelle,2642,,
2020-12-22,Cartelle,2642,,
2020-12-23,Cartelle,2642,,
2020-12-24,Cartelle,2642,,
2020-12-25,Cartelle,2642,,
2020-12-26,Cartelle,2642,,
2020-12-27,Cartelle,2642,,
2020-12-28,Cartelle,2642,,
2020-12-29,Cartelle,2642,,
2020-12-30,Cartelle,2642,,
2020-12-31,Cartelle,2642,,
2021-01-01,Cartelle,2642,,
2021-01-02,Cartelle,2642,,
2021-01-03,Cartelle,2642,,
2021-01-04,Cartelle,2642,10,
2021-01-05,Cartelle,2642,10,
2021-01-06,Cartelle,2642,10,
2021-01-07,Cartelle,2642,,
2021-01-08,Cartelle,2642,,
2021-01-09,Cartelle,2642,,
2021-01-10,Cartelle,2642,,
2021-01-11,Cartelle,2642,,
2021-01-12,Cartelle,2642,,
2021-01-13,Cartelle,2642,,
2021-01-14,Cartelle,2642,,
2021-01-15,Cartelle,2642,,
2021-01-16,Cartelle,2642,,
2021-01-17,Cartelle,2642,,
2021-01-18,Cartelle,2642,,
2021-01-19,Cartelle,2642,,
2021-01-20,Cartelle,2642,,
2021-01-21,Cartelle,2642,11,
2021-01-22,Cartelle,2642,21,
2021-01-23,Cartelle,2642,25,
2021-01-24,Cartelle,2642,27,
2021-01-25,Cartelle,2642,29,
2021-01-26,Cartelle,2642,37,
2021-01-27,Cartelle,2642,45,
2021-01-28,Cartelle,2642,45,
2021-01-29,Cartelle,2642,54,
2021-01-30,Cartelle,2642,58,
2021-01-31,Cartelle,2642,57,
2021-02-01,Cartelle,2642,61,
2021-02-02,Cartelle,2642,63,
