fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Castro Caldelas",1224,0,
2020-11-22,"Castro Caldelas",1224,0,
2020-11-23,"Castro Caldelas",1224,0,
2020-11-24,"Castro Caldelas",1224,0,
2020-11-25,"Castro Caldelas",1224,0,
2020-11-26,"Castro Caldelas",1224,0,
2020-11-27,"Castro Caldelas",1224,0,
2020-11-28,"Castro Caldelas",1224,0,
2020-11-29,"Castro Caldelas",1224,0,
2020-11-30,"Castro Caldelas",1224,0,
2020-12-01,"Castro Caldelas",1224,0,
2020-12-02,"Castro Caldelas",1224,0,
2020-12-03,"Castro Caldelas",1224,0,
2020-12-04,"Castro Caldelas",1224,0,
2020-12-05,"Castro Caldelas",1224,0,
2020-12-06,"Castro Caldelas",1224,0,
2020-12-07,"Castro Caldelas",1224,0,
2020-12-08,"Castro Caldelas",1224,0,
2020-12-09,"Castro Caldelas",1224,0,
2020-12-10,"Castro Caldelas",1224,0,
2020-12-11,"Castro Caldelas",1224,0,
2020-12-12,"Castro Caldelas",1224,0,
2020-12-13,"Castro Caldelas",1224,0,
2020-12-14,"Castro Caldelas",1224,0,
2020-12-15,"Castro Caldelas",1224,0,
2020-12-16,"Castro Caldelas",1224,0,
2020-12-17,"Castro Caldelas",1224,0,
2020-12-18,"Castro Caldelas",1224,0,
2020-12-19,"Castro Caldelas",1224,0,
2020-12-20,"Castro Caldelas",1224,0,
2020-12-21,"Castro Caldelas",1224,0,
2020-12-22,"Castro Caldelas",1224,0,
2020-12-23,"Castro Caldelas",1224,0,
2020-12-24,"Castro Caldelas",1224,0,
2020-12-25,"Castro Caldelas",1224,0,
2020-12-26,"Castro Caldelas",1224,0,
2020-12-27,"Castro Caldelas",1224,,
2020-12-28,"Castro Caldelas",1224,,
2020-12-29,"Castro Caldelas",1224,,
2020-12-30,"Castro Caldelas",1224,,
2020-12-31,"Castro Caldelas",1224,,
2021-01-01,"Castro Caldelas",1224,,
2021-01-02,"Castro Caldelas",1224,,
2021-01-03,"Castro Caldelas",1224,,
2021-01-04,"Castro Caldelas",1224,,
2021-01-05,"Castro Caldelas",1224,,
2021-01-06,"Castro Caldelas",1224,,
2021-01-07,"Castro Caldelas",1224,,
2021-01-08,"Castro Caldelas",1224,,
2021-01-09,"Castro Caldelas",1224,,
2021-01-10,"Castro Caldelas",1224,,
2021-01-11,"Castro Caldelas",1224,,
2021-01-12,"Castro Caldelas",1224,,
2021-01-13,"Castro Caldelas",1224,0,
2021-01-14,"Castro Caldelas",1224,0,
2021-01-15,"Castro Caldelas",1224,0,
2021-01-16,"Castro Caldelas",1224,0,
2021-01-17,"Castro Caldelas",1224,0,
2021-01-18,"Castro Caldelas",1224,0,
2021-01-19,"Castro Caldelas",1224,0,
2021-01-20,"Castro Caldelas",1224,0,
2021-01-21,"Castro Caldelas",1224,0,
2021-01-22,"Castro Caldelas",1224,0,
2021-01-23,"Castro Caldelas",1224,0,
2021-01-24,"Castro Caldelas",1224,,
2021-01-25,"Castro Caldelas",1224,,
2021-01-26,"Castro Caldelas",1224,,
2021-01-27,"Castro Caldelas",1224,,
2021-01-28,"Castro Caldelas",1224,,
2021-01-29,"Castro Caldelas",1224,,
2021-01-30,"Castro Caldelas",1224,,
2021-01-31,"Castro Caldelas",1224,,
2021-02-01,"Castro Caldelas",1224,,
2021-02-02,"Castro Caldelas",1224,,
2021-02-03,"Castro Caldelas",1224,,
2021-02-04,"Castro Caldelas",1224,,
2021-02-05,"Castro Caldelas",1224,,
2021-02-06,"Castro Caldelas",1224,,
2021-02-07,"Castro Caldelas",1224,,
2021-02-08,"Castro Caldelas",1224,,
2021-02-09,"Castro Caldelas",1224,,
2021-02-10,"Castro Caldelas",1224,,
2021-02-11,"Castro Caldelas",1224,,
2021-02-12,"Castro Caldelas",1224,0,
2021-02-13,"Castro Caldelas",1224,0,
2021-02-14,"Castro Caldelas",1224,0,
2021-02-15,"Castro Caldelas",1224,0,
2021-02-16,"Castro Caldelas",1224,0,
2021-02-17,"Castro Caldelas",1224,0,
2021-02-18,"Castro Caldelas",1224,0,
2021-02-19,"Castro Caldelas",1224,0,
2021-02-20,"Castro Caldelas",1224,0,
2021-02-21,"Castro Caldelas",1224,0,
2021-02-22,"Castro Caldelas",1224,0,
2021-02-23,"Castro Caldelas",1224,0,
2021-02-24,"Castro Caldelas",1224,0,
2021-02-25,"Castro Caldelas",1224,,
2021-02-26,"Castro Caldelas",1224,,
2021-02-27,"Castro Caldelas",1224,,
2021-02-28,"Castro Caldelas",1224,,
2021-03-01,"Castro Caldelas",1224,,
2021-03-02,"Castro Caldelas",1224,,
2021-03-03,"Castro Caldelas",1224,,
2021-03-04,"Castro Caldelas",1224,,
2021-03-05,"Castro Caldelas",1224,,
2021-03-06,"Castro Caldelas",1224,,
2021-03-07,"Castro Caldelas",1224,,
2021-03-08,"Castro Caldelas",1224,,
2021-03-09,"Castro Caldelas",1224,,
2021-03-10,"Castro Caldelas",1224,,0
2021-03-11,"Castro Caldelas",1224,,0
2021-03-12,"Castro Caldelas",1224,,0
2021-03-13,"Castro Caldelas",1224,,0
2021-03-14,"Castro Caldelas",1224,,0
2021-03-15,"Castro Caldelas",1224,,0
2021-03-16,"Castro Caldelas",1224,,0
2021-03-17,"Castro Caldelas",1224,0,0
2021-03-18,"Castro Caldelas",1224,0,0
2021-03-19,"Castro Caldelas",1224,0,0
2021-03-20,"Castro Caldelas",1224,0,0
2021-03-21,"Castro Caldelas",1224,0,0
2021-03-22,"Castro Caldelas",1224,0,0
2021-03-23,"Castro Caldelas",1224,0,0
2021-03-24,"Castro Caldelas",1224,0,0
2021-03-25,"Castro Caldelas",1224,0,0
2021-03-26,"Castro Caldelas",1224,0,0
2021-03-27,"Castro Caldelas",1224,0,0
2021-03-28,"Castro Caldelas",1224,0,0
2021-03-29,"Castro Caldelas",1224,0,0
2021-03-30,"Castro Caldelas",1224,0,0
2021-03-31,"Castro Caldelas",1224,,
2021-04-01,"Castro Caldelas",1224,,
2021-04-02,"Castro Caldelas",1224,,
2021-04-03,"Castro Caldelas",1224,,
2021-04-04,"Castro Caldelas",1224,,
2021-04-05,"Castro Caldelas",1224,,
2021-04-06,"Castro Caldelas",1224,,
2021-04-07,"Castro Caldelas",1224,,0
2021-04-08,"Castro Caldelas",1224,,0
2021-04-09,"Castro Caldelas",1224,,0
2021-04-10,"Castro Caldelas",1224,,0
2021-04-11,"Castro Caldelas",1224,,0
2021-04-12,"Castro Caldelas",1224,,0
2021-04-13,"Castro Caldelas",1224,,0
2021-04-14,"Castro Caldelas",1224,0,0
2021-04-15,"Castro Caldelas",1224,0,0
2021-04-16,"Castro Caldelas",1224,0,0
2021-04-17,"Castro Caldelas",1224,0,0
2021-04-18,"Castro Caldelas",1224,0,0
2021-04-19,"Castro Caldelas",1224,0,0
2021-04-20,"Castro Caldelas",1224,0,0
2021-04-21,"Castro Caldelas",1224,0,0
2021-04-22,"Castro Caldelas",1224,0,0
2021-04-23,"Castro Caldelas",1224,0,0
2021-04-24,"Castro Caldelas",1224,0,0
2021-04-25,"Castro Caldelas",1224,0,0
2021-04-26,"Castro Caldelas",1224,0,0
2021-04-27,"Castro Caldelas",1224,0,0
2021-04-28,"Castro Caldelas",1224,0,0
2021-04-29,"Castro Caldelas",1224,0,0
2021-04-30,"Castro Caldelas",1224,0,0
2021-05-01,"Castro Caldelas",1224,0,0
2021-05-02,"Castro Caldelas",1224,0,0
2021-05-03,"Castro Caldelas",1224,0,0
2021-05-04,"Castro Caldelas",1224,0,0
2021-05-05,"Castro Caldelas",1224,0,0
2021-05-06,"Castro Caldelas",1224,0,0
2021-05-07,"Castro Caldelas",1224,0,0
2021-05-08,"Castro Caldelas",1224,0,0
2021-05-09,"Castro Caldelas",1224,0,0
2021-05-10,"Castro Caldelas",1224,0,0
2021-05-11,"Castro Caldelas",1224,0,0
2021-05-12,"Castro Caldelas",1224,0,0
2021-05-13,"Castro Caldelas",1224,0,0
2021-05-14,"Castro Caldelas",1224,0,0
2021-05-15,"Castro Caldelas",1224,0,0
