fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Castroverde,2617,10,
2020-11-22,Castroverde,2617,,
2020-11-23,Castroverde,2617,,
2020-11-24,Castroverde,2617,,
2020-11-25,Castroverde,2617,,
2020-11-26,Castroverde,2617,,
2020-11-27,Castroverde,2617,,
2020-11-28,Castroverde,2617,,
2020-11-29,Castroverde,2617,,
2020-11-30,Castroverde,2617,,
2020-12-01,Castroverde,2617,,
2020-12-02,Castroverde,2617,,
2020-12-03,Castroverde,2617,,
2020-12-04,Castroverde,2617,,
2020-12-05,Castroverde,2617,,
2020-12-06,Castroverde,2617,,
2020-12-07,Castroverde,2617,,
2020-12-08,Castroverde,2617,,
2020-12-09,Castroverde,2617,,
2020-12-10,Castroverde,2617,,
2020-12-11,Castroverde,2617,,
2020-12-12,Castroverde,2617,,
2020-12-13,Castroverde,2617,,
2020-12-14,Castroverde,2617,,
2020-12-15,Castroverde,2617,,
2020-12-16,Castroverde,2617,,
2020-12-17,Castroverde,2617,,
2020-12-18,Castroverde,2617,,
2020-12-19,Castroverde,2617,,
2020-12-20,Castroverde,2617,,
2020-12-21,Castroverde,2617,,
2020-12-22,Castroverde,2617,,
2020-12-23,Castroverde,2617,,
2020-12-24,Castroverde,2617,,
2020-12-25,Castroverde,2617,,
2020-12-26,Castroverde,2617,,
2020-12-27,Castroverde,2617,,
2020-12-28,Castroverde,2617,0,
2020-12-29,Castroverde,2617,0,
2020-12-30,Castroverde,2617,0,
2020-12-31,Castroverde,2617,0,
2021-01-01,Castroverde,2617,0,
2021-01-02,Castroverde,2617,0,
2021-01-03,Castroverde,2617,0,
2021-01-04,Castroverde,2617,0,
2021-01-05,Castroverde,2617,0,
2021-01-06,Castroverde,2617,0,
2021-01-07,Castroverde,2617,0,
2021-01-08,Castroverde,2617,0,
2021-01-09,Castroverde,2617,,
2021-01-10,Castroverde,2617,,
2021-01-11,Castroverde,2617,,
2021-01-12,Castroverde,2617,,
2021-01-13,Castroverde,2617,,
2021-01-14,Castroverde,2617,,
2021-01-15,Castroverde,2617,,
2021-01-16,Castroverde,2617,,
2021-01-17,Castroverde,2617,,
2021-01-18,Castroverde,2617,,
2021-01-19,Castroverde,2617,,
2021-01-20,Castroverde,2617,,
2021-01-21,Castroverde,2617,,
2021-01-22,Castroverde,2617,,
2021-01-23,Castroverde,2617,,
2021-01-24,Castroverde,2617,,
2021-01-25,Castroverde,2617,,
2021-01-26,Castroverde,2617,,
