fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cedeira,6640,12,
2020-11-22,Cedeira,6640,10,
2020-11-23,Cedeira,6640,,
2020-11-24,Cedeira,6640,,
2020-11-25,Cedeira,6640,,
2020-11-26,Cedeira,6640,11,
2020-11-27,Cedeira,6640,10,
2020-11-28,Cedeira,6640,,
2020-11-29,Cedeira,6640,,
2020-11-30,Cedeira,6640,,
2020-12-01,Cedeira,6640,,
2020-12-02,Cedeira,6640,,
2020-12-03,Cedeira,6640,,
2020-12-04,Cedeira,6640,,
2020-12-05,Cedeira,6640,,
2020-12-06,Cedeira,6640,,
2020-12-07,Cedeira,6640,,
2020-12-08,Cedeira,6640,,
2020-12-09,Cedeira,6640,11,
2020-12-10,Cedeira,6640,10,
2020-12-11,Cedeira,6640,11,
2020-12-12,Cedeira,6640,14,
2020-12-13,Cedeira,6640,17,
2020-12-14,Cedeira,6640,18,
2020-12-15,Cedeira,6640,18,
2020-12-16,Cedeira,6640,17,
2020-12-17,Cedeira,6640,17,
2020-12-18,Cedeira,6640,18,
2020-12-19,Cedeira,6640,17,
2020-12-20,Cedeira,6640,17,
2020-12-21,Cedeira,6640,13,
2020-12-22,Cedeira,6640,13,
2020-12-23,Cedeira,6640,11,
2020-12-24,Cedeira,6640,14,
2020-12-25,Cedeira,6640,13,
2020-12-26,Cedeira,6640,11,
2020-12-27,Cedeira,6640,10,
2020-12-28,Cedeira,6640,10,
2020-12-29,Cedeira,6640,12,
2020-12-30,Cedeira,6640,12,
2020-12-31,Cedeira,6640,12,
2021-01-01,Cedeira,6640,11,
2021-01-02,Cedeira,6640,11,
2021-01-03,Cedeira,6640,11,
2021-01-04,Cedeira,6640,11,
2021-01-05,Cedeira,6640,11,
2021-01-06,Cedeira,6640,13,
2021-01-07,Cedeira,6640,11,
2021-01-08,Cedeira,6640,13,
2021-01-09,Cedeira,6640,16,
2021-01-10,Cedeira,6640,17,
2021-01-11,Cedeira,6640,19,
2021-01-12,Cedeira,6640,17,
2021-01-13,Cedeira,6640,22,
2021-01-14,Cedeira,6640,23,
2021-01-15,Cedeira,6640,26,
2021-01-16,Cedeira,6640,29,
2021-01-17,Cedeira,6640,36,
2021-01-18,Cedeira,6640,41,
2021-01-19,Cedeira,6640,46,
2021-01-20,Cedeira,6640,48,
2021-01-21,Cedeira,6640,46,
2021-01-22,Cedeira,6640,48,
2021-01-23,Cedeira,6640,57,
2021-01-24,Cedeira,6640,63,
2021-01-25,Cedeira,6640,70,
2021-01-26,Cedeira,6640,75,
2021-01-27,Cedeira,6640,83,
2021-01-28,Cedeira,6640,86,
2021-01-29,Cedeira,6640,85,
2021-01-30,Cedeira,6640,91,
2021-01-31,Cedeira,6640,87,
2021-02-01,Cedeira,6640,85,
2021-02-02,Cedeira,6640,84,
2021-02-03,Cedeira,6640,84,
2021-02-04,Cedeira,6640,90,
2021-02-05,Cedeira,6640,89,
2021-02-06,Cedeira,6640,81,
2021-02-07,Cedeira,6640,72,
2021-02-08,Cedeira,6640,63,
2021-02-09,Cedeira,6640,60,
2021-02-10,Cedeira,6640,51,
2021-02-11,Cedeira,6640,47,
2021-02-12,Cedeira,6640,50,
2021-02-13,Cedeira,6640,47,
2021-02-14,Cedeira,6640,47,
2021-02-15,Cedeira,6640,47,
2021-02-16,Cedeira,6640,43,
2021-02-17,Cedeira,6640,40,
2021-02-18,Cedeira,6640,35,
2021-02-19,Cedeira,6640,32,
2021-02-20,Cedeira,6640,28,
2021-02-21,Cedeira,6640,27,
2021-02-22,Cedeira,6640,26,
2021-02-23,Cedeira,6640,24,
2021-02-24,Cedeira,6640,21,
2021-02-25,Cedeira,6640,20,
2021-02-26,Cedeira,6640,17,
2021-02-27,Cedeira,6640,13,
