fecha,codigo_municipio,municipio,habitantes,casos_14d,casos_14d_min,casos_14d_max,IA14,IA14_min,IA14_max,casos_7d,casos_7d_min,casos_7d_max,IA7,IA7_min,IA7_max
2020-11-21,15023,Cee,7546,20,,,265.041081367612,,,,,,,,
2020-11-22,15023,Cee,7546,19,,,251.789027299231,,,,,,,,
2020-11-23,15023,Cee,7546,15,,,198.780811025709,,,,,,,,
2020-11-24,15023,Cee,7546,13,,,172.276702888948,,,,,,,,
2020-11-25,15023,Cee,7546,19,,,251.789027299231,,,,,,,,
2020-11-26,15023,Cee,7546,21,,,278.293135435993,,,,,,,,
2020-11-27,15023,Cee,7546,24,,,318.049297641134,,,,,,,,
2020-11-28,15023,Cee,7546,26,,,344.553405777896,,,,,,,,
2020-11-29,15023,Cee,7546,28,,,371.057513914657,,,,,,,,
2020-11-30,15023,Cee,7546,27,,,357.805459846276,,,,,,,,
2020-12-01,15023,Cee,7546,27,,,357.805459846276,,,,,,,,
2020-12-02,15023,Cee,7546,25,,,331.301351709515,,,,,,,,
2020-12-03,15023,Cee,7546,26,,,344.553405777896,,,,,,,,
2020-12-04,15023,Cee,7546,26,,,344.553405777896,,,,,,,,
2020-12-05,15023,Cee,7546,28,,,371.057513914657,,,,,,,,
2020-12-06,15023,Cee,7546,28,,,371.057513914657,,,,,,,,
2020-12-07,15023,Cee,7546,28,,,371.057513914657,,,,,,,,
2020-12-08,15023,Cee,7546,27,,,357.805459846276,,,,,,,,
2020-12-09,15023,Cee,7546,22,,,291.545189504373,,,,,,,,
2020-12-10,15023,Cee,7546,18,,,238.536973230851,,,,,,,,
2020-12-11,15023,Cee,7546,14,,,185.528756957328,,,,,,,,
2020-12-12,15023,Cee,7546,12,,,159.024648820567,,,,,,,,
2020-12-13,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-14,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-15,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-16,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-17,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-18,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-19,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-20,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-21,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-22,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-23,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-24,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2020-12-25,15023,Cee,7546,10,,,132.520540683806,,,,,,,,
2020-12-26,15023,Cee,7546,11,,,145.772594752187,,,,,,,,
2020-12-27,15023,Cee,7546,11,,,145.772594752187,,,,,,,,
2020-12-28,15023,Cee,7546,12,,,159.024648820567,,,,,,,,
2020-12-29,15023,Cee,7546,13,,,172.276702888948,,,,,,,,
2020-12-30,15023,Cee,7546,20,,,265.041081367612,,,,,,,,
2020-12-31,15023,Cee,7546,22,,,291.545189504373,,,,,,,,
2021-01-01,15023,Cee,7546,20,,,265.041081367612,,,,,,,,
2021-01-02,15023,Cee,7546,21,,,278.293135435993,,,,,,,,
2021-01-03,15023,Cee,7546,19,,,251.789027299231,,,,,,,,
2021-01-04,15023,Cee,7546,19,,,251.789027299231,,,,,,,,
2021-01-05,15023,Cee,7546,20,,,265.041081367612,,,,,,,,
2021-01-06,15023,Cee,7546,27,,,357.805459846276,,,,,,,,
2021-01-07,15023,Cee,7546,28,,,371.057513914657,,,,,,,,
2021-01-08,15023,Cee,7546,26,,,344.553405777896,,,,,,,,
2021-01-09,15023,Cee,7546,31,,,410.813676119799,,,,,,,,
2021-01-10,15023,Cee,7546,42,,,556.586270871985,,,,,,,,
2021-01-11,15023,Cee,7546,42,,,556.586270871985,,,,,,,,
2021-01-12,15023,Cee,7546,41,,,543.334216803605,,,,,,,,
2021-01-13,15023,Cee,7546,37,,,490.326000530082,,,,,,,,
2021-01-14,15023,Cee,7546,37,,,490.326000530082,,,,,,,,
2021-01-15,15023,Cee,7546,38,,,503.578054598463,,,,,,,,
2021-01-16,15023,Cee,7546,47,,,622.846541213888,,,,,,,,
2021-01-17,15023,Cee,7546,57,,,755.367081897694,,,,,,,,
2021-01-18,15023,Cee,7546,62,,,821.627352239597,,,,,,,,
2021-01-19,15023,Cee,7546,60,,,795.123244102836,,,,,,,,
2021-01-20,15023,Cee,7546,54,,,715.610919692552,,,,,,,,
2021-01-21,15023,Cee,7546,57,,,755.367081897694,,,,,,,,
2021-01-22,15023,Cee,7546,59,,,781.871190034455,,,,,,,,
2021-01-23,15023,Cee,7546,54,,,715.610919692552,,,,,,,,
2021-01-24,15023,Cee,7546,45,,,596.342433077127,,,,,,,,
2021-01-25,15023,Cee,7546,46,,,609.594487145508,,,,,,,,
2021-01-26,15023,Cee,7546,46,,,609.594487145508,,,,,,,,
2021-01-27,15023,Cee,7546,47,,,622.846541213888,,,,,,,,
2021-01-28,15023,Cee,7546,51,,,675.854757487411,,,,,,,,
2021-01-29,15023,Cee,7546,59,,,781.871190034455,,,,,,,,
2021-01-30,15023,Cee,7546,54,,,715.610919692552,,,,,,,,
2021-01-31,15023,Cee,7546,49,,,649.350649350649,,,,,,,,
2021-02-01,15023,Cee,7546,47,,,622.846541213888,,,,,,,,
2021-02-02,15023,Cee,7546,47,,,622.846541213888,,,,,,,,
2021-02-03,15023,Cee,7546,47,,,622.846541213888,,,,,,,,
2021-02-04,15023,Cee,7546,46,,,609.594487145508,,,,,,,,
2021-02-05,15023,Cee,7546,45,,,596.342433077127,,,,,,,,
2021-02-06,15023,Cee,7546,47,,,622.846541213888,,,,,,,,
2021-02-07,15023,Cee,7546,48,,,636.098595282269,,,,,,,,
2021-02-08,15023,Cee,7546,48,,,636.098595282269,,,,,,,,
2021-02-09,15023,Cee,7546,48,,,636.098595282269,,,,,,,,
2021-02-10,15023,Cee,7546,46,,,609.594487145508,,,,,,,,
2021-02-11,15023,Cee,7546,44,,,583.090379008746,,,,,,,,
2021-02-12,15023,Cee,7546,36,,,477.073946461702,,,,,,,,
2021-02-13,15023,Cee,7546,31,,,410.813676119799,,,,,,,,
2021-02-14,15023,Cee,7546,26,,,344.553405777896,,,,,,,,
2021-02-15,15023,Cee,7546,25,,,331.301351709515,,,,,,,,
2021-02-16,15023,Cee,7546,25,,,331.301351709515,,,,,,,,
2021-02-17,15023,Cee,7546,24,,,318.049297641134,,,,,,,,
2021-02-18,15023,Cee,7546,21,,,278.293135435993,,,,,,,,
2021-02-19,15023,Cee,7546,20,,,265.041081367612,,,,,,,,
2021-02-20,15023,Cee,7546,17,,,225.28491916247,,,,,,,,
2021-02-21,15023,Cee,7546,14,,,185.528756957328,,,,,,,,
2021-02-22,15023,Cee,7546,12,,,159.024648820567,,,,,,,,
2021-02-23,15023,Cee,7546,12,,,159.024648820567,,,,,,,,
2021-02-24,15023,Cee,7546,11,,,145.772594752187,,,,,,,,
2021-02-25,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2021-02-26,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2021-02-27,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2021-02-28,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2021-03-01,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,,,,,
2021-03-02,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-03,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-04,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-05,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-06,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,0,,,0,,
2021-03-07,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,0,,,0,,
2021-03-08,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,0,,,0,,
2021-03-09,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,0,,,0,,
2021-03-10,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-11,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-12,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-13,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-14,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-15,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-16,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,,1,9,,13.2520540683806,119.268486615425
2021-03-17,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,0,,,0,,
2021-03-18,15023,Cee,7546,,1,9,,13.2520540683806,119.268486615425,0,,,0,,
