fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Celanova,5649,,
2020-11-22,Celanova,5649,,
2020-11-23,Celanova,5649,,
2020-11-24,Celanova,5649,,
2020-11-25,Celanova,5649,,
2020-11-26,Celanova,5649,,
2020-11-27,Celanova,5649,,
2020-11-28,Celanova,5649,,
2020-11-29,Celanova,5649,,
2020-11-30,Celanova,5649,,
2020-12-01,Celanova,5649,,
2020-12-02,Celanova,5649,,
2020-12-03,Celanova,5649,,
2020-12-04,Celanova,5649,,
2020-12-05,Celanova,5649,,
2020-12-06,Celanova,5649,,
2020-12-07,Celanova,5649,,
2020-12-08,Celanova,5649,,
2020-12-09,Celanova,5649,,
2020-12-10,Celanova,5649,,
2020-12-11,Celanova,5649,,
2020-12-12,Celanova,5649,,
2020-12-13,Celanova,5649,,
2020-12-14,Celanova,5649,,
2020-12-15,Celanova,5649,,
2020-12-16,Celanova,5649,,
2020-12-17,Celanova,5649,,
2020-12-18,Celanova,5649,,
2020-12-19,Celanova,5649,,
2020-12-20,Celanova,5649,,
2020-12-21,Celanova,5649,,
2020-12-22,Celanova,5649,,
2020-12-23,Celanova,5649,,
2020-12-24,Celanova,5649,,
2020-12-25,Celanova,5649,,
2020-12-26,Celanova,5649,,
2020-12-27,Celanova,5649,,
2020-12-28,Celanova,5649,,
2020-12-29,Celanova,5649,,
2020-12-30,Celanova,5649,,
2020-12-31,Celanova,5649,,
2021-01-01,Celanova,5649,,
2021-01-02,Celanova,5649,,
2021-01-03,Celanova,5649,,
2021-01-04,Celanova,5649,,
2021-01-05,Celanova,5649,,
2021-01-06,Celanova,5649,,
2021-01-07,Celanova,5649,11,
2021-01-08,Celanova,5649,11,
2021-01-09,Celanova,5649,11,
2021-01-10,Celanova,5649,12,
2021-01-11,Celanova,5649,16,
2021-01-12,Celanova,5649,18,
2021-01-13,Celanova,5649,20,
2021-01-14,Celanova,5649,23,
2021-01-15,Celanova,5649,27,
2021-01-16,Celanova,5649,30,
2021-01-17,Celanova,5649,34,
2021-01-18,Celanova,5649,39,
2021-01-19,Celanova,5649,41,
2021-01-20,Celanova,5649,46,
2021-01-21,Celanova,5649,42,
2021-01-22,Celanova,5649,46,
2021-01-23,Celanova,5649,51,
2021-01-24,Celanova,5649,59,
2021-01-25,Celanova,5649,59,
2021-01-26,Celanova,5649,65,
2021-01-27,Celanova,5649,66,
2021-01-28,Celanova,5649,65,
2021-01-29,Celanova,5649,68,
2021-01-30,Celanova,5649,67,
2021-01-31,Celanova,5649,68,
2021-02-01,Celanova,5649,65,
2021-02-02,Celanova,5649,68,
2021-02-03,Celanova,5649,63,
2021-02-04,Celanova,5649,62,
2021-02-05,Celanova,5649,59,
2021-02-06,Celanova,5649,54,
2021-02-07,Celanova,5649,45,
2021-02-08,Celanova,5649,41,
2021-02-09,Celanova,5649,35,
2021-02-10,Celanova,5649,33,
2021-02-11,Celanova,5649,34,
2021-02-12,Celanova,5649,32,
2021-02-13,Celanova,5649,30,
2021-02-14,Celanova,5649,27,
2021-02-15,Celanova,5649,27,
2021-02-16,Celanova,5649,24,
