fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cervantes,1338,,
2020-11-22,Cervantes,1338,0,
2020-11-23,Cervantes,1338,0,
2020-11-24,Cervantes,1338,0,
2020-11-25,Cervantes,1338,0,
2020-11-26,Cervantes,1338,0,
2020-11-27,Cervantes,1338,0,
2020-11-28,Cervantes,1338,0,
2020-11-29,Cervantes,1338,0,
2020-11-30,Cervantes,1338,0,
2020-12-01,Cervantes,1338,0,
2020-12-02,Cervantes,1338,0,
2020-12-03,Cervantes,1338,0,
2020-12-04,Cervantes,1338,0,
2020-12-05,Cervantes,1338,0,
2020-12-06,Cervantes,1338,0,
2020-12-07,Cervantes,1338,0,
2020-12-08,Cervantes,1338,0,
2020-12-09,Cervantes,1338,0,
2020-12-10,Cervantes,1338,0,
2020-12-11,Cervantes,1338,0,
2020-12-12,Cervantes,1338,0,
2020-12-13,Cervantes,1338,0,
2020-12-14,Cervantes,1338,0,
2020-12-15,Cervantes,1338,0,
2020-12-16,Cervantes,1338,0,
2020-12-17,Cervantes,1338,0,
2020-12-18,Cervantes,1338,0,
2020-12-19,Cervantes,1338,0,
2020-12-20,Cervantes,1338,0,
2020-12-21,Cervantes,1338,0,
2020-12-22,Cervantes,1338,0,
2020-12-23,Cervantes,1338,0,
2020-12-24,Cervantes,1338,0,
2020-12-25,Cervantes,1338,0,
2020-12-26,Cervantes,1338,0,
2020-12-27,Cervantes,1338,0,
2020-12-28,Cervantes,1338,0,
2020-12-29,Cervantes,1338,0,
2020-12-30,Cervantes,1338,0,
2020-12-31,Cervantes,1338,0,
2021-01-01,Cervantes,1338,0,
2021-01-02,Cervantes,1338,0,
2021-01-03,Cervantes,1338,0,
2021-01-04,Cervantes,1338,0,
2021-01-05,Cervantes,1338,0,
2021-01-06,Cervantes,1338,0,
2021-01-07,Cervantes,1338,0,
2021-01-08,Cervantes,1338,0,
2021-01-09,Cervantes,1338,0,
2021-01-10,Cervantes,1338,0,
2021-01-11,Cervantes,1338,0,
2021-01-12,Cervantes,1338,0,
2021-01-13,Cervantes,1338,0,
2021-01-14,Cervantes,1338,0,
2021-01-15,Cervantes,1338,0,
2021-01-16,Cervantes,1338,0,
2021-01-17,Cervantes,1338,0,
2021-01-18,Cervantes,1338,0,
2021-01-19,Cervantes,1338,0,
2021-01-20,Cervantes,1338,0,
2021-01-21,Cervantes,1338,0,
2021-01-22,Cervantes,1338,0,
2021-01-23,Cervantes,1338,0,
2021-01-24,Cervantes,1338,0,
2021-01-25,Cervantes,1338,0,
2021-01-26,Cervantes,1338,0,
2021-01-27,Cervantes,1338,0,
2021-01-28,Cervantes,1338,0,
2021-01-29,Cervantes,1338,,
2021-01-30,Cervantes,1338,,
2021-01-31,Cervantes,1338,,
2021-02-01,Cervantes,1338,,
2021-02-02,Cervantes,1338,,
2021-02-03,Cervantes,1338,,
2021-02-04,Cervantes,1338,,
2021-02-05,Cervantes,1338,,
2021-02-06,Cervantes,1338,,
2021-02-07,Cervantes,1338,,
2021-02-08,Cervantes,1338,,
2021-02-09,Cervantes,1338,,
2021-02-10,Cervantes,1338,,
2021-02-11,Cervantes,1338,,
2021-02-12,Cervantes,1338,,
2021-02-13,Cervantes,1338,,
2021-02-14,Cervantes,1338,,
2021-02-15,Cervantes,1338,,
2021-02-16,Cervantes,1338,,
2021-02-17,Cervantes,1338,,
2021-02-18,Cervantes,1338,,
2021-02-19,Cervantes,1338,,
2021-02-20,Cervantes,1338,0,
2021-02-21,Cervantes,1338,0,
2021-02-22,Cervantes,1338,0,
2021-02-23,Cervantes,1338,0,
2021-02-24,Cervantes,1338,0,
2021-02-25,Cervantes,1338,0,
2021-02-26,Cervantes,1338,0,
2021-02-27,Cervantes,1338,0,
2021-02-28,Cervantes,1338,0,
2021-03-01,Cervantes,1338,0,
2021-03-02,Cervantes,1338,0,0
2021-03-03,Cervantes,1338,0,0
2021-03-04,Cervantes,1338,0,0
2021-03-05,Cervantes,1338,0,0
2021-03-06,Cervantes,1338,0,0
2021-03-07,Cervantes,1338,0,0
2021-03-08,Cervantes,1338,0,0
2021-03-09,Cervantes,1338,0,0
2021-03-10,Cervantes,1338,0,0
2021-03-11,Cervantes,1338,0,0
2021-03-12,Cervantes,1338,0,0
2021-03-13,Cervantes,1338,0,0
2021-03-14,Cervantes,1338,0,0
2021-03-15,Cervantes,1338,0,0
2021-03-16,Cervantes,1338,0,0
2021-03-17,Cervantes,1338,0,0
2021-03-18,Cervantes,1338,0,0
2021-03-19,Cervantes,1338,0,0
2021-03-20,Cervantes,1338,0,0
2021-03-21,Cervantes,1338,0,0
2021-03-22,Cervantes,1338,0,0
2021-03-23,Cervantes,1338,0,0
2021-03-24,Cervantes,1338,0,0
2021-03-25,Cervantes,1338,0,0
2021-03-26,Cervantes,1338,0,0
2021-03-27,Cervantes,1338,0,0
2021-03-28,Cervantes,1338,0,0
2021-03-29,Cervantes,1338,0,0
2021-03-30,Cervantes,1338,0,0
2021-03-31,Cervantes,1338,0,0
2021-04-01,Cervantes,1338,0,0
2021-04-02,Cervantes,1338,0,0
2021-04-03,Cervantes,1338,0,0
2021-04-04,Cervantes,1338,0,0
2021-04-05,Cervantes,1338,0,0
2021-04-06,Cervantes,1338,0,0
2021-04-07,Cervantes,1338,0,0
2021-04-08,Cervantes,1338,0,0
2021-04-09,Cervantes,1338,0,0
2021-04-10,Cervantes,1338,0,0
2021-04-11,Cervantes,1338,0,0
2021-04-12,Cervantes,1338,0,0
2021-04-13,Cervantes,1338,0,0
2021-04-14,Cervantes,1338,0,0
2021-04-15,Cervantes,1338,0,0
2021-04-16,Cervantes,1338,0,0
2021-04-17,Cervantes,1338,0,0
2021-04-18,Cervantes,1338,0,0
2021-04-19,Cervantes,1338,0,0
2021-04-20,Cervantes,1338,0,0
2021-04-21,Cervantes,1338,,
2021-04-22,Cervantes,1338,,
2021-04-23,Cervantes,1338,,
2021-04-24,Cervantes,1338,,
2021-04-25,Cervantes,1338,,
2021-04-26,Cervantes,1338,,
2021-04-27,Cervantes,1338,,
2021-04-28,Cervantes,1338,,
2021-04-29,Cervantes,1338,,
2021-04-30,Cervantes,1338,,0
2021-05-01,Cervantes,1338,,0
2021-05-02,Cervantes,1338,,0
2021-05-03,Cervantes,1338,,0
2021-05-04,Cervantes,1338,,
2021-05-05,Cervantes,1338,,
2021-05-06,Cervantes,1338,,
2021-05-07,Cervantes,1338,,
2021-05-08,Cervantes,1338,,
2021-05-09,Cervantes,1338,,
2021-05-10,Cervantes,1338,,
2021-05-11,Cervantes,1338,,0
2021-05-12,Cervantes,1338,,0
2021-05-13,Cervantes,1338,,0
2021-05-14,Cervantes,1338,,0
2021-05-15,Cervantes,1338,,0
2021-05-16,Cervantes,1338,,0
2021-05-17,Cervantes,1338,,0
2021-05-18,Cervantes,1338,0,0
2021-05-19,Cervantes,1338,0,0
2021-05-20,Cervantes,1338,0,0
2021-05-21,Cervantes,1338,0,0
2021-05-22,Cervantes,1338,0,0
2021-05-23,Cervantes,1338,0,0
2021-05-24,Cervantes,1338,0,0
2021-05-25,Cervantes,1338,0,0
2021-05-26,Cervantes,1338,0,0
2021-05-27,Cervantes,1338,0,0
2021-05-28,Cervantes,1338,0,0
2021-05-29,Cervantes,1338,0,0
2021-05-30,Cervantes,1338,0,0
2021-05-31,Cervantes,1338,0,0
2021-06-01,Cervantes,1338,0,0
2021-06-02,Cervantes,1338,0,0
2021-06-03,Cervantes,1338,0,0
2021-06-04,Cervantes,1338,0,0
2021-06-05,Cervantes,1338,0,0
2021-06-06,Cervantes,1338,0,0
2021-06-07,Cervantes,1338,0,0
2021-06-08,Cervantes,1338,0,0
2021-06-09,Cervantes,1338,0,0
2021-06-10,Cervantes,1338,0,0
2021-06-11,Cervantes,1338,0,0
2021-06-12,Cervantes,1338,0,0
2021-06-13,Cervantes,1338,0,0
2021-06-14,Cervantes,1338,0,0
2021-06-15,Cervantes,1338,0,0
2021-06-16,Cervantes,1338,0,0
2021-06-17,Cervantes,1338,0,0
2021-06-18,Cervantes,1338,0,0
2021-06-19,Cervantes,1338,0,0
2021-06-20,Cervantes,1338,0,0
2021-06-21,Cervantes,1338,0,0
2021-06-22,Cervantes,1338,0,0
2021-06-23,Cervantes,1338,0,0
2021-06-24,Cervantes,1338,0,0
2021-06-25,Cervantes,1338,0,0
2021-06-26,Cervantes,1338,0,0
2021-06-27,Cervantes,1338,0,0
2021-06-28,Cervantes,1338,0,0
2021-06-29,Cervantes,1338,0,0
2021-06-30,Cervantes,1338,0,0
2021-07-01,Cervantes,1338,0,0
2021-07-02,Cervantes,1338,0,0
2021-07-03,Cervantes,1338,0,0
2021-07-04,Cervantes,1338,0,0
2021-07-05,Cervantes,1338,0,0
2021-07-06,Cervantes,1338,0,0
