fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cervo,4227,14,
2020-11-22,Cervo,4227,14,
2020-11-23,Cervo,4227,14,
2020-11-24,Cervo,4227,15,
2020-11-25,Cervo,4227,15,
2020-11-26,Cervo,4227,15,
2020-11-27,Cervo,4227,15,
2020-11-28,Cervo,4227,13,
2020-11-29,Cervo,4227,12,
2020-11-30,Cervo,4227,11,
2020-12-01,Cervo,4227,10,
2020-12-02,Cervo,4227,,
2020-12-03,Cervo,4227,,
2020-12-04,Cervo,4227,,
2020-12-05,Cervo,4227,,
2020-12-06,Cervo,4227,10,
2020-12-07,Cervo,4227,,
2020-12-08,Cervo,4227,,
2020-12-09,Cervo,4227,,
2020-12-10,Cervo,4227,,
2020-12-11,Cervo,4227,,
2020-12-12,Cervo,4227,,
2020-12-13,Cervo,4227,,
2020-12-14,Cervo,4227,,
2020-12-15,Cervo,4227,,
2020-12-16,Cervo,4227,,
2020-12-17,Cervo,4227,,
2020-12-18,Cervo,4227,,
2020-12-19,Cervo,4227,,
2020-12-20,Cervo,4227,0,
2020-12-21,Cervo,4227,,
2020-12-22,Cervo,4227,,
2020-12-23,Cervo,4227,,
2020-12-24,Cervo,4227,,
2020-12-25,Cervo,4227,,
2020-12-26,Cervo,4227,,
2020-12-27,Cervo,4227,,
2020-12-28,Cervo,4227,,
2020-12-29,Cervo,4227,,
2020-12-30,Cervo,4227,,
2020-12-31,Cervo,4227,,
2021-01-01,Cervo,4227,10,
2021-01-02,Cervo,4227,10,
2021-01-03,Cervo,4227,10,
2021-01-04,Cervo,4227,,
2021-01-05,Cervo,4227,11,
2021-01-06,Cervo,4227,10,
2021-01-07,Cervo,4227,12,
2021-01-08,Cervo,4227,12,
2021-01-09,Cervo,4227,14,
2021-01-10,Cervo,4227,18,
2021-01-11,Cervo,4227,18,
2021-01-12,Cervo,4227,18,
2021-01-13,Cervo,4227,18,
2021-01-14,Cervo,4227,18,
2021-01-15,Cervo,4227,18,
2021-01-16,Cervo,4227,21,
2021-01-17,Cervo,4227,21,
2021-01-18,Cervo,4227,22,
2021-01-19,Cervo,4227,21,
2021-01-20,Cervo,4227,24,
2021-01-21,Cervo,4227,23,
2021-01-22,Cervo,4227,23,
2021-01-23,Cervo,4227,21,
2021-01-24,Cervo,4227,17,
2021-01-25,Cervo,4227,18,
2021-01-26,Cervo,4227,22,
2021-01-27,Cervo,4227,22,
2021-01-28,Cervo,4227,19,
2021-01-29,Cervo,4227,17,
2021-01-30,Cervo,4227,17,
2021-01-31,Cervo,4227,17,
2021-02-01,Cervo,4227,17,
2021-02-02,Cervo,4227,15,
2021-02-03,Cervo,4227,13,
2021-02-04,Cervo,4227,12,
2021-02-05,Cervo,4227,12,
2021-02-06,Cervo,4227,12,
2021-02-07,Cervo,4227,12,
2021-02-08,Cervo,4227,11,
2021-02-09,Cervo,4227,,
2021-02-10,Cervo,4227,,
2021-02-11,Cervo,4227,,
2021-02-12,Cervo,4227,,
2021-02-13,Cervo,4227,,
2021-02-14,Cervo,4227,,
2021-02-15,Cervo,4227,,
2021-02-16,Cervo,4227,,
2021-02-17,Cervo,4227,0,
2021-02-18,Cervo,4227,,
2021-02-19,Cervo,4227,,
2021-02-20,Cervo,4227,,
2021-02-21,Cervo,4227,,
2021-02-22,Cervo,4227,,
