fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,"Chandrexa de Queixa",456,0,
2020-11-22,"Chandrexa de Queixa",456,0,
2020-11-23,"Chandrexa de Queixa",456,0,
2020-11-24,"Chandrexa de Queixa",456,0,
2020-11-25,"Chandrexa de Queixa",456,0,
2020-11-26,"Chandrexa de Queixa",456,0,
2020-11-27,"Chandrexa de Queixa",456,0,
2020-11-28,"Chandrexa de Queixa",456,0,
2020-11-29,"Chandrexa de Queixa",456,0,
2020-11-30,"Chandrexa de Queixa",456,0,
2020-12-01,"Chandrexa de Queixa",456,0,
2020-12-02,"Chandrexa de Queixa",456,0,
2020-12-03,"Chandrexa de Queixa",456,0,
2020-12-04,"Chandrexa de Queixa",456,0,
2020-12-05,"Chandrexa de Queixa",456,0,
2020-12-06,"Chandrexa de Queixa",456,0,
2020-12-07,"Chandrexa de Queixa",456,0,
2020-12-08,"Chandrexa de Queixa",456,0,
2020-12-09,"Chandrexa de Queixa",456,0,
2020-12-10,"Chandrexa de Queixa",456,0,
2020-12-11,"Chandrexa de Queixa",456,0,
2020-12-12,"Chandrexa de Queixa",456,0,
2020-12-13,"Chandrexa de Queixa",456,0,
2020-12-14,"Chandrexa de Queixa",456,0,
2020-12-15,"Chandrexa de Queixa",456,0,
2020-12-16,"Chandrexa de Queixa",456,0,
2020-12-17,"Chandrexa de Queixa",456,0,
2020-12-18,"Chandrexa de Queixa",456,0,
2020-12-19,"Chandrexa de Queixa",456,0,
2020-12-20,"Chandrexa de Queixa",456,0,
2020-12-21,"Chandrexa de Queixa",456,0,
2020-12-22,"Chandrexa de Queixa",456,0,
2020-12-23,"Chandrexa de Queixa",456,0,
2020-12-24,"Chandrexa de Queixa",456,0,
2020-12-25,"Chandrexa de Queixa",456,0,
2020-12-26,"Chandrexa de Queixa",456,0,
2020-12-27,"Chandrexa de Queixa",456,0,
2020-12-28,"Chandrexa de Queixa",456,0,
2020-12-29,"Chandrexa de Queixa",456,0,
2020-12-30,"Chandrexa de Queixa",456,0,
2020-12-31,"Chandrexa de Queixa",456,0,
2021-01-01,"Chandrexa de Queixa",456,0,
2021-01-02,"Chandrexa de Queixa",456,0,
2021-01-03,"Chandrexa de Queixa",456,0,
2021-01-04,"Chandrexa de Queixa",456,0,
2021-01-05,"Chandrexa de Queixa",456,0,
2021-01-06,"Chandrexa de Queixa",456,0,
2021-01-07,"Chandrexa de Queixa",456,0,
2021-01-08,"Chandrexa de Queixa",456,0,
2021-01-09,"Chandrexa de Queixa",456,0,
2021-01-10,"Chandrexa de Queixa",456,0,
2021-01-11,"Chandrexa de Queixa",456,,
2021-01-12,"Chandrexa de Queixa",456,,
2021-01-13,"Chandrexa de Queixa",456,,
2021-01-14,"Chandrexa de Queixa",456,,
2021-01-15,"Chandrexa de Queixa",456,,
