fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Chantada,8192,46,
2020-11-22,Chantada,8192,40,
2020-11-23,Chantada,8192,38,
2020-11-24,Chantada,8192,31,
2020-11-25,Chantada,8192,26,
2020-11-26,Chantada,8192,23,
2020-11-27,Chantada,8192,22,
2020-11-28,Chantada,8192,20,
2020-11-29,Chantada,8192,18,
2020-11-30,Chantada,8192,15,
2020-12-01,Chantada,8192,18,
2020-12-02,Chantada,8192,17,
2020-12-03,Chantada,8192,15,
2020-12-04,Chantada,8192,18,
2020-12-05,Chantada,8192,17,
2020-12-06,Chantada,8192,23,
2020-12-07,Chantada,8192,20,
2020-12-08,Chantada,8192,19,
2020-12-09,Chantada,8192,20,
2020-12-10,Chantada,8192,19,
2020-12-11,Chantada,8192,21,
2020-12-12,Chantada,8192,20,
2020-12-13,Chantada,8192,19,
2020-12-14,Chantada,8192,19,
2020-12-15,Chantada,8192,15,
2020-12-16,Chantada,8192,15,
2020-12-17,Chantada,8192,16,
2020-12-18,Chantada,8192,14,
2020-12-19,Chantada,8192,14,
2020-12-20,Chantada,8192,,
2020-12-21,Chantada,8192,,
2020-12-22,Chantada,8192,,
2020-12-23,Chantada,8192,,
2020-12-24,Chantada,8192,,
2020-12-25,Chantada,8192,,
2020-12-26,Chantada,8192,,
2020-12-27,Chantada,8192,,
2020-12-28,Chantada,8192,,
2020-12-29,Chantada,8192,,
2020-12-30,Chantada,8192,,
2020-12-31,Chantada,8192,,
2021-01-01,Chantada,8192,,
2021-01-02,Chantada,8192,,
2021-01-03,Chantada,8192,11,
2021-01-04,Chantada,8192,11,
2021-01-05,Chantada,8192,11,
2021-01-06,Chantada,8192,11,
2021-01-07,Chantada,8192,16,
2021-01-08,Chantada,8192,16,
2021-01-09,Chantada,8192,16,
2021-01-10,Chantada,8192,16,
2021-01-11,Chantada,8192,16,
2021-01-12,Chantada,8192,18,
2021-01-13,Chantada,8192,19,
2021-01-14,Chantada,8192,22,
2021-01-15,Chantada,8192,22,
2021-01-16,Chantada,8192,26,
2021-01-17,Chantada,8192,27,
2021-01-18,Chantada,8192,29,
2021-01-19,Chantada,8192,28,
2021-01-20,Chantada,8192,28,
2021-01-21,Chantada,8192,25,
2021-01-22,Chantada,8192,25,
2021-01-23,Chantada,8192,24,
2021-01-24,Chantada,8192,33,
2021-01-25,Chantada,8192,36,
2021-01-26,Chantada,8192,35,
2021-01-27,Chantada,8192,43,
2021-01-28,Chantada,8192,48,
2021-01-29,Chantada,8192,52,
2021-01-30,Chantada,8192,53,
2021-01-31,Chantada,8192,51,
2021-02-01,Chantada,8192,52,
2021-02-02,Chantada,8192,51,
2021-02-03,Chantada,8192,51,
2021-02-04,Chantada,8192,49,
2021-02-05,Chantada,8192,49,
2021-02-06,Chantada,8192,47,
2021-02-07,Chantada,8192,38,
2021-02-08,Chantada,8192,34,
2021-02-09,Chantada,8192,34,
2021-02-10,Chantada,8192,25,
2021-02-11,Chantada,8192,18,
2021-02-12,Chantada,8192,14,
2021-02-13,Chantada,8192,,
2021-02-14,Chantada,8192,,
2021-02-15,Chantada,8192,,
2021-02-16,Chantada,8192,,
2021-02-17,Chantada,8192,,
2021-02-18,Chantada,8192,,
2021-02-19,Chantada,8192,,
2021-02-20,Chantada,8192,,
2021-02-21,Chantada,8192,,
2021-02-22,Chantada,8192,,
2021-02-23,Chantada,8192,0,
2021-02-24,Chantada,8192,0,
2021-02-25,Chantada,8192,,
2021-02-26,Chantada,8192,,
2021-02-27,Chantada,8192,,
2021-02-28,Chantada,8192,,
2021-03-01,Chantada,8192,,
2021-03-02,Chantada,8192,,
2021-03-03,Chantada,8192,,
2021-03-04,Chantada,8192,,
2021-03-05,Chantada,8192,,
2021-03-06,Chantada,8192,,
2021-03-07,Chantada,8192,10,
2021-03-08,Chantada,8192,10,
2021-03-09,Chantada,8192,13,11
2021-03-10,Chantada,8192,13,
2021-03-11,Chantada,8192,14,
2021-03-12,Chantada,8192,14,
2021-03-13,Chantada,8192,14,
2021-03-14,Chantada,8192,13,
2021-03-15,Chantada,8192,13,
2021-03-16,Chantada,8192,13,
2021-03-17,Chantada,8192,12,
2021-03-18,Chantada,8192,11,
2021-03-19,Chantada,8192,11,
2021-03-20,Chantada,8192,10,
2021-03-21,Chantada,8192,,
2021-03-22,Chantada,8192,,
2021-03-23,Chantada,8192,,
2021-03-24,Chantada,8192,,0
2021-03-25,Chantada,8192,,0
2021-03-26,Chantada,8192,,0
2021-03-27,Chantada,8192,,0
2021-03-28,Chantada,8192,,0
2021-03-29,Chantada,8192,,
2021-03-30,Chantada,8192,,
2021-03-31,Chantada,8192,,
2021-04-01,Chantada,8192,,
2021-04-02,Chantada,8192,,
2021-04-03,Chantada,8192,,
2021-04-04,Chantada,8192,,
2021-04-05,Chantada,8192,,0
2021-04-06,Chantada,8192,,0
2021-04-07,Chantada,8192,,0
2021-04-08,Chantada,8192,,0
2021-04-09,Chantada,8192,,
2021-04-10,Chantada,8192,,
2021-04-11,Chantada,8192,,
2021-04-12,Chantada,8192,,
