fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Coirós,1824,,
2020-11-22,Coirós,1824,,
2020-11-23,Coirós,1824,,
2020-11-24,Coirós,1824,,
2020-11-25,Coirós,1824,,
2020-11-26,Coirós,1824,,
2020-11-27,Coirós,1824,,
2020-11-28,Coirós,1824,,
2020-11-29,Coirós,1824,,
2020-11-30,Coirós,1824,,
2020-12-01,Coirós,1824,,
2020-12-02,Coirós,1824,,
2020-12-03,Coirós,1824,,
2020-12-04,Coirós,1824,,
2020-12-05,Coirós,1824,,
2020-12-06,Coirós,1824,,
2020-12-07,Coirós,1824,,
2020-12-08,Coirós,1824,,
2020-12-09,Coirós,1824,,
2020-12-10,Coirós,1824,,
2020-12-11,Coirós,1824,,
2020-12-12,Coirós,1824,,
2020-12-13,Coirós,1824,,
2020-12-14,Coirós,1824,,
2020-12-15,Coirós,1824,,
2020-12-16,Coirós,1824,,
2020-12-17,Coirós,1824,,
2020-12-18,Coirós,1824,,
2020-12-19,Coirós,1824,,
2020-12-20,Coirós,1824,,
2020-12-21,Coirós,1824,,
2020-12-22,Coirós,1824,,
2020-12-23,Coirós,1824,,
2020-12-24,Coirós,1824,,
2020-12-25,Coirós,1824,,
2020-12-26,Coirós,1824,,
2020-12-27,Coirós,1824,,
2020-12-28,Coirós,1824,,
2020-12-29,Coirós,1824,,
2020-12-30,Coirós,1824,,
2020-12-31,Coirós,1824,,
2021-01-01,Coirós,1824,,
2021-01-02,Coirós,1824,,
2021-01-03,Coirós,1824,,
2021-01-04,Coirós,1824,,
2021-01-05,Coirós,1824,,
2021-01-06,Coirós,1824,,
2021-01-07,Coirós,1824,,
2021-01-08,Coirós,1824,,
2021-01-09,Coirós,1824,,
2021-01-10,Coirós,1824,,
2021-01-11,Coirós,1824,,
2021-01-12,Coirós,1824,,
2021-01-13,Coirós,1824,0,
2021-01-14,Coirós,1824,,
2021-01-15,Coirós,1824,,
2021-01-16,Coirós,1824,,
2021-01-17,Coirós,1824,,
2021-01-18,Coirós,1824,,
2021-01-19,Coirós,1824,,
2021-01-20,Coirós,1824,,
2021-01-21,Coirós,1824,,
2021-01-22,Coirós,1824,10,
