fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Coles,3050,,
2020-11-22,Coles,3050,,
2020-11-23,Coles,3050,,
2020-11-24,Coles,3050,,
2020-11-25,Coles,3050,,
2020-11-26,Coles,3050,,
2020-11-27,Coles,3050,,
2020-11-28,Coles,3050,,
2020-11-29,Coles,3050,,
2020-11-30,Coles,3050,,
2020-12-01,Coles,3050,,
2020-12-02,Coles,3050,,
2020-12-03,Coles,3050,,
2020-12-04,Coles,3050,,
2020-12-05,Coles,3050,,
2020-12-06,Coles,3050,0,
2020-12-07,Coles,3050,0,
2020-12-08,Coles,3050,0,
2020-12-09,Coles,3050,0,
2020-12-10,Coles,3050,0,
2020-12-11,Coles,3050,0,
2020-12-12,Coles,3050,,
2020-12-13,Coles,3050,,
2020-12-14,Coles,3050,,
2020-12-15,Coles,3050,,
2020-12-16,Coles,3050,,
2020-12-17,Coles,3050,,
2020-12-18,Coles,3050,,
2020-12-19,Coles,3050,,
2020-12-20,Coles,3050,,
2020-12-21,Coles,3050,,
2020-12-22,Coles,3050,,
2020-12-23,Coles,3050,,
2020-12-24,Coles,3050,,
2020-12-25,Coles,3050,11,
2020-12-26,Coles,3050,11,
2020-12-27,Coles,3050,13,
2020-12-28,Coles,3050,13,
2020-12-29,Coles,3050,14,
2020-12-30,Coles,3050,14,
2020-12-31,Coles,3050,12,
2021-01-01,Coles,3050,12,
2021-01-02,Coles,3050,12,
2021-01-03,Coles,3050,12,
2021-01-04,Coles,3050,12,
2021-01-05,Coles,3050,,
2021-01-06,Coles,3050,11,
2021-01-07,Coles,3050,11,
2021-01-08,Coles,3050,,
2021-01-09,Coles,3050,10,
2021-01-10,Coles,3050,,
2021-01-11,Coles,3050,10,
2021-01-12,Coles,3050,14,
2021-01-13,Coles,3050,17,
2021-01-14,Coles,3050,23,
2021-01-15,Coles,3050,28,
2021-01-16,Coles,3050,31,
2021-01-17,Coles,3050,33,
2021-01-18,Coles,3050,33,
2021-01-19,Coles,3050,34,
2021-01-20,Coles,3050,32,
2021-01-21,Coles,3050,36,
2021-01-22,Coles,3050,40,
2021-01-23,Coles,3050,41,
2021-01-24,Coles,3050,42,
2021-01-25,Coles,3050,44,
2021-01-26,Coles,3050,44,
2021-01-27,Coles,3050,41,
2021-01-28,Coles,3050,39,
2021-01-29,Coles,3050,37,
2021-01-30,Coles,3050,38,
2021-01-31,Coles,3050,43,
2021-02-01,Coles,3050,43,
2021-02-02,Coles,3050,45,
2021-02-03,Coles,3050,45,
2021-02-04,Coles,3050,40,
2021-02-05,Coles,3050,33,
2021-02-06,Coles,3050,31,
2021-02-07,Coles,3050,31,
2021-02-08,Coles,3050,30,
2021-02-09,Coles,3050,25,
2021-02-10,Coles,3050,26,
2021-02-11,Coles,3050,24,
2021-02-12,Coles,3050,21,
2021-02-13,Coles,3050,17,
2021-02-14,Coles,3050,10,
2021-02-15,Coles,3050,10,
2021-02-16,Coles,3050,,
2021-02-17,Coles,3050,,
2021-02-18,Coles,3050,,
2021-02-19,Coles,3050,,
2021-02-20,Coles,3050,,
2021-02-21,Coles,3050,,
2021-02-22,Coles,3050,,
2021-02-23,Coles,3050,,
