fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Corcubión,1589,0,
2020-11-22,Corcubión,1589,0,
2020-11-23,Corcubión,1589,0,
2020-11-24,Corcubión,1589,0,
2020-11-25,Corcubión,1589,0,
2020-11-26,Corcubión,1589,0,
2020-11-27,Corcubión,1589,0,
2020-11-28,Corcubión,1589,0,
2020-11-29,Corcubión,1589,0,
2020-11-30,Corcubión,1589,0,
2020-12-01,Corcubión,1589,0,
2020-12-02,Corcubión,1589,0,
2020-12-03,Corcubión,1589,0,
2020-12-04,Corcubión,1589,0,
2020-12-05,Corcubión,1589,0,
2020-12-06,Corcubión,1589,0,
2020-12-07,Corcubión,1589,0,
2020-12-08,Corcubión,1589,0,
2020-12-09,Corcubión,1589,0,
2020-12-10,Corcubión,1589,0,
2020-12-11,Corcubión,1589,0,
2020-12-12,Corcubión,1589,0,
2020-12-13,Corcubión,1589,0,
2020-12-14,Corcubión,1589,0,
2020-12-15,Corcubión,1589,0,
2020-12-16,Corcubión,1589,0,
2020-12-17,Corcubión,1589,,
2020-12-18,Corcubión,1589,,
2020-12-19,Corcubión,1589,,
2020-12-20,Corcubión,1589,,
2020-12-21,Corcubión,1589,,
2020-12-22,Corcubión,1589,,
2020-12-23,Corcubión,1589,,
2020-12-24,Corcubión,1589,,
2020-12-25,Corcubión,1589,,
2020-12-26,Corcubión,1589,,
2020-12-27,Corcubión,1589,,
2020-12-28,Corcubión,1589,,
2020-12-29,Corcubión,1589,,
2020-12-30,Corcubión,1589,,
2020-12-31,Corcubión,1589,,
2021-01-01,Corcubión,1589,,
2021-01-02,Corcubión,1589,,
2021-01-03,Corcubión,1589,,
2021-01-04,Corcubión,1589,,
2021-01-05,Corcubión,1589,,
2021-01-06,Corcubión,1589,,
2021-01-07,Corcubión,1589,,
2021-01-08,Corcubión,1589,,
2021-01-09,Corcubión,1589,,
2021-01-10,Corcubión,1589,,
2021-01-11,Corcubión,1589,,
2021-01-12,Corcubión,1589,,
2021-01-13,Corcubión,1589,,
2021-01-14,Corcubión,1589,,
2021-01-15,Corcubión,1589,10,
2021-01-16,Corcubión,1589,,
2021-01-17,Corcubión,1589,,
2021-01-18,Corcubión,1589,,
2021-01-19,Corcubión,1589,,
2021-01-20,Corcubión,1589,,
2021-01-21,Corcubión,1589,,
2021-01-22,Corcubión,1589,,
2021-01-23,Corcubión,1589,,
2021-01-24,Corcubión,1589,,
2021-01-25,Corcubión,1589,,
2021-01-26,Corcubión,1589,,
2021-01-27,Corcubión,1589,,
2021-01-28,Corcubión,1589,,
2021-01-29,Corcubión,1589,,
2021-01-30,Corcubión,1589,,
2021-01-31,Corcubión,1589,,
2021-02-01,Corcubión,1589,,
2021-02-02,Corcubión,1589,,
2021-02-03,Corcubión,1589,,
2021-02-04,Corcubión,1589,,
2021-02-05,Corcubión,1589,,
2021-02-06,Corcubión,1589,,
2021-02-07,Corcubión,1589,,
2021-02-08,Corcubión,1589,,
2021-02-09,Corcubión,1589,,
2021-02-10,Corcubión,1589,,
