fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Coristanco,6074,76,
2020-11-22,Coristanco,6074,83,
2020-11-23,Coristanco,6074,81,
2020-11-24,Coristanco,6074,80,
2020-11-25,Coristanco,6074,72,
2020-11-26,Coristanco,6074,70,
2020-11-27,Coristanco,6074,67,
2020-11-28,Coristanco,6074,68,
2020-11-29,Coristanco,6074,69,
2020-11-30,Coristanco,6074,71,
2020-12-01,Coristanco,6074,68,
2020-12-02,Coristanco,6074,64,
2020-12-03,Coristanco,6074,51,
2020-12-04,Coristanco,6074,47,
2020-12-05,Coristanco,6074,38,
2020-12-06,Coristanco,6074,28,
2020-12-07,Coristanco,6074,23,
2020-12-08,Coristanco,6074,20,
2020-12-09,Coristanco,6074,20,
2020-12-10,Coristanco,6074,18,
2020-12-11,Coristanco,6074,16,
2020-12-12,Coristanco,6074,15,
2020-12-13,Coristanco,6074,,
2020-12-14,Coristanco,6074,,
2020-12-15,Coristanco,6074,,
2020-12-16,Coristanco,6074,,
2020-12-17,Coristanco,6074,,
2020-12-18,Coristanco,6074,,
2020-12-19,Coristanco,6074,,
2020-12-20,Coristanco,6074,,
2020-12-21,Coristanco,6074,,
2020-12-22,Coristanco,6074,,
2020-12-23,Coristanco,6074,,
2020-12-24,Coristanco,6074,,
2020-12-25,Coristanco,6074,,
2020-12-26,Coristanco,6074,,
2020-12-27,Coristanco,6074,,
2020-12-28,Coristanco,6074,,
2020-12-29,Coristanco,6074,,
2020-12-30,Coristanco,6074,,
2020-12-31,Coristanco,6074,11,
2021-01-01,Coristanco,6074,15,
2021-01-02,Coristanco,6074,16,
2021-01-03,Coristanco,6074,18,
2021-01-04,Coristanco,6074,19,
2021-01-05,Coristanco,6074,22,
2021-01-06,Coristanco,6074,23,
2021-01-07,Coristanco,6074,24,
2021-01-08,Coristanco,6074,26,
2021-01-09,Coristanco,6074,27,
2021-01-10,Coristanco,6074,26,
2021-01-11,Coristanco,6074,30,
2021-01-12,Coristanco,6074,32,
2021-01-13,Coristanco,6074,30,
2021-01-14,Coristanco,6074,34,
2021-01-15,Coristanco,6074,35,
2021-01-16,Coristanco,6074,37,
2021-01-17,Coristanco,6074,39,
2021-01-18,Coristanco,6074,42,
2021-01-19,Coristanco,6074,45,
2021-01-20,Coristanco,6074,47,
2021-01-21,Coristanco,6074,53,
2021-01-22,Coristanco,6074,58,
2021-01-23,Coristanco,6074,61,
2021-01-24,Coristanco,6074,63,
2021-01-25,Coristanco,6074,61,
2021-01-26,Coristanco,6074,60,
2021-01-27,Coristanco,6074,59,
2021-01-28,Coristanco,6074,56,
2021-01-29,Coristanco,6074,53,
2021-01-30,Coristanco,6074,56,
2021-01-31,Coristanco,6074,55,
2021-02-01,Coristanco,6074,53,
2021-02-02,Coristanco,6074,51,
2021-02-03,Coristanco,6074,50,
2021-02-04,Coristanco,6074,50,
2021-02-05,Coristanco,6074,50,
2021-02-06,Coristanco,6074,51,
2021-02-07,Coristanco,6074,53,
2021-02-08,Coristanco,6074,53,
2021-02-09,Coristanco,6074,52,
2021-02-10,Coristanco,6074,54,
2021-02-11,Coristanco,6074,50,
2021-02-12,Coristanco,6074,50,
2021-02-13,Coristanco,6074,44,
2021-02-14,Coristanco,6074,40,
2021-02-15,Coristanco,6074,41,
2021-02-16,Coristanco,6074,38,
2021-02-17,Coristanco,6074,37,
2021-02-18,Coristanco,6074,31,
2021-02-19,Coristanco,6074,24,
2021-02-20,Coristanco,6074,19,
2021-02-21,Coristanco,6074,14,
2021-02-22,Coristanco,6074,12,
2021-02-23,Coristanco,6074,10,
2021-02-24,Coristanco,6074,,
2021-02-25,Coristanco,6074,,
2021-02-26,Coristanco,6074,,
2021-02-27,Coristanco,6074,,
2021-02-28,Coristanco,6074,,
2021-03-01,Coristanco,6074,,
2021-03-02,Coristanco,6074,,
2021-03-03,Coristanco,6074,,
2021-03-04,Coristanco,6074,,
2021-03-05,Coristanco,6074,,
2021-03-06,Coristanco,6074,,
2021-03-07,Coristanco,6074,,
