fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cortegada,1085,0,
2020-11-22,Cortegada,1085,0,
2020-11-23,Cortegada,1085,0,
2020-11-24,Cortegada,1085,0,
2020-11-25,Cortegada,1085,0,
2020-11-26,Cortegada,1085,0,
2020-11-27,Cortegada,1085,,
2020-11-28,Cortegada,1085,,
2020-11-29,Cortegada,1085,,
2020-11-30,Cortegada,1085,,
2020-12-01,Cortegada,1085,,
2020-12-02,Cortegada,1085,,
2020-12-03,Cortegada,1085,,
2020-12-04,Cortegada,1085,,
2020-12-05,Cortegada,1085,,
2020-12-06,Cortegada,1085,,
2020-12-07,Cortegada,1085,,
2020-12-08,Cortegada,1085,,
2020-12-09,Cortegada,1085,,
2020-12-10,Cortegada,1085,,
2020-12-11,Cortegada,1085,0,
2020-12-12,Cortegada,1085,0,
2020-12-13,Cortegada,1085,0,
2020-12-14,Cortegada,1085,0,
2020-12-15,Cortegada,1085,0,
2020-12-16,Cortegada,1085,0,
2020-12-17,Cortegada,1085,0,
2020-12-18,Cortegada,1085,0,
2020-12-19,Cortegada,1085,0,
2020-12-20,Cortegada,1085,0,
2020-12-21,Cortegada,1085,0,
2020-12-22,Cortegada,1085,0,
2020-12-23,Cortegada,1085,0,
2020-12-24,Cortegada,1085,0,
2020-12-25,Cortegada,1085,0,
2020-12-26,Cortegada,1085,0,
2020-12-27,Cortegada,1085,0,
2020-12-28,Cortegada,1085,0,
2020-12-29,Cortegada,1085,0,
2020-12-30,Cortegada,1085,0,
2020-12-31,Cortegada,1085,0,
2021-01-01,Cortegada,1085,0,
2021-01-02,Cortegada,1085,0,
2021-01-03,Cortegada,1085,0,
2021-01-04,Cortegada,1085,0,
2021-01-05,Cortegada,1085,0,
2021-01-06,Cortegada,1085,0,
2021-01-07,Cortegada,1085,0,
2021-01-08,Cortegada,1085,0,
2021-01-09,Cortegada,1085,0,
2021-01-10,Cortegada,1085,0,
2021-01-11,Cortegada,1085,0,
2021-01-12,Cortegada,1085,0,
2021-01-13,Cortegada,1085,0,
2021-01-14,Cortegada,1085,0,
2021-01-15,Cortegada,1085,0,
2021-01-16,Cortegada,1085,,
2021-01-17,Cortegada,1085,,
2021-01-18,Cortegada,1085,,
2021-01-19,Cortegada,1085,,
2021-01-20,Cortegada,1085,,
2021-01-21,Cortegada,1085,,
2021-01-22,Cortegada,1085,,
2021-01-23,Cortegada,1085,,
2021-01-24,Cortegada,1085,,
2021-01-25,Cortegada,1085,,
2021-01-26,Cortegada,1085,,
2021-01-27,Cortegada,1085,,
2021-01-28,Cortegada,1085,,
2021-01-29,Cortegada,1085,,
2021-01-30,Cortegada,1085,,
2021-01-31,Cortegada,1085,,
2021-02-01,Cortegada,1085,,
2021-02-02,Cortegada,1085,,
2021-02-03,Cortegada,1085,,
2021-02-04,Cortegada,1085,,
2021-02-05,Cortegada,1085,,
2021-02-06,Cortegada,1085,,
2021-02-07,Cortegada,1085,,
2021-02-08,Cortegada,1085,,
2021-02-09,Cortegada,1085,0,
2021-02-10,Cortegada,1085,0,
2021-02-11,Cortegada,1085,0,
2021-02-12,Cortegada,1085,0,
2021-02-13,Cortegada,1085,0,
2021-02-14,Cortegada,1085,0,
2021-02-15,Cortegada,1085,,
2021-02-16,Cortegada,1085,,
2021-02-17,Cortegada,1085,,
2021-02-18,Cortegada,1085,,
2021-02-19,Cortegada,1085,,
2021-02-20,Cortegada,1085,,
2021-02-21,Cortegada,1085,,
2021-02-22,Cortegada,1085,,
2021-02-23,Cortegada,1085,,
2021-02-24,Cortegada,1085,,
2021-02-25,Cortegada,1085,,
2021-02-26,Cortegada,1085,,
2021-02-27,Cortegada,1085,,
2021-02-28,Cortegada,1085,,
2021-03-01,Cortegada,1085,,
2021-03-02,Cortegada,1085,,
2021-03-03,Cortegada,1085,,
2021-03-04,Cortegada,1085,,
2021-03-05,Cortegada,1085,,0
2021-03-06,Cortegada,1085,,0
2021-03-07,Cortegada,1085,,0
2021-03-08,Cortegada,1085,,0
2021-03-09,Cortegada,1085,,0
2021-03-10,Cortegada,1085,,0
2021-03-11,Cortegada,1085,,0
2021-03-12,Cortegada,1085,0,0
2021-03-13,Cortegada,1085,0,0
2021-03-14,Cortegada,1085,0,0
2021-03-15,Cortegada,1085,0,0
2021-03-16,Cortegada,1085,,
2021-03-17,Cortegada,1085,,
2021-03-18,Cortegada,1085,,
2021-03-19,Cortegada,1085,,
2021-03-20,Cortegada,1085,,
2021-03-21,Cortegada,1085,,
2021-03-22,Cortegada,1085,,
2021-03-23,Cortegada,1085,,
2021-03-24,Cortegada,1085,,
2021-03-25,Cortegada,1085,,
2021-03-26,Cortegada,1085,,
2021-03-27,Cortegada,1085,,
2021-03-28,Cortegada,1085,,
2021-03-29,Cortegada,1085,,
2021-03-30,Cortegada,1085,,
2021-03-31,Cortegada,1085,,
2021-04-01,Cortegada,1085,,
2021-04-02,Cortegada,1085,,
2021-04-03,Cortegada,1085,,
2021-04-04,Cortegada,1085,,0
2021-04-05,Cortegada,1085,,0
2021-04-06,Cortegada,1085,,0
2021-04-07,Cortegada,1085,,0
2021-04-08,Cortegada,1085,,0
2021-04-09,Cortegada,1085,,
2021-04-10,Cortegada,1085,,
2021-04-11,Cortegada,1085,,
2021-04-12,Cortegada,1085,,
2021-04-13,Cortegada,1085,,
2021-04-14,Cortegada,1085,,
2021-04-15,Cortegada,1085,,
2021-04-16,Cortegada,1085,,
2021-04-17,Cortegada,1085,,
2021-04-18,Cortegada,1085,,
2021-04-19,Cortegada,1085,,
2021-04-20,Cortegada,1085,,
2021-04-21,Cortegada,1085,,0
2021-04-22,Cortegada,1085,,0
2021-04-23,Cortegada,1085,,0
2021-04-24,Cortegada,1085,,0
2021-04-25,Cortegada,1085,,0
2021-04-26,Cortegada,1085,,0
2021-04-27,Cortegada,1085,,0
2021-04-28,Cortegada,1085,0,0
2021-04-29,Cortegada,1085,0,0
2021-04-30,Cortegada,1085,0,0
2021-05-01,Cortegada,1085,0,0
2021-05-02,Cortegada,1085,0,0
2021-05-03,Cortegada,1085,0,0
2021-05-04,Cortegada,1085,0,0
2021-05-05,Cortegada,1085,0,0
2021-05-06,Cortegada,1085,0,0
2021-05-07,Cortegada,1085,0,0
2021-05-08,Cortegada,1085,0,0
2021-05-09,Cortegada,1085,0,0
2021-05-10,Cortegada,1085,0,0
2021-05-11,Cortegada,1085,0,0
2021-05-12,Cortegada,1085,0,0
2021-05-13,Cortegada,1085,0,0
2021-05-14,Cortegada,1085,0,0
2021-05-15,Cortegada,1085,0,0
2021-05-16,Cortegada,1085,0,0
2021-05-17,Cortegada,1085,0,0
2021-05-18,Cortegada,1085,0,0
2021-05-19,Cortegada,1085,0,0
2021-05-20,Cortegada,1085,0,0
2021-05-21,Cortegada,1085,0,0
2021-05-22,Cortegada,1085,0,0
2021-05-23,Cortegada,1085,0,0
2021-05-24,Cortegada,1085,0,0
2021-05-25,Cortegada,1085,0,0
2021-05-26,Cortegada,1085,0,0
2021-05-27,Cortegada,1085,0,0
2021-05-28,Cortegada,1085,0,0
2021-05-29,Cortegada,1085,0,0
2021-05-30,Cortegada,1085,0,0
2021-05-31,Cortegada,1085,,
2021-06-01,Cortegada,1085,,
2021-06-02,Cortegada,1085,,
2021-06-03,Cortegada,1085,,
2021-06-04,Cortegada,1085,,
2021-06-05,Cortegada,1085,,
2021-06-06,Cortegada,1085,,
2021-06-07,Cortegada,1085,,
2021-06-08,Cortegada,1085,,
2021-06-09,Cortegada,1085,,
2021-06-10,Cortegada,1085,,
2021-06-11,Cortegada,1085,,0
2021-06-12,Cortegada,1085,,0
2021-06-13,Cortegada,1085,,0
2021-06-14,Cortegada,1085,,0
2021-06-15,Cortegada,1085,,0
2021-06-16,Cortegada,1085,,0
2021-06-17,Cortegada,1085,,0
2021-06-18,Cortegada,1085,0,0
2021-06-19,Cortegada,1085,0,0
2021-06-20,Cortegada,1085,0,0
2021-06-21,Cortegada,1085,0,0
2021-06-22,Cortegada,1085,0,0
2021-06-23,Cortegada,1085,0,0
2021-06-24,Cortegada,1085,0,0
2021-06-25,Cortegada,1085,0,0
2021-06-26,Cortegada,1085,0,0
2021-06-27,Cortegada,1085,0,0
2021-06-28,Cortegada,1085,0,0
2021-06-29,Cortegada,1085,0,0
2021-06-30,Cortegada,1085,0,0
2021-07-01,Cortegada,1085,0,0
2021-07-02,Cortegada,1085,0,0
2021-07-03,Cortegada,1085,0,0
2021-07-04,Cortegada,1085,,
2021-07-05,Cortegada,1085,,
2021-07-06,Cortegada,1085,,
2021-07-07,Cortegada,1085,,
2021-07-08,Cortegada,1085,,
2021-07-09,Cortegada,1085,,
2021-07-10,Cortegada,1085,,
2021-07-11,Cortegada,1085,,
2021-07-12,Cortegada,1085,,
2021-07-13,Cortegada,1085,,
2021-07-14,Cortegada,1085,,0
2021-07-15,Cortegada,1085,,0
2021-07-16,Cortegada,1085,,0
2021-07-17,Cortegada,1085,,0
2021-07-18,Cortegada,1085,,0
2021-07-19,Cortegada,1085,,0
2021-07-20,Cortegada,1085,,0
2021-07-21,Cortegada,1085,0,0
2021-07-22,Cortegada,1085,0,0
2021-07-23,Cortegada,1085,0,0
2021-07-24,Cortegada,1085,,
2021-07-25,Cortegada,1085,,
2021-07-26,Cortegada,1085,,
2021-07-27,Cortegada,1085,,
2021-07-28,Cortegada,1085,,
2021-07-29,Cortegada,1085,,
2021-07-30,Cortegada,1085,,
2021-07-31,Cortegada,1085,,0
2021-08-01,Cortegada,1085,,0
2021-08-02,Cortegada,1085,,0
2021-08-03,Cortegada,1085,,0
2021-08-04,Cortegada,1085,,0
2021-08-05,Cortegada,1085,,0
2021-08-06,Cortegada,1085,,0
