fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cospeito,4484,11,
2020-11-22,Cospeito,4484,11,
2020-11-23,Cospeito,4484,12,
2020-11-24,Cospeito,4484,12,
2020-11-25,Cospeito,4484,11,
2020-11-26,Cospeito,4484,10,
2020-11-27,Cospeito,4484,10,
2020-11-28,Cospeito,4484,10,
2020-11-29,Cospeito,4484,10,
2020-11-30,Cospeito,4484,,
2020-12-01,Cospeito,4484,10,
2020-12-02,Cospeito,4484,,
2020-12-03,Cospeito,4484,11,
2020-12-04,Cospeito,4484,11,
2020-12-05,Cospeito,4484,18,
2020-12-06,Cospeito,4484,18,
2020-12-07,Cospeito,4484,20,
2020-12-08,Cospeito,4484,19,
2020-12-09,Cospeito,4484,22,
2020-12-10,Cospeito,4484,22,
2020-12-11,Cospeito,4484,21,
2020-12-12,Cospeito,4484,20,
2020-12-13,Cospeito,4484,20,
2020-12-14,Cospeito,4484,20,
2020-12-15,Cospeito,4484,17,
2020-12-16,Cospeito,4484,15,
2020-12-17,Cospeito,4484,14,
2020-12-18,Cospeito,4484,13,
2020-12-19,Cospeito,4484,,
2020-12-20,Cospeito,4484,10,
2020-12-21,Cospeito,4484,,
2020-12-22,Cospeito,4484,10,
2020-12-23,Cospeito,4484,,
2020-12-24,Cospeito,4484,,
2020-12-25,Cospeito,4484,,
2020-12-26,Cospeito,4484,,
2020-12-27,Cospeito,4484,,
2020-12-28,Cospeito,4484,,
2020-12-29,Cospeito,4484,,
2020-12-30,Cospeito,4484,,
2020-12-31,Cospeito,4484,,
2021-01-01,Cospeito,4484,,
2021-01-02,Cospeito,4484,,
2021-01-03,Cospeito,4484,,
2021-01-04,Cospeito,4484,,
2021-01-05,Cospeito,4484,,
2021-01-06,Cospeito,4484,,
2021-01-07,Cospeito,4484,,
2021-01-08,Cospeito,4484,,
2021-01-09,Cospeito,4484,,
2021-01-10,Cospeito,4484,,
2021-01-11,Cospeito,4484,,
2021-01-12,Cospeito,4484,,
2021-01-13,Cospeito,4484,,
2021-01-14,Cospeito,4484,,
2021-01-15,Cospeito,4484,,
