fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Crecente,2012,,
2020-11-22,Crecente,2012,,
2020-11-23,Crecente,2012,,
2020-11-24,Crecente,2012,,
2020-11-25,Crecente,2012,,
2020-11-26,Crecente,2012,,
2020-11-27,Crecente,2012,,
2020-11-28,Crecente,2012,,
2020-11-29,Crecente,2012,,
2020-11-30,Crecente,2012,,
2020-12-01,Crecente,2012,,
2020-12-02,Crecente,2012,,
2020-12-03,Crecente,2012,,
2020-12-04,Crecente,2012,,
2020-12-05,Crecente,2012,,
2020-12-06,Crecente,2012,,
2020-12-07,Crecente,2012,,
2020-12-08,Crecente,2012,,
2020-12-09,Crecente,2012,,
2020-12-10,Crecente,2012,,
2020-12-11,Crecente,2012,,
2020-12-12,Crecente,2012,,
2020-12-13,Crecente,2012,,
2020-12-14,Crecente,2012,,
2020-12-15,Crecente,2012,,
2020-12-16,Crecente,2012,,
2020-12-17,Crecente,2012,,
2020-12-18,Crecente,2012,,
2020-12-19,Crecente,2012,,
2020-12-20,Crecente,2012,,
2020-12-21,Crecente,2012,,
2020-12-22,Crecente,2012,,
2020-12-23,Crecente,2012,,
2020-12-24,Crecente,2012,,
2020-12-25,Crecente,2012,,
2020-12-26,Crecente,2012,,
2020-12-27,Crecente,2012,,
2020-12-28,Crecente,2012,,
2020-12-29,Crecente,2012,,
2020-12-30,Crecente,2012,,
2020-12-31,Crecente,2012,,
2021-01-01,Crecente,2012,,
2021-01-02,Crecente,2012,11,
2021-01-03,Crecente,2012,13,
2021-01-04,Crecente,2012,13,
2021-01-05,Crecente,2012,11,
2021-01-06,Crecente,2012,11,
2021-01-07,Crecente,2012,10,
2021-01-08,Crecente,2012,11,
2021-01-09,Crecente,2012,13,
2021-01-10,Crecente,2012,16,
2021-01-11,Crecente,2012,16,
2021-01-12,Crecente,2012,15,
2021-01-13,Crecente,2012,15,
2021-01-14,Crecente,2012,14,
2021-01-15,Crecente,2012,13,
2021-01-16,Crecente,2012,13,
2021-01-17,Crecente,2012,22,
2021-01-18,Crecente,2012,23,
2021-01-19,Crecente,2012,24,
2021-01-20,Crecente,2012,48,
2021-01-21,Crecente,2012,50,
2021-01-22,Crecente,2012,52,
2021-01-23,Crecente,2012,51,
2021-01-24,Crecente,2012,48,
2021-01-25,Crecente,2012,50,
2021-01-26,Crecente,2012,52,
2021-01-27,Crecente,2012,67,
2021-01-28,Crecente,2012,67,
2021-01-29,Crecente,2012,67,
2021-01-30,Crecente,2012,66,
2021-01-31,Crecente,2012,57,
2021-02-01,Crecente,2012,56,
2021-02-02,Crecente,2012,55,
2021-02-03,Crecente,2012,31,
2021-02-04,Crecente,2012,37,
2021-02-05,Crecente,2012,34,
2021-02-06,Crecente,2012,32,
2021-02-07,Crecente,2012,32,
2021-02-08,Crecente,2012,31,
2021-02-09,Crecente,2012,29,
2021-02-10,Crecente,2012,15,
2021-02-11,Crecente,2012,14,
2021-02-12,Crecente,2012,15,
2021-02-13,Crecente,2012,14,
2021-02-14,Crecente,2012,12,
2021-02-15,Crecente,2012,12,
2021-02-16,Crecente,2012,13,
2021-02-17,Crecente,2012,13,
2021-02-18,Crecente,2012,,
2021-02-19,Crecente,2012,,
2021-02-20,Crecente,2012,,
2021-02-21,Crecente,2012,,
2021-02-22,Crecente,2012,,
2021-02-23,Crecente,2012,,
2021-02-24,Crecente,2012,,
2021-02-25,Crecente,2012,,
2021-02-26,Crecente,2012,,
2021-02-27,Crecente,2012,,
2021-02-28,Crecente,2012,,
2021-03-01,Crecente,2012,,
2021-03-02,Crecente,2012,0,0
2021-03-03,Crecente,2012,0,0
2021-03-04,Crecente,2012,0,0
2021-03-05,Crecente,2012,0,0
2021-03-06,Crecente,2012,0,0
2021-03-07,Crecente,2012,0,0
2021-03-08,Crecente,2012,0,0
2021-03-09,Crecente,2012,0,0
2021-03-10,Crecente,2012,0,0
2021-03-11,Crecente,2012,0,0
2021-03-12,Crecente,2012,0,0
2021-03-13,Crecente,2012,0,0
2021-03-14,Crecente,2012,0,0
2021-03-15,Crecente,2012,0,0
2021-03-16,Crecente,2012,0,0
2021-03-17,Crecente,2012,0,0
2021-03-18,Crecente,2012,0,0
2021-03-19,Crecente,2012,0,0
2021-03-20,Crecente,2012,,
2021-03-21,Crecente,2012,,
2021-03-22,Crecente,2012,,
2021-03-23,Crecente,2012,,
2021-03-24,Crecente,2012,,
2021-03-25,Crecente,2012,,
2021-03-26,Crecente,2012,,
2021-03-27,Crecente,2012,,0
2021-03-28,Crecente,2012,,0
2021-03-29,Crecente,2012,,0
2021-03-30,Crecente,2012,,0
2021-03-31,Crecente,2012,,
2021-04-01,Crecente,2012,,
2021-04-02,Crecente,2012,,
2021-04-03,Crecente,2012,,
2021-04-04,Crecente,2012,,
2021-04-05,Crecente,2012,,
2021-04-06,Crecente,2012,,
2021-04-07,Crecente,2012,,0
2021-04-08,Crecente,2012,,0
2021-04-09,Crecente,2012,,0
2021-04-10,Crecente,2012,,
2021-04-11,Crecente,2012,,
2021-04-12,Crecente,2012,,
2021-04-13,Crecente,2012,,
2021-04-14,Crecente,2012,,
2021-04-15,Crecente,2012,,
2021-04-16,Crecente,2012,,
2021-04-17,Crecente,2012,,
2021-04-18,Crecente,2012,,
2021-04-19,Crecente,2012,,
2021-04-20,Crecente,2012,,0
2021-04-21,Crecente,2012,,0
2021-04-22,Crecente,2012,,0
2021-04-23,Crecente,2012,,0
2021-04-24,Crecente,2012,,0
2021-04-25,Crecente,2012,,0
2021-04-26,Crecente,2012,,0
2021-04-27,Crecente,2012,0,0
2021-04-28,Crecente,2012,0,0
2021-04-29,Crecente,2012,0,0
2021-04-30,Crecente,2012,0,0
2021-05-01,Crecente,2012,0,0
