fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cualedro,1679,,
2020-11-22,Cualedro,1679,,
2020-11-23,Cualedro,1679,,
2020-11-24,Cualedro,1679,,
2020-11-25,Cualedro,1679,,
2020-11-26,Cualedro,1679,,
2020-11-27,Cualedro,1679,,
2020-11-28,Cualedro,1679,,
2020-11-29,Cualedro,1679,,
2020-11-30,Cualedro,1679,,
2020-12-01,Cualedro,1679,,
2020-12-02,Cualedro,1679,,
2020-12-03,Cualedro,1679,,
2020-12-04,Cualedro,1679,,
2020-12-05,Cualedro,1679,,
2020-12-06,Cualedro,1679,,
2020-12-07,Cualedro,1679,,
2020-12-08,Cualedro,1679,,
2020-12-09,Cualedro,1679,,
2020-12-10,Cualedro,1679,0,
2020-12-11,Cualedro,1679,0,
2020-12-12,Cualedro,1679,,
2020-12-13,Cualedro,1679,,
2020-12-14,Cualedro,1679,,
2020-12-15,Cualedro,1679,,
2020-12-16,Cualedro,1679,,
2020-12-17,Cualedro,1679,,
2020-12-18,Cualedro,1679,,
2020-12-19,Cualedro,1679,,
2020-12-20,Cualedro,1679,,
2020-12-21,Cualedro,1679,,
2020-12-22,Cualedro,1679,,
2020-12-23,Cualedro,1679,,
2020-12-24,Cualedro,1679,,
2020-12-25,Cualedro,1679,,
2020-12-26,Cualedro,1679,10,
2020-12-27,Cualedro,1679,12,
2020-12-28,Cualedro,1679,12,
2020-12-29,Cualedro,1679,13,
2020-12-30,Cualedro,1679,13,
2020-12-31,Cualedro,1679,15,
2021-01-01,Cualedro,1679,15,
2021-01-02,Cualedro,1679,14,
2021-01-03,Cualedro,1679,14,
2021-01-04,Cualedro,1679,15,
2021-01-05,Cualedro,1679,15,
2021-01-06,Cualedro,1679,15,
2021-01-07,Cualedro,1679,12,
2021-01-08,Cualedro,1679,,
2021-01-09,Cualedro,1679,,
2021-01-10,Cualedro,1679,,
2021-01-11,Cualedro,1679,,
2021-01-12,Cualedro,1679,,
2021-01-13,Cualedro,1679,,
2021-01-14,Cualedro,1679,,
2021-01-15,Cualedro,1679,,
2021-01-16,Cualedro,1679,,
2021-01-17,Cualedro,1679,,
2021-01-18,Cualedro,1679,,
2021-01-19,Cualedro,1679,,
2021-01-20,Cualedro,1679,,
2021-01-21,Cualedro,1679,,
2021-01-22,Cualedro,1679,,
2021-01-23,Cualedro,1679,,
2021-01-24,Cualedro,1679,,
2021-01-25,Cualedro,1679,,
2021-01-26,Cualedro,1679,,
2021-01-27,Cualedro,1679,10,
2021-01-28,Cualedro,1679,14,
2021-01-29,Cualedro,1679,15,
2021-01-30,Cualedro,1679,15,
2021-01-31,Cualedro,1679,14,
2021-02-01,Cualedro,1679,14,
2021-02-02,Cualedro,1679,14,
2021-02-03,Cualedro,1679,14,
2021-02-04,Cualedro,1679,15,
2021-02-05,Cualedro,1679,16,
2021-02-06,Cualedro,1679,15,
2021-02-07,Cualedro,1679,13,
2021-02-08,Cualedro,1679,13,
2021-02-09,Cualedro,1679,12,
2021-02-10,Cualedro,1679,11,
2021-02-11,Cualedro,1679,,
2021-02-12,Cualedro,1679,,
2021-02-13,Cualedro,1679,,
2021-02-14,Cualedro,1679,,
2021-02-15,Cualedro,1679,,
2021-02-16,Cualedro,1679,,
2021-02-17,Cualedro,1679,,
2021-02-18,Cualedro,1679,,
2021-02-19,Cualedro,1679,,
2021-02-20,Cualedro,1679,,
2021-02-21,Cualedro,1679,,
2021-02-22,Cualedro,1679,,
2021-02-23,Cualedro,1679,,
2021-02-24,Cualedro,1679,,
2021-02-25,Cualedro,1679,,
2021-02-26,Cualedro,1679,,
2021-02-27,Cualedro,1679,,
2021-02-28,Cualedro,1679,,
2021-03-01,Cualedro,1679,,
2021-03-02,Cualedro,1679,,
2021-03-03,Cualedro,1679,,
2021-03-04,Cualedro,1679,,
2021-03-05,Cualedro,1679,,
2021-03-06,Cualedro,1679,,
