fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Culleredo,30402,74,
2020-11-22,Culleredo,30402,71,
2020-11-23,Culleredo,30402,67,
2020-11-24,Culleredo,30402,66,
2020-11-25,Culleredo,30402,71,
2020-11-26,Culleredo,30402,77,
2020-11-27,Culleredo,30402,80,
2020-11-28,Culleredo,30402,79,
2020-11-29,Culleredo,30402,78,
2020-11-30,Culleredo,30402,75,
2020-12-01,Culleredo,30402,76,
2020-12-02,Culleredo,30402,73,
2020-12-03,Culleredo,30402,68,
2020-12-04,Culleredo,30402,70,
2020-12-05,Culleredo,30402,66,
2020-12-06,Culleredo,30402,61,
2020-12-07,Culleredo,30402,62,
2020-12-08,Culleredo,30402,60,
2020-12-09,Culleredo,30402,54,
2020-12-10,Culleredo,30402,50,
2020-12-11,Culleredo,30402,47,
2020-12-12,Culleredo,30402,42,
2020-12-13,Culleredo,30402,37,
2020-12-14,Culleredo,30402,38,
2020-12-15,Culleredo,30402,35,
2020-12-16,Culleredo,30402,28,
2020-12-17,Culleredo,30402,28,
2020-12-18,Culleredo,30402,22,
2020-12-19,Culleredo,30402,22,
2020-12-20,Culleredo,30402,25,
2020-12-21,Culleredo,30402,25,
2020-12-22,Culleredo,30402,31,
2020-12-23,Culleredo,30402,34,
2020-12-24,Culleredo,30402,36,
2020-12-25,Culleredo,30402,40,
2020-12-26,Culleredo,30402,42,
2020-12-27,Culleredo,30402,41,
2020-12-28,Culleredo,30402,41,
2020-12-29,Culleredo,30402,41,
2020-12-30,Culleredo,30402,46,
2020-12-31,Culleredo,30402,47,
2021-01-01,Culleredo,30402,54,
2021-01-02,Culleredo,30402,57,
2021-01-03,Culleredo,30402,54,
2021-01-04,Culleredo,30402,58,
2021-01-05,Culleredo,30402,57,
2021-01-06,Culleredo,30402,59,
2021-01-07,Culleredo,30402,63,
2021-01-08,Culleredo,30402,64,
2021-01-09,Culleredo,30402,76,
2021-01-10,Culleredo,30402,84,
2021-01-11,Culleredo,30402,88,
2021-01-12,Culleredo,30402,105,
2021-01-13,Culleredo,30402,108,
2021-01-14,Culleredo,30402,113,
