fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Cuntis,4677,16,
2020-11-22,Cuntis,4677,15,
2020-11-23,Cuntis,4677,15,
2020-11-24,Cuntis,4677,15,
2020-11-25,Cuntis,4677,14,
2020-11-26,Cuntis,4677,12,
2020-11-27,Cuntis,4677,,
2020-11-28,Cuntis,4677,,
2020-11-29,Cuntis,4677,,
2020-11-30,Cuntis,4677,,
2020-12-01,Cuntis,4677,,
2020-12-02,Cuntis,4677,,
2020-12-03,Cuntis,4677,,
2020-12-04,Cuntis,4677,,
2020-12-05,Cuntis,4677,,
2020-12-06,Cuntis,4677,,
2020-12-07,Cuntis,4677,,
2020-12-08,Cuntis,4677,,
2020-12-09,Cuntis,4677,,
2020-12-10,Cuntis,4677,,
2020-12-11,Cuntis,4677,,
2020-12-12,Cuntis,4677,,
2020-12-13,Cuntis,4677,,
2020-12-14,Cuntis,4677,,
2020-12-15,Cuntis,4677,,
2020-12-16,Cuntis,4677,,
2020-12-17,Cuntis,4677,,
2020-12-18,Cuntis,4677,,
2020-12-19,Cuntis,4677,,
2020-12-20,Cuntis,4677,,
2020-12-21,Cuntis,4677,,
2020-12-22,Cuntis,4677,,
2020-12-23,Cuntis,4677,,
2020-12-24,Cuntis,4677,,
2020-12-25,Cuntis,4677,,
2020-12-26,Cuntis,4677,,
2020-12-27,Cuntis,4677,,
2020-12-28,Cuntis,4677,,
2020-12-29,Cuntis,4677,,
2020-12-30,Cuntis,4677,,
2020-12-31,Cuntis,4677,,
2021-01-01,Cuntis,4677,,
2021-01-02,Cuntis,4677,,
2021-01-03,Cuntis,4677,,
2021-01-04,Cuntis,4677,10,
2021-01-05,Cuntis,4677,12,
2021-01-06,Cuntis,4677,16,
2021-01-07,Cuntis,4677,18,
2021-01-08,Cuntis,4677,22,
2021-01-09,Cuntis,4677,24,
2021-01-10,Cuntis,4677,24,
2021-01-11,Cuntis,4677,26,
2021-01-12,Cuntis,4677,28,
2021-01-13,Cuntis,4677,26,
2021-01-14,Cuntis,4677,28,
2021-01-15,Cuntis,4677,30,
2021-01-16,Cuntis,4677,33,
2021-01-17,Cuntis,4677,34,
2021-01-18,Cuntis,4677,34,
2021-01-19,Cuntis,4677,37,
2021-01-20,Cuntis,4677,34,
2021-01-21,Cuntis,4677,33,
2021-01-22,Cuntis,4677,31,
2021-01-23,Cuntis,4677,31,
2021-01-24,Cuntis,4677,35,
2021-01-25,Cuntis,4677,34,
2021-01-26,Cuntis,4677,34,
2021-01-27,Cuntis,4677,35,
2021-01-28,Cuntis,4677,35,
2021-01-29,Cuntis,4677,32,
2021-01-30,Cuntis,4677,32,
2021-01-31,Cuntis,4677,32,
2021-02-01,Cuntis,4677,30,
2021-02-02,Cuntis,4677,27,
2021-02-03,Cuntis,4677,28,
2021-02-04,Cuntis,4677,27,
2021-02-05,Cuntis,4677,30,
2021-02-06,Cuntis,4677,28,
2021-02-07,Cuntis,4677,25,
2021-02-08,Cuntis,4677,26,
2021-02-09,Cuntis,4677,25,
2021-02-10,Cuntis,4677,24,
2021-02-11,Cuntis,4677,25,
2021-02-12,Cuntis,4677,26,
2021-02-13,Cuntis,4677,25,
2021-02-14,Cuntis,4677,22,
2021-02-15,Cuntis,4677,21,
2021-02-16,Cuntis,4677,23,
2021-02-17,Cuntis,4677,22,
2021-02-18,Cuntis,4677,22,
2021-02-19,Cuntis,4677,17,
2021-02-20,Cuntis,4677,19,
