fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Curtis,3983,,
2020-11-22,Curtis,3983,,
2020-11-23,Curtis,3983,,
2020-11-24,Curtis,3983,,
2020-11-25,Curtis,3983,,
2020-11-26,Curtis,3983,,
2020-11-27,Curtis,3983,,
2020-11-28,Curtis,3983,,
2020-11-29,Curtis,3983,,
2020-11-30,Curtis,3983,,
2020-12-01,Curtis,3983,,
2020-12-02,Curtis,3983,,
2020-12-03,Curtis,3983,,
2020-12-04,Curtis,3983,,
2020-12-05,Curtis,3983,,
2020-12-06,Curtis,3983,,
2020-12-07,Curtis,3983,,
2020-12-08,Curtis,3983,,
2020-12-09,Curtis,3983,,
2020-12-10,Curtis,3983,,
2020-12-11,Curtis,3983,,
2020-12-12,Curtis,3983,,
2020-12-13,Curtis,3983,,
2020-12-14,Curtis,3983,,
2020-12-15,Curtis,3983,,
2020-12-16,Curtis,3983,,
2020-12-17,Curtis,3983,,
2020-12-18,Curtis,3983,,
2020-12-19,Curtis,3983,,
2020-12-20,Curtis,3983,,
2020-12-21,Curtis,3983,,
2020-12-22,Curtis,3983,,
2020-12-23,Curtis,3983,,
2020-12-24,Curtis,3983,,
2020-12-25,Curtis,3983,,
2020-12-26,Curtis,3983,,
2020-12-27,Curtis,3983,,
2020-12-28,Curtis,3983,,
2020-12-29,Curtis,3983,,
2020-12-30,Curtis,3983,,
2020-12-31,Curtis,3983,,
2021-01-01,Curtis,3983,,
2021-01-02,Curtis,3983,,
2021-01-03,Curtis,3983,,
2021-01-04,Curtis,3983,,
2021-01-05,Curtis,3983,,
2021-01-06,Curtis,3983,,
2021-01-07,Curtis,3983,,
2021-01-08,Curtis,3983,,
2021-01-09,Curtis,3983,,
2021-01-10,Curtis,3983,,
2021-01-11,Curtis,3983,,
2021-01-12,Curtis,3983,11,
2021-01-13,Curtis,3983,,
2021-01-14,Curtis,3983,,
2021-01-15,Curtis,3983,,
2021-01-16,Curtis,3983,,
2021-01-17,Curtis,3983,,
2021-01-18,Curtis,3983,,
2021-01-19,Curtis,3983,,
2021-01-20,Curtis,3983,12,
2021-01-21,Curtis,3983,12,
2021-01-22,Curtis,3983,11,
2021-01-23,Curtis,3983,11,
2021-01-24,Curtis,3983,11,
2021-01-25,Curtis,3983,12,
2021-01-26,Curtis,3983,12,
2021-01-27,Curtis,3983,14,
2021-01-28,Curtis,3983,18,
