fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Dodro,2768,15,
2020-11-22,Dodro,2768,15,
2020-11-23,Dodro,2768,16,
2020-11-24,Dodro,2768,16,
2020-11-25,Dodro,2768,13,
2020-11-26,Dodro,2768,13,
2020-11-27,Dodro,2768,11,
2020-11-28,Dodro,2768,11,
2020-11-29,Dodro,2768,11,
2020-11-30,Dodro,2768,11,
2020-12-01,Dodro,2768,12,
2020-12-02,Dodro,2768,13,
2020-12-03,Dodro,2768,12,
2020-12-04,Dodro,2768,,
2020-12-05,Dodro,2768,,
2020-12-06,Dodro,2768,,
2020-12-07,Dodro,2768,,
2020-12-08,Dodro,2768,,
2020-12-09,Dodro,2768,,
2020-12-10,Dodro,2768,,
2020-12-11,Dodro,2768,,
2020-12-12,Dodro,2768,,
2020-12-13,Dodro,2768,,
2020-12-14,Dodro,2768,,
2020-12-15,Dodro,2768,,
2020-12-16,Dodro,2768,,
2020-12-17,Dodro,2768,,
2020-12-18,Dodro,2768,,
2020-12-19,Dodro,2768,,
2020-12-20,Dodro,2768,,
2020-12-21,Dodro,2768,,
2020-12-22,Dodro,2768,,
2020-12-23,Dodro,2768,,
2020-12-24,Dodro,2768,,
2020-12-25,Dodro,2768,,
2020-12-26,Dodro,2768,,
2020-12-27,Dodro,2768,,
2020-12-28,Dodro,2768,,
2020-12-29,Dodro,2768,,
2020-12-30,Dodro,2768,,
2020-12-31,Dodro,2768,,
2021-01-01,Dodro,2768,,
2021-01-02,Dodro,2768,,
2021-01-03,Dodro,2768,,
2021-01-04,Dodro,2768,,
2021-01-05,Dodro,2768,,
2021-01-06,Dodro,2768,10,
2021-01-07,Dodro,2768,,
2021-01-08,Dodro,2768,,
2021-01-09,Dodro,2768,,
2021-01-10,Dodro,2768,13,
2021-01-11,Dodro,2768,15,
2021-01-12,Dodro,2768,16,
2021-01-13,Dodro,2768,17,
2021-01-14,Dodro,2768,22,
2021-01-15,Dodro,2768,24,
2021-01-16,Dodro,2768,25,
2021-01-17,Dodro,2768,25,
2021-01-18,Dodro,2768,25,
2021-01-19,Dodro,2768,25,
2021-01-20,Dodro,2768,25,
2021-01-21,Dodro,2768,28,
2021-01-22,Dodro,2768,30,
2021-01-23,Dodro,2768,32,
2021-01-24,Dodro,2768,29,
2021-01-25,Dodro,2768,33,
2021-01-26,Dodro,2768,34,
2021-01-27,Dodro,2768,32,
2021-01-28,Dodro,2768,29,
2021-01-29,Dodro,2768,29,
2021-01-30,Dodro,2768,33,
2021-01-31,Dodro,2768,33,
2021-02-01,Dodro,2768,30,
2021-02-02,Dodro,2768,33,
2021-02-03,Dodro,2768,32,
2021-02-04,Dodro,2768,29,
2021-02-05,Dodro,2768,30,
2021-02-06,Dodro,2768,31,
2021-02-07,Dodro,2768,31,
2021-02-08,Dodro,2768,27,
2021-02-09,Dodro,2768,25,
2021-02-10,Dodro,2768,27,
2021-02-11,Dodro,2768,26,
2021-02-12,Dodro,2768,25,
2021-02-13,Dodro,2768,21,
2021-02-14,Dodro,2768,23,
2021-02-15,Dodro,2768,23,
2021-02-16,Dodro,2768,19,
2021-02-17,Dodro,2768,18,
2021-02-18,Dodro,2768,20,
2021-02-19,Dodro,2768,17,
2021-02-20,Dodro,2768,14,
2021-02-21,Dodro,2768,13,
2021-02-22,Dodro,2768,11,
2021-02-23,Dodro,2768,11,
2021-02-24,Dodro,2768,,
2021-02-25,Dodro,2768,,
2021-02-26,Dodro,2768,,
2021-02-27,Dodro,2768,,
2021-02-28,Dodro,2768,,
2021-03-01,Dodro,2768,,
2021-03-02,Dodro,2768,,0
2021-03-03,Dodro,2768,,0
2021-03-04,Dodro,2768,0,0
2021-03-05,Dodro,2768,0,0
2021-03-06,Dodro,2768,0,0
2021-03-07,Dodro,2768,0,0
2021-03-08,Dodro,2768,0,0
2021-03-09,Dodro,2768,0,0
2021-03-10,Dodro,2768,0,0
2021-03-11,Dodro,2768,0,0
2021-03-12,Dodro,2768,0,0
2021-03-13,Dodro,2768,0,0
2021-03-14,Dodro,2768,0,0
2021-03-15,Dodro,2768,0,0
2021-03-16,Dodro,2768,0,0
2021-03-17,Dodro,2768,0,0
2021-03-18,Dodro,2768,0,0
2021-03-19,Dodro,2768,0,0
2021-03-20,Dodro,2768,0,0
2021-03-21,Dodro,2768,0,0
2021-03-22,Dodro,2768,0,0
2021-03-23,Dodro,2768,0,0
2021-03-24,Dodro,2768,0,0
2021-03-25,Dodro,2768,0,0
2021-03-26,Dodro,2768,0,0
2021-03-27,Dodro,2768,0,0
2021-03-28,Dodro,2768,0,0
2021-03-29,Dodro,2768,0,0
2021-03-30,Dodro,2768,0,0
2021-03-31,Dodro,2768,0,0
2021-04-01,Dodro,2768,0,0
2021-04-02,Dodro,2768,0,0
2021-04-03,Dodro,2768,0,0
2021-04-04,Dodro,2768,0,0
2021-04-05,Dodro,2768,0,0
2021-04-06,Dodro,2768,0,0
2021-04-07,Dodro,2768,0,0
2021-04-08,Dodro,2768,0,0
2021-04-09,Dodro,2768,0,0
2021-04-10,Dodro,2768,,
2021-04-11,Dodro,2768,,
2021-04-12,Dodro,2768,,
2021-04-13,Dodro,2768,,
2021-04-14,Dodro,2768,,
2021-04-15,Dodro,2768,,
2021-04-16,Dodro,2768,,
2021-04-17,Dodro,2768,,0
2021-04-18,Dodro,2768,,0
2021-04-19,Dodro,2768,,0
2021-04-20,Dodro,2768,,0
2021-04-21,Dodro,2768,,0
2021-04-22,Dodro,2768,,0
2021-04-23,Dodro,2768,,0
2021-04-24,Dodro,2768,0,0
2021-04-25,Dodro,2768,,
2021-04-26,Dodro,2768,,
2021-04-27,Dodro,2768,,
2021-04-28,Dodro,2768,,
2021-04-29,Dodro,2768,,
2021-04-30,Dodro,2768,,
2021-05-01,Dodro,2768,,
2021-05-02,Dodro,2768,,0
2021-05-03,Dodro,2768,,0
2021-05-04,Dodro,2768,,0
2021-05-05,Dodro,2768,,0
2021-05-06,Dodro,2768,,0
2021-05-07,Dodro,2768,,0
2021-05-08,Dodro,2768,,0
2021-05-09,Dodro,2768,0,0
2021-05-10,Dodro,2768,0,0
2021-05-11,Dodro,2768,0,0
2021-05-12,Dodro,2768,0,0
2021-05-13,Dodro,2768,0,0
2021-05-14,Dodro,2768,0,0
2021-05-15,Dodro,2768,0,0
2021-05-16,Dodro,2768,0,0
2021-05-17,Dodro,2768,0,0
2021-05-18,Dodro,2768,0,0
2021-05-19,Dodro,2768,0,0
2021-05-20,Dodro,2768,0,0
2021-05-21,Dodro,2768,0,0
2021-05-22,Dodro,2768,,
2021-05-23,Dodro,2768,,
2021-05-24,Dodro,2768,,
2021-05-25,Dodro,2768,,
2021-05-26,Dodro,2768,,
2021-05-27,Dodro,2768,,
2021-05-28,Dodro,2768,,
2021-05-29,Dodro,2768,,
2021-05-30,Dodro,2768,,
2021-05-31,Dodro,2768,,
2021-06-01,Dodro,2768,,
2021-06-02,Dodro,2768,,
2021-06-03,Dodro,2768,,
2021-06-04,Dodro,2768,,
2021-06-05,Dodro,2768,,0
2021-06-06,Dodro,2768,,0
2021-06-07,Dodro,2768,,0
2021-06-08,Dodro,2768,,0
2021-06-09,Dodro,2768,,0
2021-06-10,Dodro,2768,,0
2021-06-11,Dodro,2768,,0
2021-06-12,Dodro,2768,0,0
2021-06-13,Dodro,2768,0,0
2021-06-14,Dodro,2768,0,0
2021-06-15,Dodro,2768,0,0
2021-06-16,Dodro,2768,0,0
2021-06-17,Dodro,2768,0,0
2021-06-18,Dodro,2768,0,0
2021-06-19,Dodro,2768,0,0
2021-06-20,Dodro,2768,0,0
2021-06-21,Dodro,2768,0,0
