fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Dumbría,2983,23,
2020-11-22,Dumbría,2983,27,
2020-11-23,Dumbría,2983,23,
2020-11-24,Dumbría,2983,24,
2020-11-25,Dumbría,2983,23,
2020-11-26,Dumbría,2983,22,
2020-11-27,Dumbría,2983,21,
2020-11-28,Dumbría,2983,21,
2020-11-29,Dumbría,2983,22,
2020-11-30,Dumbría,2983,21,
2020-12-01,Dumbría,2983,22,
2020-12-02,Dumbría,2983,19,
2020-12-03,Dumbría,2983,16,
2020-12-04,Dumbría,2983,15,
2020-12-05,Dumbría,2983,13,
2020-12-06,Dumbría,2983,14,
2020-12-07,Dumbría,2983,14,
2020-12-08,Dumbría,2983,15,
2020-12-09,Dumbría,2983,14,
2020-12-10,Dumbría,2983,12,
2020-12-11,Dumbría,2983,14,
2020-12-12,Dumbría,2983,15,
2020-12-13,Dumbría,2983,14,
2020-12-14,Dumbría,2983,14,
2020-12-15,Dumbría,2983,13,
2020-12-16,Dumbría,2983,13,
2020-12-17,Dumbría,2983,13,
2020-12-18,Dumbría,2983,13,
2020-12-19,Dumbría,2983,12,
2020-12-20,Dumbría,2983,,
2020-12-21,Dumbría,2983,,
2020-12-22,Dumbría,2983,,
2020-12-23,Dumbría,2983,,
2020-12-24,Dumbría,2983,10,
2020-12-25,Dumbría,2983,10,
2020-12-26,Dumbría,2983,11,
2020-12-27,Dumbría,2983,11,
2020-12-28,Dumbría,2983,11,
2020-12-29,Dumbría,2983,12,
2020-12-30,Dumbría,2983,14,
2020-12-31,Dumbría,2983,14,
2021-01-01,Dumbría,2983,16,
2021-01-02,Dumbría,2983,16,
2021-01-03,Dumbría,2983,15,
2021-01-04,Dumbría,2983,17,
2021-01-05,Dumbría,2983,16,
2021-01-06,Dumbría,2983,19,
2021-01-07,Dumbría,2983,18,
2021-01-08,Dumbría,2983,17,
2021-01-09,Dumbría,2983,16,
2021-01-10,Dumbría,2983,22,
2021-01-11,Dumbría,2983,22,
2021-01-12,Dumbría,2983,21,
2021-01-13,Dumbría,2983,20,
2021-01-14,Dumbría,2983,21,
2021-01-15,Dumbría,2983,22,
2021-01-16,Dumbría,2983,24,
2021-01-17,Dumbría,2983,32,
2021-01-18,Dumbría,2983,31,
2021-01-19,Dumbría,2983,31,
2021-01-20,Dumbría,2983,30,
2021-01-21,Dumbría,2983,28,
2021-01-22,Dumbría,2983,29,
2021-01-23,Dumbría,2983,34,
2021-01-24,Dumbría,2983,36,
2021-01-25,Dumbría,2983,40,
2021-01-26,Dumbría,2983,40,
2021-01-27,Dumbría,2983,41,
2021-01-28,Dumbría,2983,40,
2021-01-29,Dumbría,2983,39,
2021-01-30,Dumbría,2983,37,
2021-01-31,Dumbría,2983,31,
2021-02-01,Dumbría,2983,31,
2021-02-02,Dumbría,2983,32,
2021-02-03,Dumbría,2983,32,
2021-02-04,Dumbría,2983,32,
2021-02-05,Dumbría,2983,31,
2021-02-06,Dumbría,2983,26,
2021-02-07,Dumbría,2983,18,
2021-02-08,Dumbría,2983,15,
2021-02-09,Dumbría,2983,15,
2021-02-10,Dumbría,2983,12,
2021-02-11,Dumbría,2983,11,
2021-02-12,Dumbría,2983,,
2021-02-13,Dumbría,2983,,
2021-02-14,Dumbría,2983,,
2021-02-15,Dumbría,2983,,
2021-02-16,Dumbría,2983,,
