fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Entrimo,1140,,
2020-11-22,Entrimo,1140,,
2020-11-23,Entrimo,1140,,
2020-11-24,Entrimo,1140,,
2020-11-25,Entrimo,1140,,
2020-11-26,Entrimo,1140,,
2020-11-27,Entrimo,1140,,
2020-11-28,Entrimo,1140,,
2020-11-29,Entrimo,1140,,
2020-11-30,Entrimo,1140,,
2020-12-01,Entrimo,1140,,
2020-12-02,Entrimo,1140,,
2020-12-03,Entrimo,1140,0,
2020-12-04,Entrimo,1140,0,
2020-12-05,Entrimo,1140,0,
2020-12-06,Entrimo,1140,0,
2020-12-07,Entrimo,1140,0,
2020-12-08,Entrimo,1140,0,
2020-12-09,Entrimo,1140,0,
2020-12-10,Entrimo,1140,0,
2020-12-11,Entrimo,1140,0,
2020-12-12,Entrimo,1140,0,
2020-12-13,Entrimo,1140,0,
2020-12-14,Entrimo,1140,0,
2020-12-15,Entrimo,1140,0,
2020-12-16,Entrimo,1140,0,
2020-12-17,Entrimo,1140,0,
2020-12-18,Entrimo,1140,0,
2020-12-19,Entrimo,1140,0,
2020-12-20,Entrimo,1140,0,
2020-12-21,Entrimo,1140,0,
2020-12-22,Entrimo,1140,,
2020-12-23,Entrimo,1140,,
2020-12-24,Entrimo,1140,,
2020-12-25,Entrimo,1140,,
2020-12-26,Entrimo,1140,,
2020-12-27,Entrimo,1140,,
2020-12-28,Entrimo,1140,,
2020-12-29,Entrimo,1140,,
2020-12-30,Entrimo,1140,,
2020-12-31,Entrimo,1140,,
2021-01-01,Entrimo,1140,10,
2021-01-02,Entrimo,1140,10,
2021-01-03,Entrimo,1140,10,
2021-01-04,Entrimo,1140,10,
2021-01-05,Entrimo,1140,,
2021-01-06,Entrimo,1140,10,
2021-01-07,Entrimo,1140,,
2021-01-08,Entrimo,1140,10,
2021-01-09,Entrimo,1140,10,
2021-01-10,Entrimo,1140,10,
2021-01-11,Entrimo,1140,10,
2021-01-12,Entrimo,1140,10,
2021-01-13,Entrimo,1140,,
2021-01-14,Entrimo,1140,,
2021-01-15,Entrimo,1140,,
2021-01-16,Entrimo,1140,,
2021-01-17,Entrimo,1140,,
2021-01-18,Entrimo,1140,,
2021-01-19,Entrimo,1140,,
2021-01-20,Entrimo,1140,0,
2021-01-21,Entrimo,1140,0,
2021-01-22,Entrimo,1140,0,
2021-01-23,Entrimo,1140,0,
2021-01-24,Entrimo,1140,0,
2021-01-25,Entrimo,1140,0,
2021-01-26,Entrimo,1140,0,
2021-01-27,Entrimo,1140,0,
2021-01-28,Entrimo,1140,0,
2021-01-29,Entrimo,1140,0,
2021-01-30,Entrimo,1140,0,
2021-01-31,Entrimo,1140,0,
2021-02-01,Entrimo,1140,0,
2021-02-02,Entrimo,1140,0,
2021-02-03,Entrimo,1140,0,
2021-02-04,Entrimo,1140,0,
2021-02-05,Entrimo,1140,0,
2021-02-06,Entrimo,1140,0,
2021-02-07,Entrimo,1140,0,
2021-02-08,Entrimo,1140,0,
2021-02-09,Entrimo,1140,0,
2021-02-10,Entrimo,1140,0,
2021-02-11,Entrimo,1140,0,
2021-02-12,Entrimo,1140,0,
2021-02-13,Entrimo,1140,0,
2021-02-14,Entrimo,1140,0,
2021-02-15,Entrimo,1140,0,
2021-02-16,Entrimo,1140,0,
2021-02-17,Entrimo,1140,0,
2021-02-18,Entrimo,1140,0,
2021-02-19,Entrimo,1140,0,
2021-02-20,Entrimo,1140,0,
2021-02-21,Entrimo,1140,0,
2021-02-22,Entrimo,1140,0,
2021-02-23,Entrimo,1140,0,
2021-02-24,Entrimo,1140,0,
2021-02-25,Entrimo,1140,0,
2021-02-26,Entrimo,1140,0,
2021-02-27,Entrimo,1140,0,
2021-02-28,Entrimo,1140,0,
2021-03-01,Entrimo,1140,0,
