fecha,municipio,habitantes,casos_14d,casos_7d
2020-11-21,Fene,12944,39,
2020-11-22,Fene,12944,32,
2020-11-23,Fene,12944,31,
2020-11-24,Fene,12944,32,
2020-11-25,Fene,12944,32,
2020-11-26,Fene,12944,35,
2020-11-27,Fene,12944,32,
2020-11-28,Fene,12944,32,
2020-11-29,Fene,12944,31,
2020-11-30,Fene,12944,28,
2020-12-01,Fene,12944,25,
2020-12-02,Fene,12944,26,
2020-12-03,Fene,12944,23,
2020-12-04,Fene,12944,17,
2020-12-05,Fene,12944,14,
2020-12-06,Fene,12944,13,
2020-12-07,Fene,12944,14,
2020-12-08,Fene,12944,15,
2020-12-09,Fene,12944,15,
2020-12-10,Fene,12944,12,
2020-12-11,Fene,12944,11,
2020-12-12,Fene,12944,10,
2020-12-13,Fene,12944,10,
2020-12-14,Fene,12944,13,
2020-12-15,Fene,12944,14,
2020-12-16,Fene,12944,14,
2020-12-17,Fene,12944,15,
2020-12-18,Fene,12944,18,
2020-12-19,Fene,12944,18,
2020-12-20,Fene,12944,18,
2020-12-21,Fene,12944,17,
2020-12-22,Fene,12944,16,
2020-12-23,Fene,12944,18,
2020-12-24,Fene,12944,18,
2020-12-25,Fene,12944,20,
2020-12-26,Fene,12944,19,
2020-12-27,Fene,12944,18,
2020-12-28,Fene,12944,16,
2020-12-29,Fene,12944,16,
2020-12-30,Fene,12944,15,
2020-12-31,Fene,12944,13,
2021-01-01,Fene,12944,12,
2021-01-02,Fene,12944,14,
2021-01-03,Fene,12944,13,
2021-01-04,Fene,12944,20,
2021-01-05,Fene,12944,23,
2021-01-06,Fene,12944,26,
2021-01-07,Fene,12944,33,
2021-01-08,Fene,12944,40,
2021-01-09,Fene,12944,41,
2021-01-10,Fene,12944,52,
2021-01-11,Fene,12944,57,
2021-01-12,Fene,12944,63,
2021-01-13,Fene,12944,72,
2021-01-14,Fene,12944,78,
2021-01-15,Fene,12944,83,
2021-01-16,Fene,12944,96,
2021-01-17,Fene,12944,102,
2021-01-18,Fene,12944,102,
2021-01-19,Fene,12944,116,
2021-01-20,Fene,12944,122,
2021-01-21,Fene,12944,125,
2021-01-22,Fene,12944,140,
2021-01-23,Fene,12944,152,
2021-01-24,Fene,12944,147,
2021-01-25,Fene,12944,147,
2021-01-26,Fene,12944,149,
2021-01-27,Fene,12944,147,
2021-01-28,Fene,12944,149,
2021-01-29,Fene,12944,154,
2021-01-30,Fene,12944,141,
2021-01-31,Fene,12944,140,
2021-02-01,Fene,12944,146,
2021-02-02,Fene,12944,135,
2021-02-03,Fene,12944,128,
2021-02-04,Fene,12944,120,
2021-02-05,Fene,12944,104,
2021-02-06,Fene,12944,96,
2021-02-07,Fene,12944,94,
2021-02-08,Fene,12944,90,
2021-02-09,Fene,12944,84,
2021-02-10,Fene,12944,78,
2021-02-11,Fene,12944,73,
2021-02-12,Fene,12944,63,
2021-02-13,Fene,12944,63,
2021-02-14,Fene,12944,59,
2021-02-15,Fene,12944,47,
2021-02-16,Fene,12944,46,
2021-02-17,Fene,12944,45,
2021-02-18,Fene,12944,45,
2021-02-19,Fene,12944,38,
2021-02-20,Fene,12944,33,
2021-02-21,Fene,12944,30,
2021-02-22,Fene,12944,29,
2021-02-23,Fene,12944,26,
2021-02-24,Fene,12944,26,
2021-02-25,Fene,12944,23,
2021-02-26,Fene,12944,21,
2021-02-27,Fene,12944,19,
2021-02-28,Fene,12944,18,
2021-03-01,Fene,12944,16,
2021-03-02,Fene,12944,11,
2021-03-03,Fene,12944,,
2021-03-04,Fene,12944,,
2021-03-05,Fene,12944,,
2021-03-06,Fene,12944,,
2021-03-07,Fene,12944,,
2021-03-08,Fene,12944,,
2021-03-09,Fene,12944,,
2021-03-10,Fene,12944,,
2021-03-11,Fene,12944,,
2021-03-12,Fene,12944,,
2021-03-13,Fene,12944,,
2021-03-14,Fene,12944,,
2021-03-15,Fene,12944,,
2021-03-16,Fene,12944,,
2021-03-17,Fene,12944,,
2021-03-18,Fene,12944,,
2021-03-19,Fene,12944,,
2021-03-20,Fene,12944,,
2021-03-21,Fene,12944,,
2021-03-22,Fene,12944,,
2021-03-23,Fene,12944,,
2021-03-24,Fene,12944,,
2021-03-25,Fene,12944,,
2021-03-26,Fene,12944,,
2021-03-27,Fene,12944,,
2021-03-28,Fene,12944,,
2021-03-29,Fene,12944,,
2021-03-30,Fene,12944,,
2021-03-31,Fene,12944,,0
2021-04-01,Fene,12944,,0
2021-04-02,Fene,12944,,0
2021-04-03,Fene,12944,,0
2021-04-04,Fene,12944,,0
2021-04-05,Fene,12944,,
2021-04-06,Fene,12944,,
2021-04-07,Fene,12944,,
2021-04-08,Fene,12944,,
2021-04-09,Fene,12944,,
2021-04-10,Fene,12944,,
2021-04-11,Fene,12944,,
2021-04-12,Fene,12944,,
2021-04-13,Fene,12944,,0
2021-04-14,Fene,12944,,0
2021-04-15,Fene,12944,,
2021-04-16,Fene,12944,,
2021-04-17,Fene,12944,,
2021-04-18,Fene,12944,,
2021-04-19,Fene,12944,,
2021-04-20,Fene,12944,,
2021-04-21,Fene,12944,,
2021-04-22,Fene,12944,,
2021-04-23,Fene,12944,,
2021-04-24,Fene,12944,,
2021-04-25,Fene,12944,,
2021-04-26,Fene,12944,,
2021-04-27,Fene,12944,,
2021-04-28,Fene,12944,,
2021-04-29,Fene,12944,,
2021-04-30,Fene,12944,,
2021-05-01,Fene,12944,,
2021-05-02,Fene,12944,,
2021-05-03,Fene,12944,,
2021-05-04,Fene,12944,,
2021-05-05,Fene,12944,,
2021-05-06,Fene,12944,,
2021-05-07,Fene,12944,,
2021-05-08,Fene,12944,,
2021-05-09,Fene,12944,,
2021-05-10,Fene,12944,,
2021-05-11,Fene,12944,,
2021-05-12,Fene,12944,,
2021-05-13,Fene,12944,,
2021-05-14,Fene,12944,,
2021-05-15,Fene,12944,,
2021-05-16,Fene,12944,,
2021-05-17,Fene,12944,,
2021-05-18,Fene,12944,,
2021-05-19,Fene,12944,,
2021-05-20,Fene,12944,,
2021-05-21,Fene,12944,,
2021-05-22,Fene,12944,,0
2021-05-23,Fene,12944,,0
2021-05-24,Fene,12944,,0
2021-05-25,Fene,12944,,0
2021-05-26,Fene,12944,,0
2021-05-27,Fene,12944,,0
2021-05-28,Fene,12944,,0
2021-05-29,Fene,12944,0,0
2021-05-30,Fene,12944,,
2021-05-31,Fene,12944,,
2021-06-01,Fene,12944,,
2021-06-02,Fene,12944,,
2021-06-03,Fene,12944,,
2021-06-04,Fene,12944,,
2021-06-05,Fene,12944,,
2021-06-06,Fene,12944,,
2021-06-07,Fene,12944,,
2021-06-08,Fene,12944,,
2021-06-09,Fene,12944,,
2021-06-10,Fene,12944,,0
2021-06-11,Fene,12944,,0
2021-06-12,Fene,12944,,0
2021-06-13,Fene,12944,,0
2021-06-14,Fene,12944,,0
2021-06-15,Fene,12944,,
2021-06-16,Fene,12944,,
2021-06-17,Fene,12944,,
2021-06-18,Fene,12944,,
2021-06-19,Fene,12944,,
2021-06-20,Fene,12944,,
2021-06-21,Fene,12944,,
2021-06-22,Fene,12944,,
2021-06-23,Fene,12944,,
2021-06-24,Fene,12944,,
2021-06-25,Fene,12944,,
2021-06-26,Fene,12944,,0
2021-06-27,Fene,12944,,0
2021-06-28,Fene,12944,,0
2021-06-29,Fene,12944,,0
2021-06-30,Fene,12944,,0
2021-07-01,Fene,12944,,0
2021-07-02,Fene,12944,,
2021-07-03,Fene,12944,,
2021-07-04,Fene,12944,,
2021-07-05,Fene,12944,,
2021-07-06,Fene,12944,,
2021-07-07,Fene,12944,,
2021-07-08,Fene,12944,,
2021-07-09,Fene,12944,,
2021-07-10,Fene,12944,,
2021-07-11,Fene,12944,,
2021-07-12,Fene,12944,11,
2021-07-13,Fene,12944,13,
2021-07-14,Fene,12944,14,
2021-07-15,Fene,12944,19,12
2021-07-16,Fene,12944,18,12
